date,date_t1,open_t,close_t,open_t1,close_t1,r,r_night_bps,r_day_bps,nights,cost_bps_cons,cost_bps_opt,r_net_bps_cons,r_net_bps_opt,pnl_yen_cons,roll_monthly,roll_quarterly,nightless_marked,is_glitch,night_open,night_close,has_night,leg_b_bps,leg_a_bps,leg_c_bps,split,regime,weekday,month,year,vol20,vol_tercile,sq_dist_td
2007-09-19,2007-09-20,16270.0,16370.0,16470.0,16380.0,0.006108735491753281,61.08735491753281,61.46281499692652,1,7.452657299938912,1.3439218081857056,53.63469761759389,59.7434331093471,878.0,False,False,False,False,16290.0,16380.0,True,55.24861878453136,-48.86988393402514,54.94505494505475,train,2007-09..2011-02-13,Wednesday,9,2007,,unknown,15
2007-09-20,2007-09-21,16470.0,16380.0,16240.0,16270.0,-0.008547008547008517,-85.47008547008517,-54.64480874316946,1,7.448107448107448,1.343101343101343,-92.91819291819262,-86.8131868131865,-1522.0,False,False,False,False,16360.0,16340.0,True,-12.224938875305957,-12.210012210012167,-61.19951040391647,train,2007-09..2011-02-13,Thursday,9,2007,,unknown,14
2007-09-21,2007-09-25,16240.0,16270.0,16380.0,16430.0,0.006760909649661917,67.60909649661917,18.47290640394128,4,7.498463429625077,1.352181929932391,60.1106330669941,66.25691456668679,978.0,False,False,False,False,16300.0,16380.0,True,49.07975460122671,18.438844499077955,0.0,train,2007-09..2011-02-13,Friday,9,2007,,unknown,13
2007-09-25,2007-09-26,16380.0,16430.0,16420.0,16500.0,-0.000608642726719455,-6.08642726719455,30.525030525030417,1,7.425441265976871,1.3390139987827145,-13.51186853317142,-7.425441265977264,-222.0,False,False,False,False,16410.0,16350.0,True,-36.56307129798919,-12.172854534387989,42.81345565749328,train,2007-09..2011-02-13,Tuesday,9,2007,,unknown,12
2007-09-26,2007-09-27,16420.0,16500.0,16660.0,16860.0,0.00969696969696976,96.9696969696976,48.72107186357999,1,7.393939393939394,1.3333333333333335,89.5757575757582,95.63636363636427,1478.0,False,False,False,False,16530.0,16530.0,True,0.0,18.18181818181719,78.64488808227543,train,2007-09..2011-02-13,Wednesday,9,2007,,unknown,11
2007-09-27,2007-09-28,16660.0,16860.0,16980.0,16830.0,0.007117437722419906,71.17437722419906,120.0480192076836,1,7.236061684460261,1.3048635824436534,63.9383155397388,69.8695136417554,1078.0,False,False,False,False,16870.0,16820.0,True,-29.638411381149865,5.931198102016033,95.12485136742077,train,2007-09..2011-02-13,Thursday,9,2007,,unknown,10
2007-09-28,2007-10-01,16980.0,16830.0,16840.0,16850.0,0.0005941770647652778,5.941770647652778,-88.33922261484051,3,7.248960190136661,1.3071895424836601,-1.3071895424838837,4.634581105169118,-22.0,False,False,False,False,16810.0,16770.0,True,-23.79535990481907,-11.883541295305555,41.74120453190211,train,2007-09..2011-02-13,Friday,9,2007,,unknown,9
2007-10-01,2007-10-02,16840.0,16850.0,17100.0,17090.0,0.014836795252225476,148.36795252225477,5.9382422802856105,1,7.240356083086054,1.3056379821958457,141.1275964391687,147.06231454005894,2378.0,False,False,False,False,16820.0,16890.0,True,41.61712247324534,-17.804154302670796,124.3339253996445,train,2007-09..2011-02-13,Monday,10,2007,,unknown,8
2007-10-02,2007-10-03,17100.0,17090.0,17130.0,17200.0,0.002340550029256816,23.40550029256816,-5.847953216374657,1,7.1386775892334695,1.2873025160912814,16.26682270333469,22.11819777647688,278.0,False,False,False,False,17110.0,17110.0,True,0.0,11.70275014628519,11.689070718878813,train,2007-09..2011-02-13,Tuesday,10,2007,,unknown,7
2007-10-03,2007-10-04,17130.0,17200.0,17100.0,17120.0,-0.005813953488372103,-58.13953488372103,40.86398131932345,1,7.093023255813954,1.2790697674418605,-65.23255813953499,-59.418604651162894,-1122.0,False,False,False,False,17190.0,17100.0,True,-52.35602094240788,-5.813953488371659,0.0,train,2007-09..2011-02-13,Wednesday,10,2007,,unknown,6
