month,n,mean_r_net_bps,sd_bps,mean_gross_bps,mean_r_day_bps,hit_rate
1,247,-13.556949926781378,121.12952081639789,-4.564351495121895,-7.450382317028771,0.4777327935222672
2,251,-7.244605293268645,126.20385522076569,1.8577464965195436,-3.3933146986523823,0.46215139442231074
3,235,3.6910162589752242,129.00185568595253,12.767992906139574,2.9824515640671057,0.4723404255319149
4,267,-0.5588068441514569,106.90882907963483,8.2611561917336,3.57442030881459,0.46441947565543074
5,252,-10.083350037592226,99.5485600078333,-1.3230630731350408,2.7816436531911632,0.4603174603174603
6,239,-4.331292082706181,99.90845214321457,4.46746962962277,0.8306621403342074,0.5062761506276151
7,276,-1.6556239073055377,80.69936966304616,7.073567629837868,-4.164015215825242,0.463768115942029
8,282,-15.502594633355526,96.84811599775811,-6.627834224077715,-0.8270089716500167,0.46099290780141844
9,221,-1.0186862003535497,107.35199336922824,7.844556034524711,-3.1348550479348454,0.5384615384615384
10,295,-3.8005463435039735,123.96659550772178,5.101735608658947,-2.8942711769466096,0.49491525423728816
11,276,0.9285483251612999,134.66325150191972,9.811051931528164,6.031566537255627,0.532608695652174
12,237,-0.7391098250906699,101.3545295813886,8.073617215202209,-1.5666429654611351,0.45147679324894513
