series,net_short_opt_mean_bps,net_short_opt_ci_lo,net_short_opt_ci_hi,net_short_cons_mean_bps,net_short_cons_ci_lo,net_short_cons_ci_hi
1306.T,-5.497172803516411,-9.188122198220368,-1.8590843535672328,-20.165660446788813,-23.851135658945335,-16.13821398614211
1591.T,-6.350566955343782,-10.005720492800606,-2.48543888829382,-13.464067632184452,-17.367248829348593,-9.694993021677838
2516.T,-7.595918094116721,-15.568679961116288,0.8907283844448673,-34.07640852776872,-41.995630545915525,-26.05528689784642
1321.T,-5.928895611996447,-9.46007353658068,-2.2213227059891674,-10.852325735840925,-14.321573472285275,-7.143915432407988
