series,n_common,n,mean_bps,ci_lo,ci_hi
1306.T,2544,2544,-0.5423899926692811,-1.5685572980154543,0.5471158884516047
1591.T,1962,1962,2.0167333646304395,-0.06331717407960386,4.280512119370546
2516.T,985,985,4.0229735492766965,-1.3010876286793938,9.271921868866036
