series,tercile,n,observed_mean_bps,null_mean_bps,null_ci_lo,null_ci_hi
1306.T,low,827,2.0885133847065767,5.641038806510324,-0.4111786443076592,12.099745142951608
1306.T,mid,841,2.6209249486175454,5.476362100738758,-0.13958542481887098,11.878473611067522
1306.T,high,840,12.128834171768704,5.392287229338445,-0.6500810524425821,11.434070626717412
1591.T,low,633,4.244730171509086,6.309158976010664,-0.733471376516595,13.208666184201745
1591.T,mid,645,0.634288828990844,6.303596054576532,-0.3869971546458793,13.51761229010713
1591.T,high,648,14.434350750588093,6.3452167569296165,-0.6355751839464427,13.054910913834064
2516.T,low,324,6.064917660864618,7.321002921428797,-9.272069063294387,22.935971075296333
2516.T,mid,318,1.7488687779276038,7.496757731645222,-8.472660985194224,23.284099243650147
2516.T,high,326,15.79596063757834,7.282039640734723,-8.176383044144558,22.161793972616692
1321.T,low,826,0.3467390093995145,5.943293217791797,-0.991910491512848,12.458371852609954
1321.T,mid,843,5.164184019353059,5.867237461661172,-0.40688739480774794,11.556967919878197
1321.T,high,841,12.70708359896098,5.768999472475857,-0.5905701424600378,12.157028916657593
