,1306.T,1591.T,2516.T,1321.T
1306.T,1.0,0.9352983887156703,0.7868600495318758,0.9487039415689729
1591.T,0.9352983887156703,1.0,0.7329816897386929,0.9127936801350772
2516.T,0.7868600495318758,0.7329816897386929,1.0,0.7995483528374617
1321.T,0.9487039415689729,0.9127936801350772,0.7995483528374617,1.0
