series,n_clean,sigma_r_night_bps,mde_bps,mean_gross_bps,gross_ci_lo,gross_ci_hi,mean_net_cons_bps,cons_ci_lo,cons_ci_hi,mean_cost_cons_bps,night_minus_day_mean_bps,night_minus_day_ci_lo,night_minus_day_ci_hi
1306.T,2544,91.7917579782316,5.098576868881549,5.497172803516411,1.9057824687247813,9.325991129070413,-9.17131483975599,-12.774323880987124,-5.672221018517693,14.668487643272403,6.281957279943143,1.9710823077957378,10.6067853445007
1321.T,2546,94.76460355406044,5.261635848566283,5.928895611996447,2.231660896982559,9.519473164714215,1.0054654881519685,-2.522737478890855,4.590119466222982,4.923430123844478,6.572710143705986,2.510527217397468,10.674913011786524
1348.T,2546,90.46687040066195,5.023011868942992,6.4141841673989015,2.7104420525581645,9.972543411769447,-8.280635639849725,-11.813446586255196,-4.716796799948224,14.694819807248626,8.348477046236365,4.074754571562943,12.482545577439375
1305.T,2546,91.01681878491074,5.0535467735898925,7.7449767950444,3.982630743878208,11.381777461302262,-6.783378289281554,-10.33139683758683,-3.149598153891779,14.528355084325952,10.896773832055558,6.328714457022269,15.37574418658664
