series,n_common,n,mean_bps,ci_lo,ci_hi
1348.T,2546,2546,0.48528855540245475,-0.7482394736742515,1.6841313531382616
1305.T,2546,2546,1.816081183047953,0.6119767095667372,3.0225496838400434
1306.T,2544,2544,-0.5423899926692811,-1.664250048668381,0.4879286841835419
