series,stage,cost_scenario,n,mean_bps,ci_lo,ci_hi
1306.T,before_exclusion,optimistic,2585,1.7079706973428,-7.564323836508569,8.168211451963034
1306.T,before_exclusion,conservative,2585,-12.90951801141329,-22.17420979719308,-6.680165149045208
1306.T,after_exclusion,optimistic,2544,5.497172803516411,1.7907141591148066,9.122345070640094
1306.T,after_exclusion,conservative,2544,-9.17131483975599,-12.984556785237876,-5.556183081184368
1321.T,before_exclusion,optimistic,2585,5.723466326570584,2.0761960344342767,9.064416309754204
1321.T,before_exclusion,conservative,2585,0.8072660283748222,-2.801302413836748,4.077440721352792
1321.T,after_exclusion,optimistic,2546,5.928895611996447,2.326259384466079,9.565402451863525
1321.T,after_exclusion,conservative,2546,1.0054654881519685,-2.849978897812634,4.761894361483702
1348.T,before_exclusion,optimistic,2585,6.177010315168348,2.522987345432814,9.422798276122023
1348.T,before_exclusion,conservative,2585,-8.466968007865391,-12.102877319572206,-4.78006236544948
1348.T,after_exclusion,optimistic,2546,6.4141841673989015,2.9807662752465394,9.722018589394597
1348.T,after_exclusion,conservative,2546,-8.280635639849725,-11.917101200599243,-4.535479100783105
1305.T,before_exclusion,optimistic,2585,7.486544393792275,3.9636953350530653,10.926788997304199
1305.T,before_exclusion,conservative,2585,-6.991173723880234,-10.587243957534984,-3.5449328798720945
1305.T,after_exclusion,optimistic,2546,7.7449767950444,3.993230986055046,11.257359835637159
1305.T,after_exclusion,conservative,2546,-6.783378289281554,-10.257301161071723,-3.300564432846931
