k,n_minutes_both,corr_m,mean_abs_diff_bps,p95_abs_diff_bps,thr,signal_bars_usd,signal_bars_jpy,both_same_sign,both_opposite_sign,usd_only,jpy_only
15,2795914,0.9958004416134678,2.1553794654038203,7.95158298847737,0.4,508517,513646,489533,10,18974,24103
15,2795914,0.9958004416134678,2.1553794654038203,7.95158298847737,0.8,162718,163618,157941,0,4777,5677
15,2795914,0.9958004416134678,2.1553794654038203,7.95158298847737,1.2,69429,69711,67592,0,1837,2119
30,2795434,0.9957097513606523,3.0636314836240426,11.299275914972263,0.4,774149,782914,742624,64,31461,40226
30,2795434,0.9957097513606523,3.0636314836240426,11.299275914972263,0.8,299512,302033,289706,7,9799,12320
30,2795434,0.9957097513606523,3.0636314836240426,11.299275914972263,1.2,144930,145684,140744,0,4186,4940
60,2794500,0.995565377641889,4.361042647834226,16.13980061127995,0.4,1086630,1098813,1041214,220,45196,57379
60,2794500,0.995565377641889,4.361042647834226,16.13980061127995,0.8,505276,510045,486300,50,18926,23695
60,2794500,0.995565377641889,4.361042647834226,16.13980061127995,1.2,276766,278308,267382,14,9370,10912
