k,thr,stop,state,period,n_entry_signal_bars,n_entry_signals_discarded,n_entry_signals_gated,n_total_in_period,n_excluded_gap,n,mean_net_bps,ci_lo,ci_hi,se_cluster,sharpe,sharpe_ci_lo,sharpe_ci_hi,win_rate,max_dd_bps,mean_hold_min,stop_rate,mean_funding_bps,mean_gross_bps,sd_net_bps,n_days,deferred_minutes,trades_with_deferral,mean_cost_bps,sum_pnl_jpy_001btc,mde_bps
60,1.2,1.0,1_low,full,294733,996,293579,51,2,49,13.834795926395472,-16.204507309735977,49.867980133416616,17.653333292524565,0.3184607931733722,-0.8134650612517726,0.820824642301975,0.3673469387755102,383.8858933025151,70.77551020408163,0.061224489795918366,0.3673469387755102,18.460891468270958,124.12526256028742,2205,1,1,4.2587486030999715,-195.05905940932428,49.67821440624931
60,1.2,1.0,1_low,train,294733,996,293579,20,0,20,48.74658660870902,-14.549367526222937,137.81665789371158,39.49341459452918,0.5986301760826471,-0.7059713074895426,1.130840161609492,0.4,186.92525671756152,78.55,0.15,0.6,53.605335211809006,181.02644018018094,1445,0,0,4.2587486030999715,1342.8893563267998,113.40464692662047
60,1.2,1.0,1_low,val,294733,996,293579,31,2,29,-10.242301095889733,-29.0126040586563,9.195806629462034,9.776949148673072,-0.7599243415970441,-2.256843237168397,0.6129164336619957,0.3448275862068966,298.43286298286614,65.41379310344827,0.0,0.20689655172413793,-5.77665594106562,51.99960708207363,699,1,1,4.2587486030999715,-1537.9484157361244,27.052343947048804
60,1.2,1.0,all,full,294733,996,0,11311,402,10909,-6.14438358452098,-8.255137175669523,-4.094974492239764,1.048305577998034,-2.1903377508203232,-3.030395113100635,-1.411379381091315,0.33036941974516454,67029.08052353933,55.72811440095334,0.28536071133926116,0.22806856723806032,-1.6575664141829476,127.16073089849574,2314,20,17,4.2587486030999715,-202448.2880178712,3.4108638326459264
60,1.2,1.0,all,train,294733,996,0,9309,301,9008,-5.743847808274495,-8.192017692094932,-3.3571851940547335,1.2379192688030132,-2.2014104988575673,-3.16429036169396,-1.1930592717681656,0.329151865008881,52141.94832980594,54.84158525754884,0.2990674955595027,0.23090586145648312,-1.2541933437180395,131.71929685467612,1598,10,8,4.2587486030999715,-142302.96912720855,3.888114557731511
60,1.2,1.0,all,val,294733,996,0,2002,101,1901,-8.042345853026154,-12.65964718580642,-3.3425432196377454,2.4052923622062763,-2.352666379664745,-3.8914598851338686,-0.9423482398472097,0.3361388742766965,15312.902366221668,59.92898474487112,0.22041031036296685,0.21462388216728037,-3.5689733677589013,102.85717907073835,716,10,9,4.2587486030999715,-60145.318890662675,6.609177082449896
