period,grid_minutes,fx_valid_minutes,both_valid_minutes,fx_valid_spot_missing,mean_pct,median_pct,p1_pct,p5_pct,p25_pct,p75_pct,p95_pct,p99_pct,min_pct,max_pct,share_abs_ge_5pct,share_ge_plus5pct,share_le_minus5pct,share_abs_ge_2pct
full,3332160,3253691,3165381,88310,2.6432206254098833,2.1076308967660218,-0.9338468758678964,-0.48248166535082015,0.5452320685229051,3.878963526661816,8.230129390018481,15.298317498291377,-21.94922314629405,32.415398076347145,0.12783579607004655,0.12766172539735343,0.00017407067269311342,0.5182876879592062
train,2301120,2274968,2236230,38738,2.910560455088254,2.4840109589037485,-0.9926624514589024,-0.573455967294149,0.7911053051938788,4.027760834010518,7.895019457436697,16.267539096922153,-21.94922314629405,32.415398076347145,0.12613461048282154,0.12588821364528693,0.00024639683753460066,0.5904370301802587
val,1031040,978723,929151,49572,1.9998016899282847,0.921450164754356,-0.6787768148380113,-0.37749597037620153,0.028122032927380136,2.8067410402646042,8.808051583340227,10.710384384106675,-2.992386558775262,16.438697990106576,0.13193011684860695,0.13193011684860695,0.0,0.3446425823143924
2017,197280,195172,193788,1384,4.71074722680935,2.4494248292326826,-1.147102843727394,-0.6085548236123817,1.4678023522056938,4.146279242671181,19.297013697600924,24.351334779471774,-17.570498915401302,32.415398076347145,0.2249210477428943,0.22484880384750347,7.224389539083947e-05,0.6312000743080067
2018,525600,521307,515325,5982,3.353936225332086,2.338434666888456,-1.0827673175718955,-0.44148230525242976,0.8795970334486869,4.226964164775326,12.4400514402504,15.82965802784819,-21.94922314629405,20.710741237139608,0.18407994954640275,0.18404113908698394,3.881045941881337e-05,0.5964139135497016
2019,525600,519892,503440,16452,1.87510866702191,2.031715326972816,-0.963435345165287,-0.8144656217741608,0.5821424339023107,3.1532953772643535,4.614862875638189,5.328249033928616,-12.913569450517414,22.881722684721815,0.025605831876688384,0.025603845542666454,1.986334021929128e-06,0.510229620212935
2020,527040,519967,509733,10234,1.3213910441494348,0.75562640222957,-1.249560028515525,-0.3625545668514539,0.5073011945467165,1.9160738643121622,4.6238673974360625,5.008094200947167,-15.851916366008078,6.2577778626512925,0.017679844153703998,0.016675396727306255,0.0010044474263977417,0.2503075139337653
2021,525600,518630,513944,4686,4.377651668549268,4.064430510506812,1.7865638651593185,2.5825275860911203,3.430877763168044,4.998684854214747,7.692732174377722,8.469096405386736,-12.374728653523281,10.53618274667607,0.23682541288545056,0.23681762993633548,7.782949115078686e-06,0.9849847454197345
2022,525600,520884,492797,28087,0.5605207375600935,0.2574038978304438,-0.7893995963068403,-0.48289498328204505,-0.13883356430142157,1.0502247161843448,2.5435788585419132,3.4171203114716784,-2.992386558775262,3.9303713734395007,0.0,0.0,0.0,0.10671331197227256
2023,505440,457839,436354,21485,3.6252556458544074,2.894971102768429,-0.3151999784810876,-0.08823160646038553,0.5999125439485387,5.29332367364625,10.06766384944369,10.94798231215546,-0.9026540827887675,16.438697990106576,0.2809255787731979,0.2809255787731979,0.0,0.6133483364424298
