config,label,shift_min,period,n_total_in_period,n_excluded_gap,n,mean_net_bps,ci_lo,ci_hi,se_cluster,sharpe,sharpe_ci_lo,sharpe_ci_hi,win_rate,max_dd_bps,mean_hold_min,stop_rate,mean_funding_bps,mean_gross_bps,sd_net_bps,n_days,deferred_minutes,trades_with_deferral,mean_cost_bps,sum_pnl_jpy_001btc,mde_bps
iter1_best,60/1.2/1.0@1_low,0,full,140,3,137,25.769924529260475,5.434517587513272,51.79223393987199,11.994355541971432,0.8289051281792869,0.29801754609748615,1.299495945968996,0.4306569343065693,344.43880090372113,58.043795620437955,0.051094890510948905,0.16058394160583941,30.18925707396628,138.68177068391773,2307,0,0,4.2587486030999715,4590.505025546655,33.194255453017526
iter1_best,60/1.2/1.0@1_low,0,val,35,2,33,21.773039777112057,-5.852103889748118,59.19133524937851,16.55071061933631,0.941526536931629,-0.5049105751668911,1.779496460828002,0.3939393939393939,211.0044564537808,64.45454545454545,0.0,0.18181818181818182,26.213606562030208,95.8626668009638,687,0,0,4.2587486030999715,3600.5060711983288,46.75158873704855
iter1_best,60/1.2/1.0@1_low,-2,full,409,14,395,86.66176118095765,70.38493773288619,103.74670210528339,8.538708670093321,3.569113641452655,3.156846101961698,4.119643837425104,0.7037974683544304,240.26739464864158,70.40506329113924,0.043037974683544304,0.2582278481012658,91.1787376321589,160.6358744059263,2307,1,1,4.2587486030999715,61738.79113643303,22.64372287974919
iter1_best,60/1.2/1.0@1_low,-2,val,140,8,132,81.24527519687138,62.39438377039073,103.33747005845484,10.599982374804918,4.649930583973206,3.9306943210389007,5.420710368594824,0.7424242424242424,140.99333262118216,74.97727272727273,0.03787878787878788,0.3181818181818182,85.82220561815316,121.01791498038232,710,1,1,4.2587486030999715,40734.486528173176,29.509818471485804
iter1_best,60/1.2/1.0@1_low,-1,full,289,10,279,66.28884426628524,47.98088761777258,87.04171068018303,10.04818051771926,2.482727579022049,2.0976522879361,3.0287106940663686,0.6379928315412187,346.37747552800647,67.97132616487455,0.03225806451612903,0.25089605734767023,70.79848892673287,163.59439737523454,2307,0,0,4.2587486030999715,34323.852048574925,27.439118927276326
iter1_best,60/1.2/1.0@1_low,-1,val,98,5,93,66.62296021164136,44.839859729943456,91.4193653603111,12.282554310397687,3.3596354990757056,2.638426944317189,4.122310748106089,0.6989247311827957,141.46526092911063,71.61290322580645,0.03225806451612903,0.3010752688172043,71.18278408355854,119.78435671036291,708,0,0,4.2587486030999715,24218.560275769963,34.79865576806816
iter1_best,60/1.2/1.0@1_low,1,full,129,3,126,17.860718878999037,-2.274561750044552,46.74430377748929,12.450659592752318,0.5850839532294476,-0.1450232671279293,1.0170023486882787,0.3968253968253968,519.0278478689168,56.07936507936508,0.07142857142857142,0.14285714285714285,22.262324624956143,137.93370403535428,2307,1,1,4.2587486030999715,3121.6267913954734,34.42619018140322
iter1_best,60/1.2/1.0@1_low,1,val,34,2,32,24.53982104788311,-3.459226302965114,62.521168568036344,17.04427042184695,1.0137482109344034,-0.32641536553422446,1.803683324849444,0.4375,213.17380204141557,64.9375,0.0,0.1875,28.986069650983087,98.3678626076578,687,1,1,4.2587486030999715,3770.940110148894,48.7171734876534
iter1_best,60/1.2/1.0@1_low,2,full,120,3,117,7.899502658401868,-4.169997525201574,21.508365255462174,6.566138731732114,0.46893693774293027,-0.3734189772088134,1.0129969744220462,0.36752136752136755,369.79270099223396,54.87179487179487,0.05128205128205128,0.15384615384615385,12.312097415347992,76.76140282598374,2307,0,0,4.2587486030999715,3742.5346634322777,19.881713417837105
iter1_best,60/1.2/1.0@1_low,2,val,34,2,32,28.111401756114635,-1.9919665397463198,66.0663465790025,17.72052054530328,1.1323332406917113,-0.13911630843991749,1.9027215815616108,0.4375,297.8807103169024,66.59375,0.0,0.1875,32.557650359214605,100.11549311025654,687,0,0,4.2587486030999715,4218.187256957518,49.58269619121157
