year_month,both_valid_minutes,median_pct,mean_pct,share_abs_ge_5pct
201708,21058,2.885559309112351,2.8071655260719646,0.0
201709,41966,1.822321061502996,1.5431548386130174,0.00016680169661154268
201710,43984,1.8417438585683454,1.7851892445332578,0.02387231720625682
201711,42755,2.3378321653925616,1.8604236013327047,0.021237282189217634
201712,44025,15.576612729054439,14.331647499764735,0.9454173764906303
201801,43915,11.613111270289767,11.578977678830775,0.9643402026642377
201802,39938,3.2973978071230703,5.649336976395931,0.45763433321648556
201803,44213,2.914122728878543,3.6360460826994663,0.2422364462940764
201804,43107,2.471304465250279,2.6462832449452414,0.11225555014266825
201805,44562,4.1445443650040215,4.7884129956734975,0.3140343790673668
201806,42902,2.2845433000062476,2.6296701218989673,0.0
201807,43886,2.7483082316367646,3.5348573296526227,0.10679943489951238
201808,43902,0.6813212332580476,1.298885212331412,0.0
201809,42365,0.9457951425024813,0.9492204299217927,0.0
201810,41763,2.3126371588518824,2.1330580292023975,0.0
201811,41595,1.900971169582233,1.4136852238098003,0.00012020675561966583
201812,43177,-0.20992212131827337,-0.16289493525601,0.0
201901,41676,-0.5242884505475054,-0.40589873406512245,0.0
201902,37696,-0.46471789439508915,-0.2750880776583064,2.6528013582342954e-05
201903,40379,-0.6948061611727008,-0.6666260294955608,0.0
201904,41903,1.075240737718297,1.0978871007117423,0.0
201905,43745,2.7838720686460983,2.413155676045738,0.002560292604869128
201906,42670,4.102618690545857,4.039546020590851,0.18645418326693228
201907,43976,3.0213597439923023,3.2442873456438677,0.10953702019283246
201908,43846,3.76460900671719,3.7637857189018153,0.000114035487843817
201909,41791,3.0714961478820024,3.0905898501637683,0.0
201910,42507,2.259565889887649,2.2964830899522197,0.0
201911,40946,2.070533637689209,2.046275405393561,0.0
201912,42305,1.3051643192488305,1.3240207973861016,0.0
202001,42675,1.8387402870584824,2.040261869443784,0.0
202002,40846,4.421184408117529,4.166633902959661,0.18577094452333154
202003,43642,-0.32562728545876274,1.0233028792615815,0.03148343338985381
202004,42346,-0.00883000416416757,0.007459587860306903,0.0
202005,43609,0.6891173456637034,0.7255829077160103,0.0
202006,41498,0.5533907157178053,0.5520248348361222,0.0
202007,42086,0.6734337128429746,0.682204828012449,0.0
202008,42704,0.8569135640838499,0.8833794252758478,0.0
202009,41689,0.7219682014206752,0.7650942028763232,0.0
202010,42784,0.5277593418213211,0.5202030371229815,0.0
202011,42179,0.9430186264064444,1.3433510107927962,0.0011854240261741625
202012,43675,3.266719970980647,3.1946122319133337,0.0
202101,44034,3.4910018210928095,3.491699900746003,0.0032702002997683608
202102,39663,4.004863254565216,4.041255375090463,0.010715276202001866
202103,44182,4.997925868884012,5.072205155280564,0.46638902720564934
202104,42266,7.0056037127644855,7.0875096281272185,0.9940141011687882
202105,44016,7.444961206057599,6.285672089756771,0.5954425663395129
202106,42653,3.701472578716891,3.787297290884379,0.003774646566478325
202107,43208,3.9655961312180965,3.603880285400289,0.00011571931123865951
202108,43753,3.2655428577864187,3.2974769213371675,0.00015998902932370352
202109,41793,3.5957913391441387,3.617103291784814,0.0007656784629004857
202110,43482,4.567463020290086,4.4739222336361495,0.28920012878892415
202111,41368,4.999991321275166,4.975740662037747,0.4619754399535873
202112,43526,2.8267518384067825,2.8126478047791608,0.009810228369250563
202201,43335,2.5184300249616154,2.3590186869389003,0.0
202202,38954,0.8341945545719653,0.824496109316357,0.0
202203,41965,1.2304788816002388,1.246250371771569,0.0
202204,39000,2.102730055180324,1.9517587329748016,0.0
202205,42508,0.8118512666100641,0.8207456095033112,0.0
202206,41822,0.2018761185266449,0.19469298431551474,0.0
202207,43353,-0.22530692030348076,-0.2227745467717203,0.0
202208,42673,-0.15827049401248017,-0.17229508305162455,0.0
202209,40945,-0.03740752515883905,-0.044456341947034995,0.0
202210,40219,0.13280536052011627,0.1287978763920622,0.0
202211,39272,-0.13550383165804591,-0.1137539413692687,0.0
202212,38751,-0.28682454214369324,-0.29555286853261253,0.0
202301,40155,-0.03683797222236995,-0.05670517025009715,2.4903498941601293e-05
202302,38137,0.08779568285186556,0.2159567556004657,0.0
202303,42696,0.35673552198833836,2.5498960802220108,0.27880831928049465
202304,35069,9.999978647808415,9.248521568522788,1.0
202305,36089,8.238636290928358,6.757531023516275,0.7694588378730361
202306,40502,1.473731547036139,1.4038240132625395,0.0
202307,33190,6.120594641548993,6.5671658530997625,0.6617655920457969
202308,36632,3.272148461065394,3.3788718856120608,0.15412753876392227
202309,35452,2.735231641406355,2.805701792648873,0.016980706307119484
202310,40272,2.7131975893012195,2.870306095476264,0.00012415574096146206
202311,37494,4.570230739990855,4.575834590493131,0.14658345335253642
202312,20666,5.915195085676828,5.498536410026595,0.6835865673086229
