k,thr,stop,period,n_usd,n_jpy,mean_net_usd,mean_net_jpy,diff_jpy_minus_usd,ci_lo_usd,ci_hi_usd,ci_lo_jpy,ci_hi_jpy,mde_usd,mde_jpy,sharpe_usd,sharpe_jpy,win_rate_usd,win_rate_jpy,stop_rate_usd,stop_rate_jpy,mean_hold_usd,mean_hold_jpy,is_current
15,0.4,0.25,full,74782,75190,-3.3643205953180364,-3.292746320829782,0.07157427448825437,-3.721122517010124,-3.0112463971250643,-3.647887959304007,-2.922253217226458,0.5571832765524122,0.5593947343190735,-7.494082581477698,-7.338540672604725,0.28556337086464656,0.28785742784944807,0.49798079751811936,0.49497273573613515,11.299430344200475,11.377643303630801,False
15,0.4,0.25,train,64962,65271,-3.424972235469336,-3.391351007484073,0.03362122798526279,-3.810266883206998,-3.0470689601788035,-3.7972679659514634,-2.9908338361937337,0.6113275971662842,0.6143980454605666,-7.784649941053435,-7.685799927280349,0.28327329823589176,0.28537941811830675,0.5076506265201195,0.5054158814787578,11.056279055447801,11.128127345988265,False
15,0.4,0.25,val,9820,9919,-2.963093319604316,-2.6438879175016,0.3192054021027162,-3.8927725113266165,-2.0432547318963836,-3.552699374882859,-1.7308219716617352,1.2842177227111524,1.278812479306561,-6.176026568052861,-5.706328023696162,0.3007128309572301,0.3041637261820748,0.4340122199592668,0.4262526464361327,12.907942973523422,13.019558423228148,False
15,0.4,0.5,full,60854,61210,-3.3269923439893385,-3.1522429887314876,0.17474935525785096,-3.783015328711314,-2.847707765315352,-3.6760359562909546,-2.671912881814629,0.7080777934059836,0.7110539449877864,-5.801484165886687,-5.426618293680252,0.32798172675584186,0.3304525404345695,0.21372465244683997,0.2118281326580624,15.055362014000723,15.126270217284757,False
15,0.4,0.5,train,52410,52620,-3.378138020797838,-3.198223049357674,0.179914971440164,-3.9064809824170648,-2.847901988105575,-3.7257573093264367,-2.6545953866524075,0.7833441545878647,0.788534988354693,-5.897231281365312,-5.5070168540082,0.32682694142339247,0.3292664386164956,0.22169433314253006,0.22035347776510833,14.869967563442092,14.960661345496009,False
15,0.4,0.5,val,8444,8590,-3.0095426848783156,-2.8705816627536076,0.13896102212470796,-4.012802125745565,-1.9704695942297528,-3.919354739474078,-1.8497937675444809,1.549493734180565,1.5297555659780688,-5.634013483318741,-5.303153278020168,0.33514921837991474,0.3377182770663562,0.1642586451918522,0.15960419091967404,16.206063477025108,16.140745052386496,False
15,0.4,1.0,full,54813,55244,-3.6021029401805325,-3.41238856341037,0.18971437677016256,-4.135077947493044,-3.0627750958057947,-3.9117280817178237,-2.907368355267075,0.8018610086951661,0.7998557895118633,-5.706148446597925,-5.404913914263345,0.3424735008118512,0.34382014336398525,0.07388758141316841,0.07267757584534067,17.12382099137066,17.16253348779958,False
15,0.4,1.0,train,47004,47246,-3.6434239732860547,-3.3852171433294065,0.25820682995664823,-4.199741774856346,-3.046390578852604,-3.951910710056358,-2.761816318302274,0.8906955819068552,0.8914124454776857,-5.724012640765391,-5.305190669549025,0.34154540039145603,0.3434364813952504,0.07752531699429836,0.0758159420903357,17.0,17.079922109808237,False
15,0.4,1.0,val,7809,7998,-3.353383022125467,-3.5728963044887885,-0.21951328236332168,-4.402518267691889,-2.304066528580759,-4.634675581402676,-2.5163874633006875,1.7135366031826382,1.6718899263607767,-6.162494346308302,-6.603623687165083,0.34805993084902037,0.3460865216304076,0.05199129209886029,0.05413853463365841,17.869125368164937,17.650537634408604,False
15,0.8,0.25,full,30173,30223,-4.570177448129484,-4.514978974037915,0.05519847409156853,-5.340134438323986,-3.7610735477384765,-5.290060826475356,-3.6838905346441626,1.1197857447345936,1.1340214295717777,-4.626688872492904,-4.379964452903034,0.25403506446160473,0.2562286999966913,0.6981075796241673,0.6967541276511267,9.962350445762768,10.064619660523443,False
15,0.8,0.25,train,26888,26898,-4.385669398274376,-4.335497276783334,0.050172121491042,-5.232809460481821,-3.504501659954302,-5.229251838250367,-3.4133650352407314,1.214559109660752,1.231692218567165,-4.5627735809315775,-4.27902251339553,0.2525290092234454,0.25503754926016803,0.6999404939006248,0.6987508364934196,9.866669146087474,9.973083500632017,False
15,0.8,0.25,val,3285,3325,-6.080391282072903,-5.966918430505195,0.11347285156770859,-8.005804825000109,-4.127063923075628,-7.782437349144177,-4.021365039537088,2.637288262916374,2.639728387796195,-5.540169836398014,-5.893415084686032,0.2663622526636225,0.26586466165413536,0.6831050228310502,0.6806015037593985,10.745509893455099,10.805112781954888,False
15,0.8,0.5,full,22563,22610,-3.730553866055494,-3.5630683557761014,0.16748551027939262,-4.805299662243287,-2.6646259198169755,-4.684693322382557,-2.4114721718379513,1.571184955009939,1.5896656852186497,-2.878541220883046,-2.6081405828663096,0.3252227097460444,0.326890756302521,0.4092097682045827,0.40703228659885005,16.105748349067056,16.2421937195931,False
15,0.8,0.5,train,19988,20004,-3.429276035642133,-3.2152315529503523,0.21404448269178067,-4.567503101109774,-2.311538128416423,-4.434798405872736,-2.0420468014091813,1.7083353624623114,1.7324269029379762,-2.7193682268122163,-2.390008598681203,0.3231939163498099,0.3258848230353929,0.41239743846307786,0.4109678064387123,15.98824294576746,16.13987202559488,False
15,0.8,0.5,val,2575,2606,-6.06917183665831,-6.233109569792324,-0.1639377331340146,-8.604264960989884,-3.354092751063174,-8.816051870432208,-3.530848246648323,3.698464377247373,3.654980809876335,-4.133977344292783,-4.589253717260653,0.3409708737864078,0.33461243284727554,0.3844660194174757,0.3768227168073676,17.017864077669902,17.027628549501152,False
15,0.8,1.0,full,19408,19447,-3.4606618055541825,-3.373556948065436,0.0871048574887463,-4.774447539108551,-2.136286122024041,-4.711260185461395,-2.0217249153672916,1.897269025323639,1.903356229720311,-2.242725633948791,-2.127191859437893,0.3671681780708986,0.36545482593716255,0.15390560593569663,0.15112870879827223,20.63257419620775,20.766339281123052,False
15,0.8,1.0,train,17124,17123,-2.9673038412242625,-2.848828439266372,0.11847540195789064,-4.324161925818007,-1.5412545850210826,-4.243566532881045,-1.3831991495794433,2.0678377283412157,2.0829702378131154,-1.954254740224629,-1.817039823646418,0.36714552674608736,0.3665829585937044,0.15644709180098107,0.15388658529463295,20.54794440551273,20.707469485487355,False
15,0.8,1.0,val,2284,2324,-7.159550501344698,-7.239704218360782,-0.08015371701608398,-9.927589754553711,-4.342064106205625,-10.161651715828624,-4.381197678953565,4.417525791854081,4.253177844927599,-4.573661278118027,-4.720083217128319,0.36733800350262696,0.35714285714285715,0.13485113835376533,0.13080895008605853,21.26707530647986,21.200086058519794,False
15,1.2,0.25,full,15265,15209,-5.882493308178256,-6.012256903526913,-0.12976359534865622,-7.173842507975689,-4.533511412757177,-7.437432589421491,-4.4725616581956,1.809774219655941,1.8374593709174183,-3.4317174405833195,-3.2448314084021344,0.2406812970848346,0.2393977250312315,0.7874877169996725,0.7876914984548623,8.684376023583361,8.778420671970544,False
15,1.2,0.25,train,13773,13744,-5.416508788069257,-5.517513280363041,-0.10100449229378405,-6.798531547583829,-3.933955889697545,-6.999565139542894,-3.848405830672294,1.9510388219496106,1.979466847924654,-3.2449526660855534,-3.0517303753240825,0.24134175560879984,0.2404685681024447,0.7871197270021055,0.7873981373690337,8.694765120162637,8.786597788125727,False
15,1.2,0.25,val,1492,1465,-10.184105101382846,-10.653728819406965,-0.46962371802411873,-12.850280988089562,-7.36553589396032,-13.132354606350127,-8.086326910276536,4.286968138477769,4.348040389487128,-5.698604944691605,-5.792972970425695,0.23458445040214476,0.22935153583617748,0.7908847184986595,0.7904436860068259,8.588471849865952,8.701706484641639,False
15,1.2,0.5,full,10942,10911,-5.204848031442981,-5.105429585440947,0.09941844600203353,-7.132246608724195,-3.2307499174516514,-6.881321315338575,-3.194497691993712,2.6824906670384254,2.7230284809105214,-2.2260627315763033,-2.1185252934788665,0.30131602997623835,0.30208046925121435,0.5503564247852312,0.5485290074237008,15.306068360445988,15.47722481899001,False
15,1.2,0.5,train,9817,9809,-4.370334258283797,-4.2962771825284545,0.07405707575534226,-6.421820272569439,-2.2316842168410194,-6.513328227529853,-2.121114128041909,2.9077250720017735,2.9454445733999366,-1.9172375545780567,-1.8192610493942047,0.30202709585413057,0.3045162605770211,0.5504736681267189,0.5492914670200836,15.345726800448203,15.529207870323173,False
15,1.2,0.5,val,1125,1102,-12.48700066353517,-12.307767081056763,0.17923358247840682,-16.27021090683943,-8.44129753751431,-15.881643345371652,-8.59711576651799,6.043628389704422,6.257377560812756,-5.04515254158781,-5.31780130088649,0.2951111111111111,0.28039927404718695,0.5493333333333333,0.5417422867513612,14.96,15.014519056261342,False
15,1.2,1.0,full,9038,9004,-4.342702974777654,-3.9022081989655186,0.4404947758121356,-6.591497090898715,-1.8597061184676873,-6.444668712330385,-1.2420457097784174,3.4354726686922166,3.4815823537981214,-1.5098582362802828,-1.2850013389490447,0.3657888913476433,0.3666148378498445,0.25492365567603453,0.2493336294980009,21.988935605222395,22.122834295868504,False
15,1.2,1.0,train,8080,8060,-3.47736174841767,-2.86994742257467,0.607414325843,-6.151407901292459,-0.9316113660592107,-5.55512520092339,-0.032231430944982264,3.72613991968047,3.7749645184095777,-1.2332785062685023,-0.9610932247114784,0.3678217821782178,0.3708436724565757,0.2576732673267327,0.251985111662531,22.013613861386137,22.216129032258063,False
15,1.2,1.0,val,958,944,-11.641196825496525,-12.715790675353473,-1.0745938498569476,-16.547288393328756,-6.483735202382111,-17.909260333621045,-7.531021138465632,7.899012948928818,7.953779086644249,-4.059898075772926,-4.478726812860332,0.348643006263048,0.3305084745762712,0.23173277661795408,0.2266949152542373,21.780793319415448,21.326271186440678,False
30,0.4,0.25,full,68713,69132,-3.6273244214033036,-3.488045565506913,0.13927885589639066,-4.051653844934272,-3.2090629680599543,-3.9183449892000026,-3.076104444737478,0.6236546781404271,0.6251711966146962,-6.976757093156425,-6.726034256118159,0.2658594443555077,0.26705433084533936,0.5366815595302199,0.5345860093733726,16.995080989041377,17.118613666608805,False
30,0.4,0.25,train,59313,59571,-3.7004419584446477,-3.554744305794635,0.1456976526500129,-4.162250987077615,-3.2261023355331306,-4.029558410140744,-3.0899349003888275,0.6842151026323041,0.6882706074361951,-7.1253708300535,-6.853120495932852,0.2637701684285064,0.2641218042336036,0.5467266872355133,0.5446945661479579,16.519666852123482,16.625572845847813,False
