config,label,period,n_total_in_period,n_excluded_gap,n,mean_net_bps,ci_lo,ci_hi,se_cluster,sharpe,sharpe_ci_lo,sharpe_ci_hi,win_rate,max_dd_bps,mean_hold_min,stop_rate,mean_funding_bps,mean_gross_bps,sd_net_bps,n_days,deferred_minutes,trades_with_deferral,mean_cost_bps,sum_pnl_jpy_001btc,mde_bps,iter1_mean_net_bps,iter1_n,max_abs_diff_vs_iter1
iter0_best,15/0.4/0.5@all,full,65030,535,64495,-3.1745428506210254,-3.646128780555613,-2.6888065153306853,0.24069488484443338,-5.26592221953336,-6.202476299436407,-4.369078726779977,0.329591441196992,206192.72899087935,15.102581595472516,0.2068532444375533,0.05895030622528878,0.6827170631734847,61.629126396759986,2314,167,128,3.798309607569221,-547475.3960989565,0.6798714833044539,-3.1745428506210254,64495,0.0
iter0_best,15/0.4/0.5@all,train,52803,393,52410,-3.378138020797838,-3.899034965308786,-2.8539615982832305,0.2709080226447644,-5.897231281365312,-7.112925132781037,-4.746886524253508,0.32682694142339247,177518.9071096289,14.869967563442092,0.22169433314253006,0.05899637473764549,0.4791679615090284,64.01118240525555,1599,48,40,3.798309607569221,-436316.0475527147,0.7833441545878647,-3.378138020797838,52410,0.0
iter0_best,15/0.4/0.5@all,val,12227,142,12085,-2.2915951576986617,-3.1089328224310124,-1.4276365419336678,0.43398263696516876,-3.5976406780916204,-5.031823548736852,-2.1842009259018114,0.3415804716590815,29205.11072332257,16.11137774100124,0.1424906909391808,0.05875051717004551,1.565464967040605,49.994998000586754,716,119,88,3.798309607569221,-111159.34854624167,1.2741104136957526,-2.2915951576986617,12085,0.0
current,30/0.8/0.5@all,full,25112,395,24717,-4.4371580401451505,-5.501729596431624,-3.4095095869672396,0.5371360554912814,-3.1245609356378274,-3.9077221919900067,-2.4291681027849252,0.30772342921875634,109834.46541923685,25.007970222923493,0.4317676093377028,0.10397701986487033,-0.03555533907140531,86.5013829663351,2314,45,29,4.297625681208875,-356711.92616212554,1.5414484646676923,-4.437158040145151,24717,8.881784197001252e-16
current,30/0.8/0.5@all,train,21036,292,20744,-4.435717706313028,-5.593689965146217,-3.246564682878819,0.606336984044584,-3.344196909826406,-4.250624804505212,-2.4821758369454243,0.30495564982645584,92507.65827616861,24.39683763979946,0.44383918241419207,0.10248746625530274,-0.035604558848850124,88.55941665018256,1598,32,17,4.297625681208875,-287351.5731464391,1.7226312944448319,-4.435717706313028,20744,0.0
current,30/0.8/0.5@all,val,4076,103,3973,-4.444678373649695,-6.7163163965631245,-2.268167406307122,1.124882687169222,-2.7556754698007246,-4.358074175447981,-1.2770910485298335,0.32217467908381575,17755.26384123789,28.198842184747043,0.3687389881701485,0.11175434180719859,-0.035298350633620364,74.85235601188236,716,13,12,4.297625681208875,-69360.35301568637,3.3269787683191017,-4.444678373649695,3973,0.0
iter1_best,60/1.2/1.0@1_low,full,140,3,137,25.769924529260475,5.3519218453146165,52.76334010572909,12.26762166681843,0.8289051281792869,0.32065372276537046,1.3126477313906249,0.4306569343065693,344.43880090372113,58.043795620437955,0.051094890510948905,0.16058394160583941,30.18925707396628,138.68177068391773,2307,0,0,4.2587486030999715,4590.505025546655,33.194255453017526,25.769924529260475,137,0.0
iter1_best,60/1.2/1.0@1_low,train,105,1,104,27.03816680638449,3.2252004665967426,59.80744252422316,14.99815428816217,0.8415850794574448,0.17258880537608493,1.4090428252850238,0.4423076923076923,315.4235090785446,56.00961538461539,0.0673076923076923,0.15384615384615385,31.450761563330616,150.10917951754695,1591,0,0,4.2587486030999715,989.9989543483257,41.237698482175155,27.03816680638449,104,4.440892098500626e-16
iter1_best,60/1.2/1.0@1_low,val,35,2,33,21.773039777112057,-5.17343441217859,57.0635414509286,16.2318312041501,0.941526536931629,-0.5152007213767676,1.7217206935490281,0.3939393939393939,211.0044564537808,64.45454545454545,0.0,0.18181818181818182,26.213606562030208,95.8626668009638,687,0,0,4.2587486030999715,3600.5060711983288,46.75158873704855,21.773039777112057,33,0.0
