series,variable,state_a,state_b,n_a,n_b,mean_a,mean_b,diff,ci_lo,ci_hi,se,mde,null_p95,verdict
N225F,実現ボラ三分位,1_低,2_中,1476,1476,2.5261513374798663,3.183132198980494,-0.6569808615006276,-6.900752126914149,5.546044227654392,3.128645043018243,8.76516570676607,26.138948062937235,判定不能
N225F,実現ボラ三分位,1_低,3_高,1476,1476,2.5261513374798663,8.690220229326542,-6.164068891846675,-13.213696633799543,1.3214826824779715,3.628033519163459,10.164245079873686,26.138948062937235,判定不能
N225F,実現ボラ三分位,2_中,3_高,1476,1476,3.183132198980494,8.690220229326542,-5.507088030346048,-13.180054964357954,2.77812163497059,4.054905414783422,11.360163072878334,26.138948062937235,判定不能
N225F,直前リターン符号,1_上昇,2_非上昇,2309,2138,0.8323710637326812,9.138515162435379,-8.306144098702697,-14.309822380266933,-2.449212650654898,3.0738435695160984,8.611634708644962,26.138948062937235,判定不能
N225F,直前リターン三分位,1_下位,2_中位,1483,1482,10.023641950691545,2.7074437171412464,7.316198233550298,0.010442504613657819,14.68851235491932,3.7052508779299838,10.380576090813314,26.138948062937235,判定不能
N225F,直前リターン三分位,1_下位,3_上位,1483,1482,10.023641950691545,1.7426434559829358,8.280998494708609,0.41143393078143764,16.198353198625718,4.001514779139075,11.210584657245475,26.138948062937235,判定不能
N225F,直前リターン三分位,2_中位,3_上位,1482,1482,2.7074437171412464,1.7426434559829358,0.9648002611583106,-5.566256611673689,7.345297878675831,3.285480470384017,9.204553521826835,26.138948062937235,判定不能
N225F,SQまでの日数,1_0-2日,2_3-9日,440,1045,3.1085469263389367,3.4936992888874063,-0.38515236254846963,-12.841504692180198,12.960642758486562,6.633312020620528,18.583788907332167,26.138948062937235,判定不能
N225F,SQまでの日数,1_0-2日,3_10日以上,440,2963,3.1085469263389367,5.569524520380243,-2.4609775940413066,-12.683584976792305,8.017865548972072,5.345238198437161,14.975140326637643,26.138948062937235,判定不能
N225F,SQまでの日数,2_3-9日,3_10日以上,1045,2963,3.4936992888874063,5.569524520380243,-2.075825231492837,-11.453054217749255,6.83689450964715,4.689255915168376,13.137350058168336,26.138948062937235,判定不能
N225F,曜日,1_月,2_火,872,948,4.222925626764891,8.385314856470181,-4.1623892297052905,-15.217599499309307,6.861354485315091,5.6830675364198715,15.921598006339428,26.138948062937235,判定不能
N225F,曜日,1_月,3_水,872,876,4.222925626764891,2.6468178750943347,1.576107751670556,-10.556454226286338,13.886629228122723,6.1268831679310995,17.16498531936491,26.138948062937235,判定不能
N225F,曜日,1_月,4_木,872,875,4.222925626764891,2.739762121509283,1.4831635052556078,-10.564474406081466,13.946132542805731,6.167139601189079,17.27776714773402,26.138948062937235,判定不能
N225F,曜日,1_月,5_金,872,877,4.222925626764891,5.899205944113064,-1.6762803173481737,-15.438759102731712,11.070098283950793,6.799404095252295,19.049110008547135,26.138948062937235,判定不能
N225F,曜日,2_火,3_水,948,876,8.385314856470181,2.6468178750943347,5.738496981375846,-3.26646973894499,15.696361475273921,4.7720941422061305,13.36942841057234,26.138948062937235,判定不能
N225F,曜日,2_火,4_木,948,875,8.385314856470181,2.739762121509283,5.645552734960898,-3.6110751956117952,14.974848760968259,4.724563038738591,13.236265973673934,26.138948062937235,判定不能
