series,variable,state_a,state_b,n_a,n_b,mean_a,mean_b,diff,ci_lo,ci_hi,se,mde,null_p95,verdict
1306T,実現ボラ三分位,1_低,2_中,1189,1188,3.1042008264879217,3.5369523177860946,-0.4327514912981729,-6.559070531946157,5.963415118213995,3.249493871289898,9.103733997737068,24.66192626710645,判定不能
1306T,実現ボラ三分位,1_低,3_高,1189,1188,3.1042008264879217,11.519795974544353,-8.41559514805643,-16.296768351592434,-0.4224351745855882,3.9468922536844206,11.057554997329113,24.66192626710645,判定不能
1306T,実現ボラ三分位,2_中,3_高,1188,1188,3.5369523177860946,11.519795974544353,-7.982843656758258,-16.14642013861408,-0.21535677841474837,4.113861168907152,11.525332642182795,24.66192626710645,判定不能
1306T,直前リターン符号,1_上昇,2_非上昇,1923,1716,6.658310884953223,5.498419575235731,1.1598913097174917,-4.673436059548971,6.676940571968517,2.9395403265944062,8.235372728465505,24.66192626710645,判定不能
1306T,直前リターン三分位,1_下位,2_中位,1213,1213,5.896661259060842,4.795074865233239,1.1015863938276027,-6.454055073339433,7.885140841803727,3.6361458455605247,10.186972453596162,24.66192626710645,判定不能
1306T,直前リターン三分位,1_下位,3_上位,1213,1213,5.896661259060842,7.6423280330592265,-1.7456667739983844,-9.041766355178495,5.452266906574824,3.718243055281124,10.416974782837698,24.66192626710645,判定不能
1306T,直前リターン三分位,2_中位,3_上位,1213,1213,4.795074865233239,7.6423280330592265,-2.847253167825987,-9.486588474720136,3.959314381676679,3.2911455328611954,9.220424677125344,24.66192626710645,判定不能
1306T,SQまでの日数,1_0-2日,2_3-9日,523,802,4.644696618271104,3.6939445781859797,0.9507520400851246,-12.426940815269973,14.415367034031732,6.786265175334828,19.012300204717988,24.66192626710645,判定不能
1306T,SQまでの日数,1_0-2日,3_10日以上,523,2317,4.644696618271104,7.260524192336191,-2.6158275740650865,-13.68277420333215,7.3655047484420795,5.424758072858319,15.197922031400887,24.66192626710645,判定不能
1306T,SQまでの日数,2_3-9日,3_10日以上,802,2317,3.6939445781859797,7.260524192336191,-3.566579614150211,-12.976689457560628,5.425468265917034,4.6991664000820075,13.165115126211525,24.66192626710645,判定不能
