series,n_main,null_p95_bps,n_variables,n_comparisons,block,n_boot,seed,uncond_mean_bps,uncond_ci_lo_bps,uncond_ci_hi_bps,uncond_net_mean_bps,uncond_net_ci_lo_bps,uncond_net_ci_hi_bps
1306T,3642,24.66192626710645,8,90,20,2000,20260906,6.099493255547474,2.9771327517851205,9.019526973174832,-7.6939706350250985,-10.919019438214038,-4.7306798398108905
1591T,3061,27.270123506600626,8,90,20,2000,20260906,8.442681110168277,5.35028094571691,11.677290216957507,2.127902993954235,-0.9383544634522426,5.378961025332666
2516T,2084,44.6147887965698,8,90,20,2000,20260906,6.700090799110698,1.7102349479287497,11.816746343076359,-24.92306134264244,-30.03522815419056,-19.888210811767156
1321T,3645,25.885693120381998,8,90,20,2000,20260906,6.393476885848995,3.1181553197712497,9.467344432428384,1.6148038724990952,-1.575138403458515,4.677551904471215
