direction,horizon,claim,n_real,n_pb,point,lo,hi,pub_lo,pub_hi,abs_diff,bad_iters
long,1,行きすぎ,3314,394,2.1817591622457377,1.2389870365283837,3.2136826470115363,1.239,3.214,0.00031735298846369275,0
long,1,転換,703,393,2.1690864895350135,0.2629969154729998,4.072877221141667,0.263,4.073,0.00012277885833356095,0
long,5,行きすぎ,3314,394,0.8167698783294275,-2.425391489357353,4.240014230497794,-2.425,4.24,0.00039148935735333623,0
long,5,転換,703,393,-0.35240746856576477,-3.3792369138407325,2.9664629318680675,-3.379,2.966,0.00046293186806734,0
long,15,行きすぎ,3314,394,-0.023400581735741,-4.720975488135676,5.300042644622282,-4.721,5.3,4.264462228231736e-05,0
long,15,転換,703,393,1.4204178696082788,-4.657309564126832,7.803881232729207,-4.657,7.804,0.0003095641268320293,0
long,60,行きすぎ,3314,394,-5.805084013291064,-17.3847074778313,5.975776757659142,-17.385,5.976,0.00029252216870290226,0
long,60,転換,703,393,-2.4170872177193683,-13.504276271169108,8.966848655799101,-13.504,8.967,0.000276271169108,0
short,1,行きすぎ,2288,299,-1.4274174127908392,-2.994932327311331,-0.037912305715147754,-2.995,-0.038,8.769428485224523e-05,0
short,1,転換,357,299,0.05467839045063161,-2.6551259724778578,2.9669463265342713,-2.655,2.967,0.00012597247785794963,0
short,5,行きすぎ,2288,299,-2.904623096782727,-6.055376186026583,0.31650364411276954,-6.055,0.317,0.0004963558872304596,0
short,5,転換,357,299,0.9226319744650002,-4.16185887588315,5.989311476798882,-4.162,5.989,0.00031147679888210433,0
short,15,行きすぎ,2288,299,-4.599199710549141,-9.688274679414539,0.21821075278949004,-9.688,0.218,0.00027467941453807043,0
short,15,転換,357,299,6.5477986718754,-2.744759350736364,16.226440702840023,-2.745,16.226,0.0004407028400237323,0
short,60,行きすぎ,2288,299,-18.69190251313115,-35.76710295624727,-3.1973606041255933,-35.767,-3.197,0.0003606041255932446,0
short,60,転換,357,299,6.969816701656547,-5.521180251291335,19.13949455132187,-5.521,19.139,0.0004945513218714837,0
