direction,horizon,n_a,n_b,point,ref_point,lo,ref_lo,hi,ref_hi,abs_diff_point
long,1,703,393,2.1690864895350135,2.1690864895350135,0.048889307965697404,0.040405291558539363,4.305199028306754,4.268550549975789,0.0
long,5,703,393,-0.3524074685657652,-0.3524074685657652,-5.096689385213924,-5.045289090318266,4.244722123459497,4.3021968799958,0.0
long,15,703,393,1.420417869608277,1.420417869608277,-5.685817239271619,-5.836764782466314,8.487665355750643,8.686179814653414,0.0
long,60,703,393,-2.4170872177193647,-2.4170872177193647,-15.069345826981579,-15.01247369679032,9.768211233490234,9.821984053739369,0.0
short,1,357,299,0.05467839045063094,0.05467839045063094,-2.50750787369469,-2.542659266698744,2.708262892301045,2.708842459465426,0.0
short,5,357,299,0.9226319744650007,0.9226319744650007,-4.491370701337049,-4.515985076273053,6.308980138184693,6.332343489085447,0.0
short,15,357,299,6.547798671875398,6.547798671875398,-2.148128458119024,-2.0050623825218348,15.378293731075281,15.223762722458988,0.0
short,60,357,299,6.969816701656548,6.969816701656548,-7.282904014074317,-7.4630009655093605,21.345243221577583,21.54586346744548,0.0
