財務省,,,,,,,,
Ministry of Finance,,,,,,,,
,,,,,,,,
外国為替平衡操作の実施状況,,,,,,,,
Foreign Exchange Intervention Operations,,,,,,,,
,,,,,,,,
(データ期間:平成3年4月～),,,,,,,,
(period:April 1991-),,,,,,,,
,,,,,,,,
(単位:億円),,,,,,,,
(amount:100 million Yen),,,,,,,,
,,,,,,,,
実施年月日,,,Intervention Date,,,,,
年,月,日,Year,Month,Day,金額(amount),売買通貨,Currency pairs
,,,,,,,,
,,2日,,,2,278,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,3日,,,3,646,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,4日,,,4,108,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,8日,,,8,772,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,10日,,,10,679,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,11日,,,11,478,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,14日,,,14,632,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,15日,,,15,735,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,28日,,,28,105,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
平成5年4～6月期計,,,April - June 1993,,,"17,113",,
平成5年,7月,30日,1993,Jul,30,366,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,8月,2日,,Aug,2,157,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,3日,,,3,574,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,4日,,,4,157,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,5日,,,5,104,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,11日,,,11,540,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,12日,,,12,372,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,13日,,,13,645,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,13日,,,13,48,独マルク買い・日本円売り,the German mark (bought) the Japanese yen (sold)
,,16日,,,16,870,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,17日,,,17,"2,002",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,19日,,,19,170,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,20日,,,20,524,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,23日,,,23,238,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,24日,,,24,714,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,25日,,,25,376,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,26日,,,26,158,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,27日,,,27,234,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,9月,7日,,Sep,7,218,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
平成5年7～9月期計,,,July - September 1993,,,"8,467",,
平成5年10～12月期計,,,October - December 1993,,,0,,
