report_date,market,open_interest,nc_long,nc_short,nc_spread,comm_long,comm_short,nonrept_long,nonrept_short
1986-01-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,23231,7668,715,90,5234,18333,10239,4093
1986-01-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,31732,14509,1331,395,2761,25823,14067,4183
1986-02-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,34452,12512,2195,2761,7023,22202,12156,7294
1986-02-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,33792,11829,1748,1949,9005,24763,11009,5332
1986-03-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,47322,18786,4165,682,12908,38335,14946,4140
1986-03-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,31305,16358,1689,220,2650,24181,12077,5215
1986-04-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,28691,10584,4091,234,5260,19419,12613,4947
1986-04-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,38348,20589,2598,1135,3021,28915,13603,5700
1986-05-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,41423,21080,9829,473,3951,24218,15919,6903
1986-05-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,38363,18757,4426,735,6977,22991,11894,10211
1986-06-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,44257,11445,1731,807,21763,39077,10242,2642
1986-06-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,37443,19761,209,0,1342,31292,16340,5942
1986-07-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,55806,25150,0,4,8391,47688,22261,8114
1986-07-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,47528,18089,1073,0,10232,38402,19207,8053
1986-08-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,42796,12356,4840,407,15238,24532,14795,13017
1986-08-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,49571,4774,12165,323,29260,21788,15214,15295
1986-09-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,46360,3054,11634,554,32194,18734,10558,15438
1986-09-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,30463,7607,1470,270,8279,20688,14307,8035
1986-10-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,32044,5164,2153,388,12210,20756,14282,8747
1986-10-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,43062,2164,11814,308,28966,14400,11624,16540
1986-11-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,40547,2621,8997,375,24945,17709,12606,13466
1986-11-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,41052,3366,9269,324,24090,18622,13272,12837
1986-12-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,37066,2914,8047,0,25684,13389,8468,15630
1986-12-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,23172,5398,1606,267,6393,14390,11114,6909
1987-01-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,33067,10555,1291,0,7143,25685,15369,6091
1987-01-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,32164,6749,1285,0,11537,19777,13878,11102
1987-02-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,30292,9220,2250,0,8902,19576,12170,8466
1987-02-27,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,31988,9321,1777,800,8991,20906,12876,8505
