report_date,market,open_interest,nc_long,nc_short,nc_spread,comm_long,comm_short,nonrept_long,nonrept_short
1987-03-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,37276,9687,2179,400,13648,26997,13541,7700
1987-03-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,43282,18352,2427,530,7055,31980,17345,8345
1987-04-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,46438,18351,2078,760,9677,32702,17650,10898
1987-04-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,47410,17264,3188,211,11800,29445,18135,14566
1987-05-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,44609,12553,2308,342,14053,27843,17661,14116
1987-05-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,51681,15948,5737,483,25786,25813,9464,19648
1987-06-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,40871,8319,1777,738,18556,20839,13258,17517
1987-06-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,27969,4612,5846,2911,17129,7588,3317,11624
1987-07-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,35984,6671,7081,1873,13112,8079,14328,18951
1987-07-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,38334,8740,6215,479,13389,13214,15726,18426
1987-08-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,37320,6665,8533,892,15426,11586,14337,16309
1987-08-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,52905,21447,1669,917,10411,34721,20130,15598
1987-09-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,40933,8963,6834,732,19487,20939,11751,12428
1987-09-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,37058,5653,4665,416,18090,16971,12899,15006
1987-10-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,49237,12992,1185,528,14501,36424,21216,11100
1987-10-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,46297,8745,1155,457,16855,35076,20240,9609
1987-11-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,52752,8134,1669,1505,24414,38332,18699,11246
1987-11-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,60299,10972,2069,825,26687,44902,21815,12503
1987-12-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,36598,10625,3674,549,18202,21778,7222,10597
1987-12-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,42656,11861,4966,1290,9768,24835,19737,11565
1988-01-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,48605,10284,7954,819,21534,23140,15968,16692
1988-01-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,54303,13171,9937,619,24025,27009,16488,16738
1988-02-12,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,53494,7925,3353,770,28939,30595,15860,18776
1988-02-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,61820,10397,7086,1163,26861,38220,23399,15351
1988-03-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,42519,14343,10637,807,16670,45536,10699,-14461
1988-03-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,53572,17284,3144,807,10604,38887,24877,10734
1988-04-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,45478,12841,2945,807,7738,27770,24092,13956
1988-04-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,43499,10253,4599,747,12002,22680,20497,15473
1988-05-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,51139,10180,5224,868,15578,29321,24513,15726
1988-05-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,49763,8211,8867,1044,21626,21388,18882,18464
1988-06-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,35732,7397,11887,1047,21503,9454,5785,13344
1988-06-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,42550,10558,11015,293,19867,11738,11832,19504
1988-07-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,52812,15488,9916,401,24870,21452,12053,21043
1988-07-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,49262,8645,10440,156,23648,20632,16813,18034
1988-08-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,47371,8873,9946,485,22164,19803,15849,17137
1988-08-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,63746,6506,20609,623,37284,13232,19333,29282
1988-09-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,57941,4444,12323,462,38118,24629,14917,20527
1988-09-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,31690,3808,9590,122,16545,5911,11215,16067
1988-10-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,48413,13057,7866,400,15690,23622,19266,16525
1988-10-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,48882,12505,5757,1453,16843,26142,18081,15530
1988-11-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,51272,15632,4100,0,16197,31054,19443,16118
1988-11-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,55538,13825,4598,0,16371,29125,25342,21815
1988-12-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,54094,6000,6792,1720,32477,27163,13897,18419
1988-12-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,32647,4205,10957,554,17487,4960,10401,16176
1989-01-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,38313,3730,10446,248,22251,7509,12084,20110
1989-01-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,52064,10704,15958,2647,24368,11828,14345,21631
1989-02-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,47922,8131,8316,1016,17853,24031,20922,14559
1989-02-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,50738,8531,11659,1660,18438,22968,22109,14451
1989-03-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,49798,7389,25962,1838,29367,2182,11204,19816
1989-03-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,51867,7714,24420,277,28226,5131,15650,22039
1989-04-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,49884,6114,18194,987,23232,10641,19551,20062
1989-04-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,52005,5491,16509,2931,27510,12962,16073,19603
1989-05-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,68747,8017,24157,362,45360,19407,15008,24821
1989-05-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,75508,10428,16916,1087,49678,32864,14315,24641
1989-06-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,98730,14367,15227,335,64000,53503,20028,29665
1989-06-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,44031,4835,9966,2480,22378,10899,14338,20686
1989-07-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,45782,5464,10768,288,26380,15753,13650,18973
1989-07-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,56683,8440,12568,1849,21775,22028,24619,20238
1989-08-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,56415,6766,13337,887,32377,18043,16385,24148
1989-08-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,73355,5864,22500,3206,50160,18628,14125,29021
1989-09-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,89914,5839,26843,1408,68979,36739,13688,24924
1989-09-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,52052,6336,7783,1977,25654,25079,18085,17213
1989-10-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,50655,4452,9754,762,29210,21348,16231,18791
1989-10-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,55646,4737,13099,10,35263,22600,15636,19937
1989-11-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,59673,7675,12582,687,35867,23234,15444,23170
1989-11-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,66167,12322,11792,444,28945,35657,24456,18274
1989-12-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,59538,4557,12430,1077,37553,28689,16351,17342
1989-12-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,49960,7739,6557,729,21579,28688,19913,13986
1990-01-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,58418,5547,13714,1480,34998,20872,16393,22352
1990-01-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,62631,8964,9563,612,29752,36362,23303,16094
1990-02-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,63179,8824,13276,973,30333,35269,23049,13661
1990-02-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,80467,6925,28110,2367,50009,23228,21166,26762
1990-03-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,96299,8513,29408,2966,64271,38443,20549,25482
1990-03-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,68066,19563,26785,3189,27950,17417,17364,20675
1990-04-12,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,67872,16068,20961,3939,29849,22552,18016,20420
1990-04-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,74209,12573,19260,6415,33591,28545,21630,19989
1990-05-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,82431,20232,12699,5550,28059,51360,28590,12822
1990-05-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,75157,13166,6740,7022,28080,49183,26889,12212
1990-06-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,67044,9069,10865,2106,30293,31046,25576,23027
1990-06-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,44853,9982,12646,805,11576,18979,22490,12423
1990-07-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,70338,25701,10657,1202,12593,48913,30842,9566
1990-07-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,62136,16271,10347,334,17364,40726,28167,10729
1990-08-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,62083,18485,14296,1052,21383,34140,21163,12595
1990-08-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,72590,24957,13847,594,21439,47370,25600,10779
1990-09-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,90764,22973,14763,2860,38921,62812,26010,10329
1990-09-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,69109,23915,17992,4,22670,39227,22520,11886
1990-10-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,75460,27491,10352,370,20986,56220,26613,8518
1990-10-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,77323,23209,8078,405,27788,57113,25921,11727
1990-11-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,80442,11050,11570,588,39651,49378,29153,18906
1990-11-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,79466,8216,8569,1990,46042,48298,23218,20609
1990-12-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,79611,3607,10009,3507,59135,48197,13362,17898
1990-12-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,44250,2171,15647,0,30636,9745,11443,18858
1991-01-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,39537,2081,9484,10,24954,10689,12492,19354
1991-01-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,56674,8183,6813,793,27136,34721,20562,14347
1991-02-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,63987,7019,5286,2206,30546,43999,24216,12496
1991-02-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,64094,4750,10210,2793,38078,33965,18473,17126
1991-03-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,63862,4481,12039,2955,40270,29026,16156,19842
1991-03-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,42975,5285,14360,2703,24111,7793,10876,18119
1991-04-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,49401,8507,8189,6389,15866,19146,18639,15677
1991-04-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,50770,8808,6781,5040,18473,24974,18449,13975
1991-05-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,54314,10824,7874,4500,21931,25628,17059,16312
1991-05-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,53855,7247,7755,5118,26433,24781,15057,16201
1991-06-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,68326,6353,16430,5018,41927,21810,15028,25068
1991-06-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,47731,11729,9139,4239,14409,22463,17354,11890
1991-07-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,61280,20700,6908,3934,12292,40825,24354,9613
1991-07-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,49013,7109,9084,5255,20490,23817,16159,10857
1991-08-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,60071,14121,9220,4135,22812,33896,19003,12820
1991-08-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,56107,6168,9682,4443,30722,29764,14774,12218
1991-09-16,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,79172,16586,10012,2456,33562,58042,26568,8662
1991-09-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,58214,18705,9643,2250,11976,37703,25283,8618
1991-10-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,81265,26191,8316,2212,21478,61927,31384,8810
1991-10-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,68782,16193,10103,2934,25425,45659,24230,10086
1991-11-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,76996,18701,7538,3883,27578,57306,26834,8269
1991-11-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,70753,11688,7772,3369,34228,47162,21468,12450
1991-12-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,72824,8422,8691,2480,40730,51523,21192,10130
1991-12-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,59874,15179,8598,2274,17877,41559,24544,7443
1992-01-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,58338,13314,9825,4120,24153,34411,16751,9982
1992-01-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,67215,16190,9733,3742,25881,42504,21402,11236
1992-02-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,66896,12586,8237,3811,33544,38599,16955,16249
1992-02-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,71720,8151,13790,5445,40485,32077,17639,20408
1992-03-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,86413,2609,21390,3780,68178,38240,11846,23003
1992-03-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,59747,8836,22407,3927,36071,11336,10913,22077
1992-04-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,61269,1527,17620,4097,43636,19512,12009,20040
1992-04-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,62950,2812,17039,4197,43626,23783,12315,17931
1992-05-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,61061,6551,10769,4201,31534,34347,18775,11744
1992-05-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,67608,9608,7987,4781,29229,44451,23990,10389
1992-06-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,73130,11380,7917,4693,34795,50788,22262,9732
1992-06-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,54153,6855,7114,4626,22404,32640,20268,9773
1992-07-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,57460,7624,8783,1241,30609,38091,17986,9345
1992-07-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,56217,3004,14009,635,41914,27733,10664,13840
1992-08-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,55249,5171,11436,1576,35493,31330,13009,10907
1992-08-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,67081,9199,7832,3496,29958,45982,24428,9771
1992-09-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,61174,10443,8820,742,29947,36910,20042,14702
1992-09-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,45920,13136,7097,0,12902,32477,19882,6346
1992-10-06,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,47321,13525,6625,0,12248,32872,21548,7824
1992-10-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,40308,10347,6692,0,12652,24787,17309,8829
1992-10-20,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,45289,13501,7690,0,14743,25648,17045,11951
1992-10-27,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,44509,12397,7789,0,15403,24350,16709,12370
1992-11-03,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,43247,10338,8713,0,17488,21947,15421,12587
1992-11-10,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,43343,8364,10164,0,23193,18086,11786,15093
1992-11-17,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,48162,5636,10443,1363,30318,19371,10845,16985
1992-11-24,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,46784,6143,10594,1798,26064,20576,12779,13816
1992-12-01,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,49615,5850,9826,2694,28448,20842,12623,16253
1992-12-08,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,55213,4124,9913,2447,33457,25425,15185,17428
1992-12-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,51707,6059,8886,1758,30929,29045,12961,12018
1992-12-22,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,40440,9567,9526,1985,15255,16540,13633,12389
1992-12-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,43890,4858,13983,1996,29139,9467,7897,18444
1993-01-05,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,47748,3961,15311,2053,33857,9071,7877,21313
1993-01-12,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,48995,3217,16110,1976,35144,8030,8658,22879
1993-01-19,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,53223,1793,19493,2109,41752,7440,7569,24181
1993-01-26,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,50267,5454,11510,2329,28204,23115,14280,13313
1993-02-02,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,49684,6286,10455,2220,27456,24221,13722,12788
1993-02-09,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,67592,18100,9683,2146,22813,43914,24533,11849
1993-02-16,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,77217,26041,9344,1896,20226,54090,29054,11887
1993-02-23,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,84352,29982,9626,1873,21493,61230,31004,11623
1993-03-02,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,86041,28817,9854,2617,21895,62000,32712,11570
1993-03-09,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,91735,25660,8298,1254,31902,65653,32919,16530
1993-03-16,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,102504,29646,17120,1873,37249,67721,33736,15790
1993-03-23,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,73225,30784,13728,1327,10111,48886,31003,9284
1993-03-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,68945,24455,14527,2021,15902,43309,26567,9088
1993-04-06,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,73140,27477,14293,1725,15031,45603,28907,11519
1993-04-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,78095,27466,5098,1706,19084,58694,29839,12597
1993-04-20,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,80388,27736,5206,2339,20269,59636,30044,13207
1993-04-27,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,77016,23965,5088,2325,23964,56123,26762,13480
1993-05-04,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,78734,24033,4500,2322,25983,58450,26396,13462
1993-05-11,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,76829,22168,4782,2420,28649,54123,23592,15504
1993-05-18,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,78349,25068,4021,2449,27288,55028,23544,16851
1993-05-25,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,89308,30260,3774,2457,24139,65639,32452,17438
1993-06-01,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,92225,29993,4234,2994,25120,66825,34118,18172
1993-06-08,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,98719,31016,4555,1193,32372,72939,34138,20032
1993-06-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,96625,34555,5362,866,32121,68692,29083,21705
1993-06-22,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,64172,21297,7386,1050,20885,37430,20940,18306
1993-06-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,65907,24833,8329,1084,18827,39785,21163,16709
1993-07-06,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,67374,23960,10175,1131,22681,37628,19602,18440
1993-07-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,73422,22638,10558,1266,27633,39479,21885,22119
1993-07-20,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,71003,20776,10040,1215,28169,39081,20843,20667
1993-07-27,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,75198,29532,8622,1764,17239,46081,26663,18731
1993-08-03,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,78735,32867,7282,1865,14468,51592,29535,17996
1993-08-10,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,77346,29742,9531,1748,18906,47882,26950,18185
1993-08-17,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,85910,34519,9882,2415,17051,52512,31925,21101
1993-08-24,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,81682,28021,10219,2504,27195,48564,23962,20395
1993-08-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,82941,26086,10959,2623,31893,50111,22339,19248
1993-09-07,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,86428,17832,12540,2415,44058,50634,22123,20839
1993-09-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,84465,5352,13172,122,64836,48730,14155,22441
1993-09-21,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,59291,2766,16438,531,43921,17436,12073,24886
1993-09-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,59209,4227,13780,253,41171,19908,13558,25268
1993-10-05,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,60642,2393,15372,429,47460,19819,10360,25022
1993-10-12,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,65006,2254,15503,1372,49591,21114,11789,27017
1993-10-19,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,93772,2057,35105,2062,80154,20581,9499,36024
1993-10-26,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,102775,1431,41525,2051,88894,21112,10399,38087
1993-11-02,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,93601,1210,34004,3422,76192,18740,12777,37435
1993-11-09,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,93744,2231,32811,3755,75565,22763,12193,34415
1993-11-16,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,76575,5364,15419,3620,51092,32793,16499,24743
1993-11-23,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,82388,1934,16737,3450,64072,26585,12932,35616
1993-11-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,92775,2265,24897,4764,70195,25783,15551,37331
1993-12-07,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,90361,2318,22090,2765,70534,30731,14744,34775
1993-12-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,98111,2549,28413,1090,83018,34027,11454,34581
1993-12-21,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,101590,3598,46325,2407,87637,14754,7948,38104
1993-12-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,100336,3296,46395,2366,85651,15603,9023,35972
1994-01-04,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,103821,25528,47798,2986,65201,15562,10106,37475
1994-01-11,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,105981,23920,44511,3763,67235,20690,11063,37017
1994-01-18,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,106559,23459,42069,4322,66672,22796,12106,37372
1994-01-25,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,100271,3350,36313,4527,80988,24182,11406,35249
1994-02-01,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,84861,4406,13925,4330,60077,36894,16048,29712
1994-02-08,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,86434,8700,15066,4198,56426,40520,17110,26650
