exchange,symbol,timestamp,local_timestamp,id,side,price,amount
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067918,1489357956,buy,792830,0.388
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067918,1489357957,buy,792831,0.011
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067918,1489357958,buy,792831,0.01
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067918,1489357959,buy,792832,0.019
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067918,1489357960,buy,792832,0.1
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067918,1489357961,buy,792835,0.018
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067918,1489357962,buy,792836,0.018
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067918,1489357963,buy,792836,0.01
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067918,1489357964,buy,792841,0.01
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067918,1489357965,buy,792845,0.018
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067918,1489357966,buy,792846,0.21814815
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067918,1489357967,buy,792846,0.01
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067918,1489357968,buy,792849,0.018
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067986,1489357969,buy,792851,0.01
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067986,1489357970,buy,792851,0.03807971
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067986,1489357971,buy,792851,0.01
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067986,1489357972,buy,792851,0.01
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067986,1489357973,buy,792851,0.1
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067986,1489357974,buy,792854,0.011
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067986,1489357975,buy,792854,0.018
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067986,1489357976,buy,792856,0.3815
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067986,1489357977,buy,792856,0.3
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067986,1489357978,buy,792857,0.3716
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067986,1489357979,buy,792858,0.019
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067986,1489357980,buy,792858,0.3888
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067986,1489357981,buy,792858,0.01
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067986,1489357982,buy,792859,0.011
bitflyer,FX_BTC_JPY,1577836800639723,1577836802067986,1489357983,buy,792859,0.18579903
bitflyer,FX_BTC_JPY,1577836800795969,1577836802068022,1489357984,buy,792859,0.03234912
bitflyer,FX_BTC_JPY,1577836800795969,1577836802068022,1489357985,buy,792861,0.01
bitflyer,FX_BTC_JPY,1577836800795969,1577836802068022,1489357986,buy,792862,0.019
bitflyer,FX_BTC_JPY,1577836800795969,1577836802068022,1489357987,buy,792864,0.011
bitflyer,FX_BTC_JPY,1577836800795969,1577836802068022,1489357988,buy,792865,0.04285088
bitflyer,FX_BTC_JPY,1577836801694054,1577836802068099,1489357989,sell,792680,0.006
bitflyer,FX_BTC_JPY,1577836801694054,1577836802068099,1489357990,sell,792676,0.004
bitflyer,FX_BTC_JPY,1577836802495265,1577836802697109,1489357992,buy,792738,0.01
bitflyer,FX_BTC_JPY,1577836802495265,1577836802697109,1489357993,buy,792738,0.01
bitflyer,FX_BTC_JPY,1577836802813069,1577836803155887,1489357994,buy,792777,0.02696113
bitflyer,FX_BTC_JPY,1577836802813069,1577836803155887,1489357995,buy,792778,0.2
