走行,群,区分,h,n,平均bp,SE(平均),mfe平均,SE(mfe),mae平均,SE(mae),反転の割合,SE(反転の割合)
gap60_w24,全体,清算,1,21198,-6.800366,0.081882,3.599209,0.035456,-11.880773,0.083083,0.737239,0.003023
gap60_w24,全体,清算,5,21198,-7.070600,0.184894,13.061284,0.150592,-21.997277,0.148880,0.646618,0.003283
gap60_w24,全体,清算,15,21198,-7.430553,0.294416,25.677010,0.286484,-33.444510,0.227483,0.620908,0.003332
gap60_w24,全体,清算,30,21198,-6.958241,0.397564,37.915056,0.409911,-43.653301,0.303363,0.607274,0.003354
gap60_w24,全体,清算,60,21196,-7.190048,0.539764,53.665450,0.543179,-57.906326,0.410683,0.600019,0.003365
gap60_w24,全体,清算,240,21195,-7.421139,0.937921,102.631640,0.913228,-104.749357,0.762953,0.567256,0.003403
gap60_w24,全体,対照,1,18441,-0.260747,0.051797,3.858485,0.036331,-4.119124,0.037319,0.505504,0.003682
gap60_w24,全体,対照,5,18441,-0.926665,0.101330,9.142128,0.070428,-10.179271,0.074428,0.528713,0.003676
gap60_w24,全体,対照,15,18441,-0.652559,0.224427,19.426573,0.174440,-20.002436,0.169031,0.518573,0.003679
gap60_w24,全体,対照,30,18440,0.121868,0.329604,29.986260,0.282707,-29.390357,0.249574,0.510141,0.003681
gap60_w24,全体,対照,60,18440,1.342558,0.465171,44.978800,0.430877,-42.639767,0.372556,0.505043,0.003682
gap60_w24,全体,対照,240,18436,8.494513,0.906701,99.071390,0.852804,-85.787344,0.731339,0.483294,0.003680
gap30_w8,全体,清算,1,25343,-4.761678,0.090582,5.549371,0.062632,-11.710315,0.082334,0.653001,0.002990
gap30_w8,全体,清算,5,25343,-5.280144,0.190891,16.462462,0.178141,-21.999765,0.152208,0.613621,0.003059
gap30_w8,全体,清算,15,25343,-5.666524,0.298834,30.006282,0.307490,-33.894812,0.232376,0.600837,0.003076
gap30_w8,全体,清算,30,25343,-5.321173,0.388272,42.595596,0.413081,-44.395804,0.302599,0.592669,0.003086
gap30_w8,全体,清算,60,25341,-5.648506,0.520373,58.707220,0.534676,-58.939195,0.397443,0.588888,0.003091
gap30_w8,全体,清算,240,25340,-6.252619,0.892141,107.931411,0.861925,-106.564654,0.729155,0.561484,0.003117
gap30_w8,全体,対照,1,20844,-0.321099,0.047118,3.714750,0.032541,-4.048840,0.035303,0.502927,0.003463
gap30_w8,全体,対照,5,20844,-0.656874,0.093463,9.022015,0.064726,-9.834119,0.068962,0.513001,0.003462
gap30_w8,全体,対照,15,20844,0.067455,0.208884,19.112430,0.155867,-19.065228,0.161376,0.499040,0.003463
gap30_w8,全体,対照,30,20843,1.371989,0.301110,29.691432,0.260317,-27.820592,0.237433,0.494171,0.003463
gap30_w8,全体,対照,60,20843,3.239626,0.427664,45.022192,0.403684,-40.295445,0.349532,0.484863,0.003462
gap30_w8,全体,対照,240,20838,11.492957,0.869873,99.876052,0.799502,-83.415631,0.704575,0.461129,0.003453
gap30_w24,全体,清算,1,25343,-4.761678,0.090582,5.549371,0.062632,-11.710315,0.082334,0.653001,0.002990
gap30_w24,全体,清算,5,25343,-5.280144,0.190891,16.462462,0.178141,-21.999765,0.152208,0.613621,0.003059
gap30_w24,全体,清算,15,25343,-5.666524,0.298834,30.006282,0.307490,-33.894812,0.232376,0.600837,0.003076
gap30_w24,全体,清算,30,25343,-5.321173,0.388272,42.595596,0.413081,-44.395804,0.302599,0.592669,0.003086
gap30_w24,全体,清算,60,25341,-5.648506,0.520373,58.707220,0.534676,-58.939195,0.397443,0.588888,0.003091
gap30_w24,全体,清算,240,25340,-6.252619,0.892141,107.931411,0.861925,-106.564654,0.729155,0.561484,0.003117
gap30_w24,全体,対照,1,21247,-0.326825,0.047853,3.845463,0.033259,-4.126689,0.034891,0.508401,0.003430
gap30_w24,全体,対照,5,21247,-0.881023,0.094273,9.186968,0.065154,-10.189934,0.069116,0.524121,0.003426
gap30_w24,全体,対照,15,21247,-0.549270,0.208712,19.482042,0.161464,-20.019524,0.159013,0.518332,0.003428
gap30_w24,全体,対照,30,21246,0.263190,0.312358,30.172804,0.267797,-29.570166,0.234509,0.508896,0.003430
gap30_w24,全体,対照,60,21246,1.722914,0.438390,45.512990,0.408706,-42.770305,0.349591,0.503059,0.003430
gap30_w24,全体,対照,240,21242,8.539328,0.847584,99.650323,0.801022,-86.168919,0.694287,0.486112,0.003429
gap180_w8,全体,清算,1,15143,-7.511675,0.089300,3.147319,0.036270,-11.495532,0.089699,0.781021,0.003361
gap180_w8,全体,清算,5,15143,-11.140078,0.165217,7.242824,0.088412,-22.163537,0.145909,0.738295,0.003572
gap180_w8,全体,清算,15,15143,-11.521947,0.289417,17.689160,0.231297,-33.154369,0.225877,0.673909,0.003809
gap180_w8,全体,清算,30,15143,-11.422755,0.399796,28.250480,0.351171,-42.823033,0.310640,0.648617,0.003880
gap180_w8,全体,清算,60,15142,-11.283710,0.564700,42.906203,0.528144,-56.327559,0.431146,0.630498,0.003922
gap180_w8,全体,清算,240,15141,-10.391812,1.019243,90.044608,0.974897,-100.774170,0.821928,0.580147,0.004011
gap180_w8,全体,対照,1,13868,-0.381379,0.056980,3.610136,0.039134,-3.989510,0.042173,0.508509,0.004245
gap180_w8,全体,対照,5,13868,-0.627466,0.112872,8.762640,0.078060,-9.631362,0.083628,0.517378,0.004243
gap180_w8,全体,対照,15,13868,-0.003147,0.230947,18.431595,0.176127,-18.598023,0.174522,0.502740,0.004246
gap180_w8,全体,対照,30,13867,0.949474,0.347820,28.259997,0.280136,-27.087551,0.270015,0.496358,0.004246
gap180_w8,全体,対照,60,13867,3.025320,0.496663,43.161279,0.451320,-38.948616,0.392938,0.483955,0.004244
