属性,群,h,n(清算),n(対照),平均bp(清算),平均bp(対照。距離でそろえた),差(距離でそろえた),SE(差),帯の最小n(清算),帯の最小n(対照)
bundle_total_notional,Q1(下位 3 分位),240,7064,6384,-2.456684,6.090477,-8.547161,2.232354,705,339
bundle_total_notional,Q2(中位 3 分位),1,7066,6168,-5.600102,-0.237472,-5.362630,0.161157,706,252
bundle_total_notional,Q2(中位 3 分位),5,7066,6168,-6.064761,-0.639669,-5.425092,0.369931,706,252
bundle_total_notional,Q2(中位 3 分位),15,7066,6168,-6.918471,-0.546306,-6.372165,0.661564,706,252
bundle_total_notional,Q2(中位 3 分位),30,7066,6168,-6.548010,1.466555,-8.014565,0.948395,706,252
bundle_total_notional,Q2(中位 3 分位),60,7066,6168,-7.093489,3.954954,-11.048444,1.291543,706,252
bundle_total_notional,Q2(中位 3 分位),240,7066,6167,-8.278294,10.832134,-19.110428,2.491292,706,252
bundle_total_notional,Q3(上位 3 分位),1,7066,5644,-10.667352,-0.341255,-10.326096,0.222198,706,157
bundle_total_notional,Q3(上位 3 分位),5,7066,5644,-11.220578,-0.829742,-10.390835,0.477833,706,157
bundle_total_notional,Q3(上位 3 分位),15,7066,5644,-11.468976,0.104107,-11.573083,0.872582,706,157
bundle_total_notional,Q3(上位 3 分位),30,7066,5644,-10.803073,0.823039,-11.626113,1.243060,706,157
bundle_total_notional,Q3(上位 3 分位),60,7065,5644,-10.639255,4.088104,-14.727359,1.701601,705,157
bundle_total_notional,Q3(上位 3 分位),240,7065,5643,-11.527615,17.811738,-29.339353,3.139511,705,157
bundle_width_ms,Q1(下位 3 分位),1,12029,11000,-3.971129,-0.339014,-3.632115,0.109559,1202,575
bundle_width_ms,Q1(下位 3 分位),5,12029,11000,-4.173040,-0.785277,-3.387763,0.254648,1202,575
bundle_width_ms,Q1(下位 3 分位),15,12029,11000,-4.660447,-0.020726,-4.639721,0.449314,1202,575
bundle_width_ms,Q1(下位 3 分位),30,12029,10999,-4.216071,0.454486,-4.670558,0.662415,1202,575
bundle_width_ms,Q1(下位 3 分位),60,12028,10999,-4.332249,3.125870,-7.458119,0.925111,1201,575
bundle_width_ms,Q1(下位 3 分位),240,12028,10995,-3.075421,7.436133,-10.511554,1.761916,1201,575
bundle_width_ms,Q2(中位 3 分位),1,2103,1648,-9.079736,-0.001143,-9.078593,0.373327,210,38
