属性,群,h,n(清算),反転の割合(清算),SE(清算),n(対照),反転の割合(対照),SE(対照),差(清算 − 対照),SE(差)
bin_pct,Q1(下位 3 分位),60,7149,0.644286,0.005662,4296,0.498603,0.007628,0.145683,0.009500
bin_pct,Q1(下位 3 分位),240,7149,0.595748,0.005804,4293,0.436292,0.007569,0.159456,0.009538
bin_pct,Q2(中位 3 分位),1,6986,0.721443,0.005363,6863,0.504881,0.006035,0.216562,0.008074
bin_pct,Q2(中位 3 分位),5,6986,0.643573,0.005730,6863,0.516538,0.006032,0.127035,0.008320
bin_pct,Q2(中位 3 分位),15,6986,0.623533,0.005797,6863,0.494682,0.006035,0.128851,0.008368
bin_pct,Q2(中位 3 分位),30,6986,0.604352,0.005850,6863,0.486376,0.006033,0.117975,0.008404
bin_pct,Q2(中位 3 分位),60,6985,0.593844,0.005876,6863,0.476905,0.006029,0.116939,0.008419
bin_pct,Q2(中位 3 分位),240,6984,0.564147,0.005934,6862,0.454678,0.006011,0.109469,0.008446
bin_pct,Q3(上位 3 分位),1,7062,0.679128,0.005555,7039,0.485580,0.005957,0.193547,0.008145
bin_pct,Q3(上位 3 分位),5,7062,0.608326,0.005809,7039,0.508311,0.005959,0.100015,0.008321
bin_pct,Q3(上位 3 分位),15,7062,0.585670,0.005862,7039,0.491689,0.005959,0.093981,0.008359
bin_pct,Q3(上位 3 分位),30,7062,0.571226,0.005889,7039,0.500639,0.005960,0.070587,0.008378
bin_pct,Q3(上位 3 分位),60,7062,0.561314,0.005905,7039,0.483307,0.005956,0.078007,0.008387
bin_pct,Q3(上位 3 分位),240,7062,0.541490,0.005929,7039,0.480324,0.005955,0.061166,0.008403
bundle_n_events_dedup,Q1(下位 3 分位),1,12029,0.678277,0.004259,11000,0.498364,0.004767,0.179914,0.006393
bundle_n_events_dedup,Q1(下位 3 分位),5,12029,0.615346,0.004436,11000,0.516818,0.004765,0.098528,0.006510
bundle_n_events_dedup,Q1(下位 3 分位),15,12029,0.596641,0.004473,11000,0.497909,0.004767,0.098732,0.006537
bundle_n_events_dedup,Q1(下位 3 分位),30,12029,0.583507,0.004495,10999,0.502955,0.004767,0.080552,0.006552
bundle_n_events_dedup,Q1(下位 3 分位),60,12028,0.581975,0.004497,10999,0.489954,0.004767,0.092022,0.006553
bundle_n_events_dedup,Q1(下位 3 分位),240,12028,0.549967,0.004536,10995,0.470850,0.004760,0.079116,0.006576
bundle_n_events_dedup,Q2(中位 3 分位),1,3906,0.759345,0.006840,3301,0.499243,0.008703,0.260102,0.011069
bundle_n_events_dedup,Q2(中位 3 分位),5,3906,0.649514,0.007634,3301,0.511663,0.008700,0.137850,0.011575
bundle_n_events_dedup,Q2(中位 3 分位),15,3906,0.621096,0.007762,3301,0.504998,0.008702,0.116097,0.011661
bundle_n_events_dedup,Q2(中位 3 分位),30,3906,0.615207,0.007785,3301,0.491972,0.008701,0.123235,0.011676
bundle_n_events_dedup,Q2(中位 3 分位),60,3906,0.600102,0.007838,3301,0.481975,0.008697,0.118127,0.011708
bundle_n_events_dedup,Q2(中位 3 分位),240,3905,0.565173,0.007933,3301,0.463799,0.008680,0.101374,0.011759
bundle_n_events_dedup,Q3(上位 3 分位),1,5263,0.855596,0.004845,3898,0.494100,0.008008,0.361496,0.009360
bundle_n_events_dedup,Q3(上位 3 分位),5,5263,0.715941,0.006216,3898,0.512827,0.008006,0.203114,0.010136
bundle_n_events_dedup,Q3(上位 3 分位),15,5263,0.676230,0.006450,3898,0.489225,0.008007,0.187005,0.010281
bundle_n_events_dedup,Q3(上位 3 分位),30,5263,0.655710,0.006549,3898,0.488456,0.008006,0.167254,0.010344
bundle_n_events_dedup,Q3(上位 3 分位),60,5262,0.641201,0.006612,3898,0.471267,0.007995,0.169934,0.010375
bundle_n_events_dedup,Q3(上位 3 分位),240,5262,0.608324,0.006729,3898,0.427399,0.007924,0.180925,0.010395
bundle_total_notional,Q1(下位 3 分位),1,7066,0.688791,0.005508,6387,0.490214,0.006255,0.198577,0.008334
bundle_total_notional,Q1(下位 3 分位),5,7066,0.619162,0.005777,6387,0.516205,0.006253,0.102957,0.008513
bundle_total_notional,Q1(下位 3 分位),15,7066,0.595245,0.005839,6387,0.492876,0.006256,0.102369,0.008558
bundle_total_notional,Q1(下位 3 分位),30,7066,0.580526,0.005871,6386,0.503915,0.006257,0.076612,0.008580
bundle_total_notional,Q1(下位 3 分位),60,7065,0.584147,0.005864,6386,0.487629,0.006255,0.096518,0.008574
bundle_total_notional,Q1(下位 3 分位),240,7064,0.552095,0.005917,6384,0.473997,0.006249,0.078098,0.008606
bundle_total_notional,Q2(中位 3 分位),1,7066,0.724597,0.005314,6168,0.504864,0.006366,0.219733,0.008293
bundle_total_notional,Q2(中位 3 分位),5,7066,0.640957,0.005707,6168,0.517348,0.006363,0.123609,0.008547
bundle_total_notional,Q2(中位 3 分位),15,7066,0.622276,0.005768,6168,0.503729,0.006366,0.118547,0.008590
bundle_total_notional,Q2(中位 3 分位),30,7066,0.612086,0.005797,6168,0.494326,0.006366,0.117760,0.008610
bundle_total_notional,Q2(中位 3 分位),60,7066,0.600623,0.005826,6168,0.483463,0.006363,0.117160,0.008628
bundle_total_notional,Q2(中位 3 分位),240,7066,0.572177,0.005886,6167,0.464407,0.006351,0.107769,0.008659
bundle_total_notional,Q3(上位 3 分位),1,7066,0.798330,0.004773,5644,0.498051,0.006655,0.300279,0.008190
bundle_total_notional,Q3(上位 3 分位),5,7066,0.679734,0.005551,5644,0.511162,0.006654,0.168572,0.008665
bundle_total_notional,Q3(上位 3 分位),15,7066,0.645202,0.005692,5644,0.495393,0.006655,0.149809,0.008757
bundle_total_notional,Q3(上位 3 分位),30,7066,0.629210,0.005746,5644,0.494862,0.006655,0.134349,0.008793
bundle_total_notional,Q3(上位 3 分位),60,7065,0.615287,0.005788,5644,0.482105,0.006651,0.133182,0.008817
bundle_total_notional,Q3(上位 3 分位),240,7065,0.577495,0.005877,5643,0.440191,0.006608,0.137303,0.008843
bundle_width_ms,Q1(下位 3 分位),1,12029,0.678277,0.004259,11000,0.498364,0.004767,0.179914,0.006393
bundle_width_ms,Q1(下位 3 分位),5,12029,0.615346,0.004436,11000,0.516818,0.004765,0.098528,0.006510
bundle_width_ms,Q1(下位 3 分位),15,12029,0.596641,0.004473,11000,0.497909,0.004767,0.098732,0.006537
bundle_width_ms,Q1(下位 3 分位),30,12029,0.583507,0.004495,10999,0.502955,0.004767,0.080552,0.006552
bundle_width_ms,Q1(下位 3 分位),60,12028,0.581975,0.004497,10999,0.489954,0.004767,0.092022,0.006553
bundle_width_ms,Q1(下位 3 分位),240,12028,0.549967,0.004536,10995,0.470850,0.004760,0.079116,0.006576
bundle_width_ms,Q2(中位 3 分位),1,2103,0.808845,0.008574,1648,0.498180,0.012317,0.310665,0.015007
bundle_width_ms,Q2(中位 3 分位),5,2103,0.685212,0.010127,1648,0.522451,0.012304,0.162760,0.015936
bundle_width_ms,Q2(中位 3 分位),15,2103,0.645269,0.010433,1648,0.501820,0.012317,0.143448,0.016141
bundle_width_ms,Q2(中位 3 分位),30,2103,0.643842,0.010442,1648,0.507282,0.012315,0.136561,0.016146
bundle_width_ms,Q2(中位 3 分位),60,2103,0.630528,0.010525,1648,0.493325,0.012316,0.137203,0.016200
bundle_width_ms,Q2(中位 3 分位),240,2102,0.600381,0.010684,1648,0.464806,0.012286,0.135575,0.016282
bundle_width_ms,Q3(上位 3 分位),1,7066,0.816303,0.004607,5551,0.495947,0.006711,0.320357,0.008140
bundle_width_ms,Q3(上位 3 分位),5,7066,0.688367,0.005510,5551,0.509278,0.006710,0.179089,0.008682
bundle_width_ms,Q3(上位 3 分位),15,7066,0.654967,0.005655,5551,0.494866,0.006711,0.160102,0.008776
bundle_width_ms,Q3(上位 3 分位),30,7066,0.636853,0.005721,5551,0.484958,0.006708,0.151895,0.008816
bundle_width_ms,Q3(上位 3 分位),60,7065,0.621656,0.005770,5551,0.471086,0.006700,0.150570,0.008842
bundle_width_ms,Q3(上位 3 分位),240,7065,0.586837,0.005858,5551,0.437939,0.006659,0.148897,0.008869
doi_pre_1h,Q1(下位 3 分位),1,5048,0.745642,0.006130,4101,0.489637,0.007806,0.256005,0.009925
doi_pre_1h,Q1(下位 3 分位),5,5048,0.642433,0.006746,4101,0.498659,0.007808,0.143774,0.010318
doi_pre_1h,Q1(下位 3 分位),15,5048,0.607964,0.006871,4101,0.487198,0.007805,0.120765,0.010399
doi_pre_1h,Q1(下位 3 分位),30,5048,0.593106,0.006914,4101,0.495733,0.007807,0.097373,0.010429
doi_pre_1h,Q1(下位 3 分位),60,5046,0.587000,0.006931,4101,0.467691,0.007791,0.119309,0.010428
doi_pre_1h,Q1(下位 3 分位),240,5045,0.549851,0.007004,4101,0.456962,0.007779,0.092890,0.010468
doi_pre_1h,Q2(中位 3 分位),1,5047,0.733307,0.006225,4910,0.489409,0.007134,0.243898,0.009468
doi_pre_1h,Q2(中位 3 分位),5,5047,0.656826,0.006683,4910,0.523422,0.007128,0.133404,0.009771
doi_pre_1h,Q2(中位 3 分位),15,5047,0.628888,0.006800,4910,0.498371,0.007136,0.130518,0.009857
doi_pre_1h,Q2(中位 3 分位),30,5047,0.627105,0.006807,4909,0.496639,0.007136,0.130466,0.009862
doi_pre_1h,Q2(中位 3 分位),60,5047,0.613632,0.006854,4909,0.489713,0.007135,0.123919,0.009893
doi_pre_1h,Q2(中位 3 分位),240,5047,0.590252,0.006922,4907,0.447932,0.007099,0.142320,0.009915
doi_pre_1h,Q3(上位 3 分位),1,5048,0.746830,0.006120,4064,0.488435,0.007841,0.258395,0.009947
doi_pre_1h,Q3(上位 3 分位),5,5048,0.647781,0.006723,4064,0.512795,0.007841,0.134986,0.010328
doi_pre_1h,Q3(上位 3 分位),15,5048,0.623613,0.006819,4064,0.496309,0.007843,0.127304,0.010393
doi_pre_1h,Q3(上位 3 分位),30,5048,0.609152,0.006868,4064,0.493356,0.007843,0.115796,0.010424
doi_pre_1h,Q3(上位 3 分位),60,5048,0.611133,0.006861,4064,0.478839,0.007836,0.132295,0.010416
doi_pre_1h,Q3(上位 3 分位),240,5048,0.569929,0.006968,4062,0.453225,0.007811,0.116704,0.010467
implied_leverage,Q1(下位 3 分位),1,4384,0.821168,0.005788,3099,0.497580,0.008982,0.323588,0.010685
implied_leverage,Q1(下位 3 分位),5,4384,0.679516,0.007048,3099,0.519522,0.008975,0.159994,0.011412
implied_leverage,Q1(下位 3 分位),15,4384,0.643020,0.007236,3099,0.482091,0.008976,0.160929,0.011529
implied_leverage,Q1(下位 3 分位),30,4384,0.633212,0.007279,3099,0.477573,0.008973,0.155638,0.011554
implied_leverage,Q1(下位 3 分位),60,4384,0.633212,0.007279,3099,0.467247,0.008962,0.165964,0.011546
implied_leverage,Q1(下位 3 分位),240,4384,0.593066,0.007420,3099,0.402711,0.008810,0.190355,0.011518
implied_leverage,Q2(中位 3 分位),1,4383,0.757016,0.006478,3788,0.504752,0.008124,0.252264,0.010390
implied_leverage,Q2(中位 3 分位),5,4383,0.672142,0.007091,3788,0.522175,0.008116,0.149967,0.010777
implied_leverage,Q2(中位 3 分位),15,4383,0.633356,0.007279,3788,0.504224,0.008124,0.129132,0.010908
implied_leverage,Q2(中位 3 分位),30,4383,0.623089,0.007320,3787,0.505677,0.008124,0.117412,0.010936
implied_leverage,Q2(中位 3 分位),60,4381,0.616069,0.007348,3787,0.479271,0.008118,0.136798,0.010949
implied_leverage,Q2(中位 3 分位),240,4380,0.580822,0.007456,3785,0.436196,0.008061,0.144626,0.010980
implied_leverage,Q3(上位 3 分位),1,4384,0.679745,0.007047,4325,0.479769,0.007597,0.199976,0.010362
implied_leverage,Q3(上位 3 分位),5,4384,0.621122,0.007327,4325,0.498960,0.007603,0.122163,0.010559
implied_leverage,Q3(上位 3 分位),15,4384,0.609489,0.007368,4325,0.487168,0.007600,0.122321,0.010586
implied_leverage,Q3(上位 3 分位),30,4384,0.596487,0.007410,4325,0.492023,0.007602,0.104464,0.010616
implied_leverage,Q3(上位 3 分位),60,4384,0.589416,0.007430,4325,0.478382,0.007596,0.111035,0.010625
implied_leverage,Q3(上位 3 分位),240,4384,0.560675,0.007496,4323,0.476752,0.007596,0.083923,0.010672
side,SELL,1,12097,0.759114,0.003888,10643,0.496195,0.004846,0.262919,0.006213
side,SELL,5,12097,0.659750,0.004308,10643,0.513201,0.004845,0.146549,0.006483
side,SELL,15,12097,0.629826,0.004390,10643,0.493188,0.004846,0.136638,0.006539
side,SELL,30,12097,0.619988,0.004413,10642,0.496147,0.004847,0.123841,0.006555
side,SELL,60,12095,0.608764,0.004438,10642,0.481488,0.004844,0.127276,0.006569
side,SELL,240,12094,0.588060,0.004476,10639,0.464235,0.004835,0.123825,0.006589
side,BUY,1,9101,0.708164,0.004765,7556,0.499603,0.005752,0.208561,0.007470
side,BUY,5,9101,0.629162,0.005063,7556,0.517602,0.005749,0.111560,0.007660
side,BUY,15,9101,0.609054,0.005115,7556,0.503176,0.005752,0.105878,0.007697
side,BUY,30,9101,0.590375,0.005155,7556,0.500265,0.005752,0.090110,0.007724
side,BUY,60,9101,0.588397,0.005159,7556,0.488751,0.005751,0.099646,0.007725
side,BUY,240,9101,0.539611,0.005225,7555,0.454666,0.005729,0.084945,0.007753
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,1,3894,0.722650,0.007174,4363,0.500573,0.007570,0.222077,0.010429
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,5,3894,0.638675,0.007698,4363,0.515013,0.007566,0.123662,0.010794
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,15,3894,0.622239,0.007769,4363,0.486592,0.007567,0.135648,0.010845
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,30,3894,0.610169,0.007816,4363,0.490488,0.007568,0.119681,0.010880
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,60,3894,0.599384,0.007853,4363,0.480403,0.007564,0.118980,0.010903
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,240,3894,0.587057,0.007890,4363,0.466881,0.007553,0.120176,0.010923
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,1,4076,0.728901,0.006963,4586,0.489097,0.007382,0.239804,0.010147
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,5,4076,0.644995,0.007495,4586,0.511557,0.007381,0.133438,0.010520
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,15,4076,0.622424,0.007593,4586,0.489533,0.007382,0.132891,0.010590
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,30,4076,0.619480,0.007605,4586,0.495639,0.007383,0.123841,0.010599
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,60,4076,0.605741,0.007655,4586,0.486481,0.007381,0.119260,0.010633
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,240,4076,0.555201,0.007784,4586,0.452464,0.007350,0.102737,0.010706
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,1,7915,0.749842,0.004868,4884,0.507371,0.007154,0.242471,0.008653
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,5,7915,0.655212,0.005342,4884,0.523751,0.007146,0.131461,0.008923
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,15,7915,0.618446,0.005460,4884,0.515766,0.007151,0.102680,0.008997
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,30,7915,0.593557,0.005521,4884,0.507781,0.007154,0.085776,0.009036
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,60,7915,0.587871,0.005533,4884,0.473382,0.007144,0.114489,0.009036
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,240,7915,0.546810,0.005595,4884,0.443694,0.007109,0.103116,0.009047
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,1,5313,0.735554,0.006051,4366,0.492671,0.007566,0.242884,0.009688
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,5,5313,0.640881,0.006582,4366,0.508933,0.007566,0.131948,0.010028
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,15,5313,0.622436,0.006651,4366,0.495648,0.007567,0.126787,0.010074
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,30,5313,0.616224,0.006672,4365,0.496449,0.007568,0.119775,0.010089
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,60,5311,0.614197,0.006680,4365,0.498969,0.007568,0.115228,0.010094
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,240,5310,0.592467,0.006743,4361,0.480394,0.007566,0.112073,0.010135
