属性,群,群の下限,群の上限,対照の属性の出所,h,n(清算),平均bp(清算),SE(清算),n(対照),平均bp(対照),SE(対照),差(清算 − 対照),SE(差),単調性(清算の平均),単調性(差)
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,6.000000,12.000000,その行自身,240,4076,-6.729616,1.873381,4586,13.568348,1.678652,-20.297963,2.515438,(3 分位でない),(3 分位でない)
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,12.000000,18.000000,その行自身,1,7915,-7.540801,0.137135,4884,-0.437276,0.111627,-7.103525,0.176824,(3 分位でない),(3 分位でない)
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,12.000000,18.000000,その行自身,5,7915,-8.289735,0.298854,4884,-0.956476,0.220144,-7.333259,0.371184,(3 分位でない),(3 分位でない)
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,12.000000,18.000000,その行自身,15,7915,-8.888523,0.493163,4884,-0.837684,0.492237,-8.050839,0.696783,(3 分位でない),(3 分位でない)
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,12.000000,18.000000,その行自身,30,7915,-7.680992,0.673257,4884,0.804923,0.711715,-8.485915,0.979700,(3 分位でない),(3 分位でない)
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,12.000000,18.000000,その行自身,60,7915,-7.984768,0.944394,4884,5.271933,1.004921,-13.256701,1.379038,(3 分位でない),(3 分位でない)
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,12.000000,18.000000,その行自身,240,7915,-5.573199,1.705078,4884,15.047344,2.057235,-20.620543,2.671986,(3 分位でない),(3 分位でない)
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,18.000000,24.000000,その行自身,1,5313,-7.058028,0.170261,4366,-0.146511,0.108778,-6.911517,0.202043,(3 分位でない),(3 分位でない)
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,18.000000,24.000000,その行自身,5,5313,-7.154873,0.437310,4366,-0.721758,0.214600,-6.433114,0.487128,(3 分位でない),(3 分位でない)
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,18.000000,24.000000,その行自身,15,5313,-7.854636,0.623317,4366,0.614036,0.501017,-8.468673,0.799714,(3 分位でない),(3 分位でない)
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,18.000000,24.000000,その行自身,30,5313,-8.408177,0.838792,4365,1.637194,0.701442,-10.045371,1.093432,(3 分位でない),(3 分位でない)
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,18.000000,24.000000,その行自身,60,5311,-9.156695,1.096003,4365,3.678259,1.025286,-12.834954,1.500811,(3 分位でない),(3 分位でない)
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,18.000000,24.000000,その行自身,240,5310,-10.638444,1.849577,4361,6.700633,1.811561,-17.339077,2.588955,(3 分位でない),(3 分位でない)
