ts,open,high,low,close,volume
2026-08-19 20:51:00+00:00,10947289.0,10985494.0,10929800.0,10930653.0,9.23652612
2026-08-19 20:52:00+00:00,10930002.0,10943310.0,10911606.0,10920778.0,4.22725577
2026-08-19 20:53:00+00:00,10919760.0,10928851.0,10914258.0,10925964.0,2.97232883
2026-08-19 20:54:00+00:00,10925726.0,10930458.0,10910066.0,10923266.0,1.58695511
2026-08-19 20:55:00+00:00,10920618.0,10923584.0,10908853.0,10919417.0,1.23144729
2026-08-19 20:56:00+00:00,10919417.0,10948748.0,10916967.0,10942210.0,1.56129047
2026-08-19 20:57:00+00:00,10942133.0,10942133.0,10915349.0,10919896.0,1.2647497
2026-08-19 20:58:00+00:00,10922257.0,10925567.0,10917998.0,10921246.0,1.34818398
2026-08-19 20:59:00+00:00,10917949.0,10922723.0,10912101.0,10916048.0,1.60198046
2026-08-19 21:00:00+00:00,10916646.0,10926221.0,10896305.0,10898930.0,3.53524841
2026-08-19 21:01:00+00:00,10897030.0,10924465.0,10896222.0,10913659.0,3.01170321
2026-08-19 21:02:00+00:00,10918846.0,10924992.0,10903865.0,10909230.0,2.17191289
2026-08-19 21:03:00+00:00,10910946.0,10916766.0,10908883.0,10916766.0,1.01788636
2026-08-19 21:04:00+00:00,10914812.0,10969456.0,10914812.0,10958264.0,3.82247705
2026-08-19 21:05:00+00:00,10958320.0,10958320.0,10939244.0,10950151.0,1.81281124
2026-08-19 21:06:00+00:00,10953613.0,10984711.0,10953613.0,10978774.0,4.97608047
2026-08-19 21:07:00+00:00,10980258.0,11043332.0,10976438.0,11016436.0,12.67046461
2026-08-19 21:08:00+00:00,11020254.0,11030000.0,10979122.0,10982465.0,2.97878659
2026-08-19 21:09:00+00:00,10982009.0,11008322.0,10977963.0,10998605.0,3.61376703
2026-08-19 21:10:00+00:00,10998579.0,11002992.0,10962582.0,10970190.0,5.39070802
2026-08-19 21:11:00+00:00,10973395.0,10978589.0,10936943.0,10952709.0,4.09040731
2026-08-19 21:12:00+00:00,10952949.0,10955138.0,10922695.0,10940836.0,2.62570954
2026-08-19 21:13:00+00:00,10943751.0,10973870.0,10935673.0,10958835.0,3.27869239
2026-08-19 21:14:00+00:00,10958835.0,10969284.0,10957465.0,10969284.0,1.38366485
2026-08-19 21:15:00+00:00,10971501.0,10981393.0,10966284.0,10972866.0,2.11113711
2026-08-19 21:16:00+00:00,10966206.0,10973901.0,10950000.0,10950000.0,1.60334176
2026-08-19 21:17:00+00:00,10949874.0,10963561.0,10949874.0,10952642.0,1.29997677
2026-08-19 21:18:00+00:00,10955324.0,10961312.0,10939334.0,10939334.0,3.79071717
2026-08-19 21:19:00+00:00,10940809.0,10968627.0,10940808.0,10967556.0,1.17554023
2026-08-19 21:20:00+00:00,10968566.0,10978900.0,10966742.0,10973684.0,2.79511518
2026-08-19 21:21:00+00:00,10975422.0,11002030.0,10975422.0,11002030.0,2.97161719
2026-08-19 21:22:00+00:00,11007397.0,11010022.0,10997658.0,11003372.0,2.62801831
2026-08-19 21:23:00+00:00,11003372.0,11015850.0,10993378.0,11004993.0,2.81294187
2026-08-19 21:24:00+00:00,11006417.0,11009198.0,10984861.0,10986644.0,5.77199072
2026-08-19 21:25:00+00:00,10986644.0,10998923.0,10984873.0,10991731.0,2.08347665
2026-08-19 21:26:00+00:00,10992793.0,11000450.0,10988810.0,10998801.0,1.28149135
2026-08-19 21:27:00+00:00,10997404.0,11001345.0,10994994.0,10995649.0,1.39270604
