date,funding_3d_mean,premium_1d,ls_ratio,toptrader_ls,tone_7d_mean,ret_28d,close
2015-07-01,,,,,,,257.62
2015-07-02,,,,,,,254.54
2015-07-03,,,,,,,255.92
2015-07-04,,,,,,,260.2
2015-07-05,,,,,,,271.5
2015-07-06,,,,,,,268.51
2015-07-07,,,,,,,265.51
2015-07-08,,,,,,,270.63
2015-07-09,,,,,,,268.92
2015-07-10,,,,,,,285.23
2015-07-11,,,,,,,291.64
2015-07-12,,,,,,,310.55
2015-07-13,,,,,,,292.68
2015-07-14,,,,,,,287.55
2015-07-15,,,,,,,285.67
2015-07-16,,,,,,,277.89
2015-07-17,,,,,,,279.43
2015-07-18,,,,,,,276.79
2015-07-19,,,,,,,275.47
2015-07-20,,,,,,,278.96
2015-07-21,,,,,,,276.76
2015-07-22,,,,,,,277.68
2015-07-23,,,,,,,276.61
2015-07-24,,,,,,,289.01
2015-07-25,,,,,,,288.78
2015-07-26,,,,,,,293.19
2015-07-27,,,,,,,294.29
2015-07-28,,,,,,,294.01
2015-07-29,,,,,,0.1178779168178001,289.85
2015-07-30,,,,,,0.12353720719146476,288.01
2015-07-31,,,,,,0.1052706397841626,284.33
2015-08-01,,,,,,0.07401737839392285,280.19
2015-08-02,,,,,,0.03907903999302439,282.32
2015-08-03,,,,,,0.043435982248437754,280.43
2015-08-04,,,,,,0.07083667551252977,285.0
2015-08-05,,,,,,0.03806462146718479,281.13
2015-08-06,,,,,,0.03133492091626466,277.48
2015-08-07,,,,,,-0.019828571607768217,279.63
2015-08-08,,,,,,-0.10645073316125772,262.19
2015-08-09,,,,,,-0.15842643157149694,265.05
2015-08-10,,,,,,-0.10188153946908123,264.33
2015-08-11,,,,,,-0.058724584872693636,271.15
2015-08-12,,,,,,-0.06485828848038011,267.73
2015-08-13,,,,,,-0.04945971786133166,264.48
2015-08-14,,,,,,-0.05151369210271129,265.4
2015-08-15,,,,,,-0.05697778778956881,261.46
2015-08-16,,,,,,-0.07287169005141979,256.11
2015-08-17,,,,,,-0.08405670366114347,256.47
2015-08-18,,,,,,-0.20793958661107428,224.8
2015-08-19,,,,,,-0.20187183909516448,226.92
2015-08-20,,,,,,-0.1607278214536904,235.54
2015-08-21,,,,,,-0.2133220399505122,233.49
2015-08-22,,,,,,-0.2232474420212794,231.0
2015-08-23,,,,,,-0.24757932421429713,228.89
2015-08-24,,,,,,-0.3387923680247366,209.72
2015-08-25,,,,,,-0.27922615009057106,222.38
2015-08-26,,,,,,-0.2497138960701802,225.8
2015-08-27,,,,,,-0.24649487952961868,225.09
2015-08-28,,,,,,-0.2049079235627677,231.65
2015-08-29,,,,,,-0.1950435612994612,230.54
2015-08-30,,,,,,-0.209319175812775,229.0
2015-08-31,,,,,,-0.19885371151106437,229.86
2015-09-01,,,,,,-0.22331900530185167,227.96
2015-09-02,,,,,,-0.20430947480553974,229.18
2015-09-03,,,,,,-0.1995661209711681,227.28
2015-09-04,,,,,,-0.19312967417270982,230.52
2015-09-05,,,,,,-0.10693397999954012,235.6
2015-09-06,,,,,,-0.09811357745185444,240.28
2015-09-07,,,,,,-0.09576804574085507,240.19
