cascade_id,exchange,kind,start_ms,start_utc,end_ms,end_utc,n_events,total_size,direction,first_price,last_price,anchor_ts_ms,anchor_price,bp_1m,bp_5m,bp_15m,bp_60m,group,internal_bp
binance_cm_no_liq_002505,binance_cm,no_liquidation,1722723346921,2024-08-03T22:15:46.921Z,1722723346922,2024-08-03T22:15:46.922Z,0,0.0,none,,,1722723300000,60584.0,-6.156741053744042,0.8253004093490031,-2.5419252607951695,-28.373828073418963,noliq_long,0.0
binance_cm_no_liq_002506,binance_cm,no_liquidation,1722346473428,2024-07-30T13:34:33.428Z,1722346473429,2024-07-30T13:34:33.429Z,0,0.0,none,,,1722346440000,66673.6,17.158215545582387,-14.053538432004817,-37.01615032036712,-87.3059201843017,noliq_long,0.0
binance_cm_no_liq_002507,binance_cm,no_liquidation,1722138473468,2024-07-28T03:47:53.468Z,1722138473469,2024-07-28T03:47:53.469Z,0,0.0,none,,,1722138420000,68012.7,0.6763442709973021,-4.352128352497588,-10.586258154726986,-52.15202454835598,noliq_long,0.0
binance_cm_no_liq_002508,binance_cm,no_liquidation,1720151889169,2024-07-05T03:58:09.169Z,1720151889170,2024-07-05T03:58:09.170Z,0,0.0,none,,,1720151880000,55184.1,0.6886041450350573,-2.9356281972519422,-27.163621405441322,-237.76776281573834,noliq_long,0.0
binance_cm_no_liq_002509,binance_cm,no_liquidation,1726228105306,2024-09-13T11:48:25.306Z,1726228105307,2024-09-13T11:48:25.307Z,0,0.0,none,,,1726228080000,58094.0,-2.1516851998485214,-11.877302303163837,-42.43123214101284,-44.08372637449626,noliq_long,0.0
binance_cm_no_liq_002510,binance_cm,no_liquidation,1723924521711,2024-08-17T19:55:21.711Z,1723924565726,2024-08-17T19:56:05.726Z,0,0.0,none,,,1723924560000,59442.0,0.0,4.424481006696092,1.4972578311633953,-10.463981696443103,noliq_long,0.0
binance_cm_no_liq_002511,binance_cm,no_liquidation,1728512218447,2024-10-09T22:16:58.447Z,1728512242431,2024-10-09T22:17:22.431Z,0,0.0,none,,,1728512220000,60710.5,4.941484586685993,-11.826619777468956,-14.33030530138938,-12.551370850181945,noliq_long,-1.5645586297760212
binance_cm_no_liq_002512,binance_cm,no_liquidation,1723757443512,2024-08-15T21:30:43.512Z,1723757494488,2024-08-15T21:31:34.488Z,0,0.0,none,,,1723757460000,56933.9,16.89678732705771,12.769193749242032,47.915213958642504,138.16021737488535,noliq_long,-14.714703127795435
binance_cm_no_liq_002513,binance_cm,no_liquidation,1719416723088,2024-06-26T15:45:23.088Z,1719416851162,2024-06-26T15:47:31.162Z,0,0.0,none,,,1719416820000,61330.1,-1.7772676059555514,13.321354440968523,15.636693890928182,-0.01630520739384818,noliq_long,6.950846420558604
binance_cm_no_liq_002514,binance_cm,no_liquidation,1722461332522,2024-07-31T21:28:52.522Z,1722461344554,2024-07-31T21:29:04.554Z,0,0.0,none,,,1722461340000,64559.1,34.24768932652385,22.05730872952093,36.75701798816943,19.34661418762056,noliq_long,-52.389016180501734
