direction,horizon,mde,n_real,n_placebo,n_noliq,n_nan_real,n_nan_placebo,n_nan_noliq,sz_point,sz_lo,sz_hi,bp_point,bp_lo,bp_hi,judge_bp,rev_point,rev_lo,rev_hi,judge_rev,nl_sz_point,nl_sz_lo,nl_sz_hi,nl_bp_point,nl_bp_lo,nl_bp_hi,nl_rev_point,nl_rev_lo,nl_rev_hi
long,1,2.04,3314,394,3314,0,0,0,3.3925008332022724e-06,-8.330350506582534e-06,1.5221709132334085e-05,2.1817591622457373,0.4105209641206899,3.9641541436321246,×,2.1690864895350135,0.040405291558539363,4.268550549975789,×,3.33813450854431e-08,2.6658622885772872e-08,4.026967380838854e-08,2.490653624544153,1.9780873179088558,3.0004060680803417,3.4855423374159136,2.108068708578763,4.870079250449942
long,5,5.18,3314,394,3314,0,0,0,-1.0481932738940011e-05,-3.975522355116243e-05,1.911199072047923e-05,0.8167698783294279,-3.1878783051390873,4.820781769361183,○,-0.3524074685657652,-5.045289090318266,4.3021968799958,○,3.447655327845907e-08,1.9567043085533387e-08,4.9275962346184634e-08,2.5723694526087093,1.4496265204490644,3.683064159291584,2.4938388924368757,-0.35890675040734615,5.224920590324858
long,15,6.86,3314,394,3314,0,0,0,-1.6141367083769465e-05,-6.289247655519696e-05,3.1196502464625094e-05,-0.023400581735740555,-6.217879561160984,6.339688392628084,○,1.420417869608277,-5.836764782466314,8.686179814653414,×,4.846342037092038e-08,2.338540886541392e-08,7.395551703357996e-08,3.6159595515303833,1.7114122784555317,5.4586388404667305,5.013884643101006,0.6238012315628271,9.511016407477445
long,60,12.09,3314,394,3314,0,0,0,-3.4910819655649434e-05,-0.00010933472564815939,3.8981928077812746e-05,-5.805084013291063,-16.15508408183568,4.252693495268261,×,-2.4170872177193647,-15.01247369679032,9.821984053739369,×,5.668754621403206e-08,1.0508724304745057e-08,1.0387301255810097e-07,4.229579188109549,0.6888294382219731,7.839506351553056,4.550925521210388,-4.0803500355944555,13.13847886584835
short,1,2.23,2288,299,2288,0,0,0,1.7357958960604732e-06,-1.3903093852721034e-05,1.7559500710593077e-05,-1.4274174127908388,-3.6767102588982326,0.7612145829787325,×,0.05467839045063094,-2.542659266698744,2.708842459465426,×,-4.672590593839745e-08,-6.279412914960765e-08,-3.069367431362274e-08,-1.60967691781021,-2.145689605295686,-1.0479163667428926,1.1086484776002674,-0.4059323443539764,2.6418819234496134
short,5,5.57,2288,299,2288,0,0,0,-8.177885696103066e-06,-4.391334580746342e-05,2.7628510330159537e-05,-2.9046230967827262,-7.492386510930859,1.879398699210273,×,0.9226319744650007,-4.515985076273053,6.332343489085447,×,-9.164457928801315e-08,-1.2771485185780333e-07,-5.5824579023344e-08,-3.157095854210457,-4.379466507333978,-1.9470005255991223,2.3813964711954605,-0.8348477101990706,5.553694637162898
short,15,8.47,2288,299,2288,0,0,0,-1.446740478346976e-05,-6.856192982070433e-05,4.23116244840291e-05,-4.599199710549143,-11.87265482559127,3.001315503299825,×,6.547798671875398,-2.0050623825218348,15.223762722458988,×,-8.570668101425597e-08,-1.4448467427850175e-07,-2.3518433549770475e-08,-2.9525391399078336,-5.024027484128473,-0.8835663695802296,5.830032695859479,0.636762414193105,11.230342179309524
short,60,15.44,2288,299,2288,0,0,0,-0.00010400743001169229,-0.00020178901919025392,-1.0446548506218098e-05,-18.69190251313115,-31.13307916508756,-6.679348681419163,×,6.969816701656548,-7.4630009655093605,21.54586346744548,×,-1.263897033937166e-07,-2.420162994625784e-07,-1.0590782963221984e-08,-4.354042668963217,-8.340542570651833,-0.43618368188996764,5.2991630151681335,-4.44810611385678,15.241217239515239
