cascade_id,origin_t_ms,origin_t_utc,direction,first_price,in_band_a,distance_bp_a,in_band_b,distance_bp_b,in_band_c,distance_bp_c
binance_cm_real_000000,1718237100000,2024-06-13T00:05:00.000Z,long,68010.3,False,20.541006288752893,False,20.541006288752893,False,51.21531223947021
binance_cm_real_000001,1718237100000,2024-06-13T00:05:00.000Z,long,67835.8,False,46.317726038463036,False,46.317726038463036,False,25.623177584697768
binance_cm_real_000002,1718237100000,2024-06-13T00:05:00.000Z,long,67797.8,False,51.948588302274864,False,51.948588302274864,False,20.032637489712656
binance_cm_real_000003,1718237100000,2024-06-13T00:05:00.000Z,long,67706.8,False,65.45871315731907,False,65.45871315731907,False,6.619257593034093
binance_cm_real_000004,1718237100000,2024-06-13T00:05:00.000Z,long,67668.7,False,71.12594153574739,False,71.12594153574739,False,0.9926117983644216
binance_cm_real_000005,1718237100000,2024-06-13T00:05:00.000Z,long,67576.1,False,84.92647548467492,False,84.92647548467492,True,0.0
binance_cm_real_000006,1718237100000,2024-06-13T00:05:00.000Z,long,67505.5,False,95.47370214278837,False,95.47370214278837,True,0.0
binance_cm_real_000007,1718237100000,2024-06-13T00:05:00.000Z,long,67379.3,False,114.38231029411065,False,114.38231029411065,True,0.0
binance_cm_real_000008,1718237100000,2024-06-13T00:05:00.000Z,long,67245.5,False,134.5071417418266,False,134.5071417418266,False,11.75050746890144
binance_cm_real_000009,1718237100000,2024-06-13T00:05:00.000Z,long,67200.4,False,141.30868268641348,False,141.30868268641348,False,18.469663127006235
binance_cm_real_000010,1718237100000,2024-06-13T00:05:00.000Z,long,67255.8,False,132.9550759934455,False,132.9550759934455,False,10.217241486979301
binance_cm_real_000011,1718237100000,2024-06-13T00:05:00.000Z,long,67152.7,False,148.51227128618848,False,148.51227128618848,False,25.585996542209635
binance_cm_real_000012,1718237100000,2024-06-13T00:05:00.000Z,short,67587.7,False,83.19561103573623,False,83.19561103573623,True,0.0
binance_cm_real_000013,1718237100000,2024-06-13T00:05:00.000Z,short,67653.5,False,73.3886642967474,False,73.3886642967474,True,0.0
binance_cm_real_000014,1718237100000,2024-06-13T00:05:00.000Z,short,67694.5,False,67.28759352680055,False,67.28759352680055,False,4.8034736943180265
binance_cm_real_000015,1718237100000,2024-06-13T00:05:00.000Z,short,67940.0,False,30.90962614071239,False,30.90962614071239,False,40.920941271710504
binance_cm_real_000016,1718237100000,2024-06-13T00:05:00.000Z,long,67661.1,False,72.257175836632,False,72.257175836632,True,0.0
binance_cm_real_000018,1718237100000,2024-06-13T00:05:00.000Z,long,67819.8,False,48.68784632216508,False,48.68784632216508,False,23.2700295488934
binance_cm_real_000019,1718237100000,2024-06-13T00:05:00.000Z,long,67639.9,False,75.41406773221217,False,75.41406773221217,True,0.0
