
## bitbank JPY pairs (maker -0.02% except BTC)  (n polls per pair shown; spread in bps of mid)
        pair |     n |      p25 |      p50 |      p75 |   reb |   mk_flat |  mk_scaled | costfloor |   24h vol JPY |  ceilJPY/d
        DOGE |   311 |     3.54 |     5.69 |     9.90 |   3.0 |      3.22 |       1.04 |     27.69 |    75,371,640 |        156
         BTC |   311 |     0.00 |     0.95 |     2.19 |   1.0 |      0.04 |       0.67 |     14.95 | 2,122,746,433 |      2,859
         XLM |   311 |     5.37 |     8.11 |    12.16 |   3.0 |      3.83 |       0.20 |     30.11 |    37,570,774 |         15
         XRP |   311 |     1.79 |     3.48 |     5.10 |   1.0 |      0.67 |      -0.20 |     17.48 | 1,678,321,843 |          0
         ETH |   311 |     2.27 |     3.94 |     5.26 |   1.0 |      0.78 |      -0.36 |     17.94 | 1,796,081,427 |          0
     BTC_JPY |   311 |     1.20 |     1.61 |     2.34 |   0.0 |     -0.80 |      -0.56 |      5.61 | 14,841,503,505 |          0
         SUI |   311 |     7.28 |    12.53 |    23.38 |   3.0 |      4.93 |      -1.32 |     34.53 |    41,388,489 |          0
         ADA |   311 |     7.39 |    13.36 |    18.12 |   3.0 |      5.14 |      -1.61 |     35.36 |    21,965,937 |          0
     SOL_JPY |   311 |     2.46 |     4.80 |     7.79 |   0.0 |      0.00 |      -1.66 |      8.80 |   476,169,342 |          0
    DOGE_JPY |   311 |     3.52 |     4.95 |     7.73 |   0.0 |      0.04 |      -1.71 |      8.95 |   339,383,814 |          0
     XRP_JPY |   311 |     3.73 |     5.10 |     6.00 |   0.0 |      0.08 |      -1.76 |      9.10 | 6,302,992,633 |          0
     ETH_JPY |   311 |     3.98 |     5.55 |     6.45 |   0.0 |      0.19 |      -1.92 |      9.55 | 2,527,897,571 |          0
         LTC |   311 |     7.52 |    15.05 |    22.64 |   3.0 |      5.56 |      -2.19 |     37.05 |     7,473,110 |          0
         BCH |   311 |     9.52 |    15.88 |    20.97 |   3.0 |      5.77 |      -2.48 |     37.88 |    22,245,768 |          0
        LINK |   311 |    10.68 |    15.99 |    21.39 |   3.0 |      5.80 |      -2.52 |     37.99 |    11,984,250 |          0
     ADA_JPY |   311 |     5.45 |    10.56 |    17.46 |   0.0 |      1.44 |      -3.64 |     14.56 |    18,233,130 |          0
     BCH_JPY |   311 |    10.40 |    14.69 |    18.25 |   0.0 |      2.47 |      -5.07 |     18.69 |    69,196,516 |          0
    LINK_JPY |   311 |    15.89 |    21.39 |    32.05 |   0.0 |      4.15 |      -7.38 |     25.39 |    23,752,944 |          0
     LTC_JPY |   311 |    16.37 |    28.88 |    51.04 |   0.0 |      6.02 |      -9.96 |     32.88 |     4,724,082 |          0
        ASTR |   311 |    33.13 |    44.30 |    55.83 |   3.0 |     12.87 |     -12.28 |     66.30 |     3,555,154 |          0
     SUI_JPY |   311 |    17.23 |    40.44 |    94.43 |   0.0 |      8.91 |     -13.95 |     44.44 |    18,460,749 |          0
         DOT |   311 |    70.67 |    71.17 |    72.20 |   3.0 |     19.59 |     -21.56 |     93.17 |     4,984,735 |          0
        ATOM |   311 |    41.24 |    82.64 |    82.99 |   3.0 |     22.46 |     -25.51 |    104.64 |     2,894,686 |          0
    ATOM_JPY |   311 |    82.64 |    82.99 |   123.46 |   0.0 |     19.55 |     -28.63 |     86.99 |       461,274 |          0
         NAC |   311 |   128.31 |   128.31 |   128.31 |   3.0 |     33.88 |     -41.27 |    150.31 |       847,231 |          0
     DOT_JPY |   311 |    71.17 |   141.84 |   142.86 |   0.0 |     34.26 |     -48.94 |    145.84 |     2,104,086 |          0
         FCR |   311 |    90.50 |   204.08 |   754.72 |   3.0 |     52.82 |     -67.41 |    226.08 |       396,683 |          0
        WILD |   311 |   185.85 |   267.79 |   343.86 |   3.0 |     68.75 |     -89.39 |    289.79 |     1,223,726 |          0
