方策,日数,負の日の割合,日の合計の中央値_bp,下位5日の合計_bp,上位5日の合計_bp,上位5日,下位5日
①3択A(従来),228,0.868421,-63.804478,-2022.831530,493.691884,"2023-07-07:70, 2023-12-03:70, 2023-09-06:89, 2023-10-01:113, 2023-08-29:152","2023-11-16:-484, 2023-10-20:-430, 2023-10-23:-412, 2023-08-31:-353, 2024-01-23:-343"
①3択A(順張り利確5bp),228,0.934211,-94.463454,-3035.877439,198.982624,"2023-12-10:20, 2023-12-24:31, 2023-08-20:32, 2023-11-06:43, 2023-10-01:74","2023-10-24:-685, 2024-01-10:-624, 2023-08-31:-615, 2024-01-12:-568, 2023-08-17:-543"
完全な判断(値段)A,228,0.026316,182.563860,-17.040415,6183.436349,"2023-12-04:945, 2024-01-10:1028, 2024-01-12:1106, 2024-01-11:1224, 2023-10-24:1880","2023-10-07:-4, 2023-08-12:-4, 2023-07-29:-3, 2023-08-13:-3, 2023-08-05:-2"
