対差,母集団,対の数,対差の合計_bp,対差の中央値_bp,対差のp25_bp,対差のp75_bp,対差が正の割合,対差が0の本数
①3択A(順張り利確5bp) − ①3択A(従来),0として含める(全連鎖),8931,-9406.731755,0.000000,0.000000,0.000000,0.082745,7164
①3択A(順張り利確5bp) − ①3択A(従来),両方入った連鎖だけ,7637,-9406.731755,0.000000,0.000000,0.000000,0.096766,5870
