方策,入った本数,合計保有時間_時間,保有1時間あたりの収支_bp/h,同時建玉の最大_本,平均保有秒
①3択A(従来),7637,150.802541,-132.990394,1,60.787051
①3択A(順張り利確5bp),7637,136.208483,-216.300928,1,54.904326
完全な判断(値段)A,8931,160.707693,365.564876,1,64.779722
