方策,母集団,n,合計_bp,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,日数
①3択A(従来),0として含める(全連鎖),8931,-20055.289420,-0.639848,-5.914536,1.760326,0.530400,-2.246037,0.141911,228
①3択A(従来),入った連鎖だけ,8931,-20055.289420,-0.639848,-5.914536,1.760326,0.530400,-2.246037,0.141911,228
①3択A(順張り利確5bp),0として含める(全連鎖),8931,-29462.021175,-0.341879,-5.937138,2.580363,0.514276,-3.035194,0.149050,228
①3択A(順張り利確5bp),入った連鎖だけ,8931,-29462.021175,-0.341879,-5.937138,2.580363,0.514276,-3.035194,0.149050,228
完全な判断(値段)A,0として含める(全連鎖),8931,58749.088035,3.018807,-1.347797,9.324977,0.329302,5.724631,0.248208,228
完全な判断(値段)A,入った連鎖だけ,8931,58749.088035,3.018807,-1.347797,9.324977,0.329302,5.724631,0.248208,228
