線,費用の通り,遅れ_秒,n,合計_bp,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,日数
①3択A(従来),費用あり(主のc),0.500000,8931,-19861.896471,-0.633852,-5.936109,1.773671,0.532527,-2.255366,0.139920,228
①3択A(順張り利確5bp),費用あり(主のc),0.500000,8931,-28334.018008,-0.263532,-5.802018,2.682942,0.511253,-2.992684,0.142981,228
完全な判断(値段)A,費用あり(主のc),0.500000,8931,62936.283343,3.231906,-1.126830,9.638750,0.314522,6.157005,0.260621,228
①3択A(従来),費用あり(主のc),1,8931,-20055.289420,-0.639848,-5.914536,1.760326,0.530400,-2.246037,0.141911,228
①3択A(順張り利確5bp),費用あり(主のc),1,8931,-29462.021175,-0.341879,-5.937138,2.580363,0.514276,-3.035194,0.149050,228
完全な判断(値段)A,費用あり(主のc),1,8931,58749.088035,3.018807,-1.347797,9.324977,0.329302,5.724631,0.248208,228
①3択A(従来),費用あり(主のc),2,8931,-19841.604008,-0.629173,-5.809660,1.780221,0.530960,-2.282663,0.140896,228
①3択A(順張り利確5bp),費用あり(主のc),2,8931,-28408.640896,-0.214610,-5.764492,2.807133,0.510245,-2.992029,0.135778,228
完全な判断(値段)A,費用あり(主のc),2,8931,51859.364427,2.627020,-1.757823,8.647168,0.352816,4.993653,0.226571,228
