方策,型,行動,件数,遅れ_秒
logistic_3択,A,ホールド,8900,1
logistic_3択,A,何もしない,2746,1
logistic_3択,A,新規_逆張り,4671,1
logistic_3択,A,新規_順張り,3487,1
logistic_3択,A,決済,8158,1
logistic_3択(順張り利確5bp・入り値基準),A,ホールド,5867,1
logistic_3択(順張り利確5bp・入り値基準),A,何もしない,3412,1
logistic_3択(順張り利確5bp・入り値基準),A,新規_逆張り,4849,1
logistic_3択(順張り利確5bp・入り値基準),A,新規_順張り,5908,1
logistic_3択(順張り利確5bp・入り値基準),A,決済,10757,1
完全な判断,A,ホールド,8175,1
完全な判断,A,新規_逆張り,5956,1
完全な判断,A,新規_順張り,4109,1
完全な判断,A,決済,10065,1
