項目,値
前半のプリント数,21838
前半の連鎖数,8931
通した線,①3択A(従来) / ①3択A(順張り利確5bp) / 完全な判断(値段)A
利確の幅(bp、入り値基準),5.000000
主の c(bp),2.004025
併記の c = p75(bp),3.922816
帯(1件目),"(0.38, 0.5)"
帯(連鎖の中),"(0.56, 0.66)"
レグの行(建玉 1 つごと),86921
読みに数えるか,数えない(前半)
