線,費用の通り,遅れ_秒,n,合計_bp,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,日数
①3択A(従来),費用なし,1,8931,-3706.453470,0.000000,-3.818946,3.861117,0.419438,-0.412044,0.139387,228
①3択A(順張り利確5bp),費用なし,1,8931,-7904.724250,0.000000,-3.571531,4.938381,0.402419,-0.736070,0.132387,228
完全な判断(値段)A,費用なし,1,8931,78919.599660,5.139238,0.729231,11.642765,0.204568,7.972736,0.251800,228
①3択A(従来),費用あり(主のc),1,8931,-20055.289420,-0.639848,-5.914536,1.760326,0.530400,-2.246037,0.141911,228
①3択A(順張り利確5bp),費用あり(主のc),1,8931,-29462.021175,-0.341879,-5.937138,2.580363,0.514276,-3.035194,0.149050,228
完全な判断(値段)A,費用あり(主のc),1,8931,58749.088035,3.018807,-1.347797,9.324977,0.329302,5.724631,0.248208,228
①3択A(従来),費用あり(p75),1,8931,-35708.786398,-2.626951,-7.925881,0.000000,0.612473,-4.002027,0.145061,228
①3択A(順張り利確5bp),費用あり(p75),1,8931,-50102.455962,-2.441504,-8.221182,0.472359,0.590863,-5.236534,0.175600,228
完全な判断(値段)A,費用あり(p75),1,8931,39436.456620,0.953854,-3.320471,7.185415,0.440600,3.572141,0.245044,228
