rule,series,state_sign,n_val,val_net_mean_cons_bps,val_ci_lo,val_ci_hi,iter0_unconditional_val_mean_bps,val_improvement_bps,mde_bps,improvement_ge_mde
TOM,先物(主系列),2_正,179,-4.9059738962071275,-22.92028117172991,15.292926935666507,-10.713808366290712,5.807834470083584,36.542118623592714,False
WD-Mon,先物(主系列),2_正,175,-18.44282955893059,-34.753661814912526,-3.2709846144540555,-23.207167815625752,4.7643382566951615,29.020794364552636,False
WD-Tue,先物(主系列),1_非正,198,2.4035811861697267,-26.68260538696037,37.00542807219123,-1.6390149628397328,4.0425961490094595,49.138009013948896,False
WD-Wed,先物(主系列),1_非正,187,1.9322185877069222,-19.679213440220476,22.559764884287645,-0.20434992876141767,2.1365685164683397,30.634528280158506,False
WD-Thu,先物(主系列),2_正,185,-0.23890031443228618,-15.517851047716855,16.288603782509387,-3.613345545210011,3.374445230777725,36.05914903613987,False
WD-Fri,先物(主系列),2_正,172,-0.9581100114141614,-31.561056685441518,25.921903220282598,-8.671201421907007,7.713091410492845,33.2448237046823,False
PH,先物(主系列),2_正,47,10.704516946993186,-16.63668826900492,34.10147624322866,-14.350457404342402,25.054974351335588,73.17279045706839,False
SQm,1321.T,2_正,24,16.70000269853883,-9.833133859150749,43.16480623293605,-6.2305178482708214,22.930520546809653,69.40455749580472,False
SQq,1321.T,2_正,9,50.156501364374705,,,25.241043467134187,24.91545789724052,130.26355197251576,False
