scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
c2-6-prob	C2-6	能力	結果なし	adapter: zipline-reloaded 3.1.1: 段 5 / 取消の扱い prob の約定の模型が無い(slippage は価格と数量を足ごとに決める模型)	-	結果なし	adapter: zipline-reloaded 3.1.1: 段 5 / 取消の扱い prob の約定の模型が無い(slippage は価格と数量を足ごとに決める模型)	-	結果なし	0.0	0.0
c2-6-prob-power2	C2-6	値	結果なし	adapter: zipline-reloaded 3.1.1: 段 5 / 取消の扱い prob の約定の模型が無い(slippage は価格と数量を足ごとに決める模型)	-	結果なし	adapter: zipline-reloaded 3.1.1: 段 5 / 取消の扱い prob の約定の模型が無い(slippage は価格と数量を足ごとに決める模型)	-	結果なし	0.0	0.0
c2-7-walk	C2-7	値	結果なし	adapter: zipline-reloaded 3.1.1: 足にする約定も足も無い(zipline は足の bundle だけを取る)	-	結果なし	adapter: zipline-reloaded 3.1.1: 足にする約定も足も無い(zipline は足の bundle だけを取る)	-	結果なし	0.0	0.0
c2-7-walk-exhaust	C2-7	値	結果なし	adapter: zipline-reloaded 3.1.1: 足にする約定も足も無い(zipline は足の bundle だけを取る)	-	結果なし	adapter: zipline-reloaded 3.1.1: 足にする約定も足も無い(zipline は足の bundle だけを取る)	-	結果なし	0.0	0.0
c2-7-impact-sqrt	C2-7	能力	結果なし	adapter: zipline-reloaded 3.1.1: 市場影響の関数は VolumeShareSlippage(出来高の割合の 2 乗 × price_impact)と FixedBasisPointsSlippage(一定の bp)で、場面の形 sqrt_temporary を渡す口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 市場影響の関数は VolumeShareSlippage(出来高の割合の 2 乗 × price_impact)と FixedBasisPointsSlippage(一定の bp)で、場面の形 sqrt_temporary を渡す口が無い	-	結果なし	0.0	0.0
c2-7-impact-permanent	C2-7	能力	結果なし	adapter: zipline-reloaded 3.1.1: 市場影響の関数は VolumeShareSlippage(出来高の割合の 2 乗 × price_impact)と FixedBasisPointsSlippage(一定の bp)で、場面の形 linear_permanent を渡す口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 市場影響の関数は VolumeShareSlippage(出来高の割合の 2 乗 × price_impact)と FixedBasisPointsSlippage(一定の bp)で、場面の形 linear_permanent を渡す口が無い	-	結果なし	0.0	0.0
c2-8-range	C2-8	値	結果なし	adapter: zipline-reloaded 3.1.1: 段 None / 取消の扱い None の約定の模型が無い(slippage は価格と数量を足ごとに決める模型)	-	結果なし	adapter: zipline-reloaded 3.1.1: 段 None / 取消の扱い None の約定の模型が無い(slippage は価格と数量を足ごとに決める模型)	-	結果なし	0.0	0.0
c2-8-both-required	C2-8	能力	結果なし	adapter: zipline-reloaded 3.1.1: 段 None / 取消の扱い None の約定の模型が無い(slippage は価格と数量を足ごとに決める模型)	-	結果なし	adapter: zipline-reloaded 3.1.1: 段 None / 取消の扱い None の約定の模型が無い(slippage は価格と数量を足ごとに決める模型)	-	結果なし	0.0	0.0
c2-9-order-feed	C2-9	値	結果なし	adapter: zipline-reloaded 3.1.1: 遅延(feed)を渡す口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 遅延(feed)を渡す口が無い	-	結果なし	0.0	0.0
c2-9-cancel-late	C2-9	値	結果なし	adapter: zipline-reloaded 3.1.1: 遅延(cancel)を渡す口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 遅延(cancel)を渡す口が無い	-	結果なし	0.0	0.0
c2-9-cancel-early	C2-9	値	結果なし	adapter: zipline-reloaded 3.1.1: 遅延(cancel)を渡す口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 遅延(cancel)を渡す口が無い	-	結果なし	0.0	0.0
c2-9-notice	C2-9	値	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に post_only が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に post_only が無い	-	結果なし	0.0	0.0
c2-9-empirical	C2-9	能力	結果なし	adapter: zipline-reloaded 3.1.1: 遅延(order)を渡す口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 遅延(order)を渡す口が無い	-	結果なし	0.0	0.0
c2-10-taker	C2-10	値	正解と一致		31e67a0d33769563	正解と一致		31e67a0d33769563	2 回の実行で同じ	0.137	0.147
c2-10-maker	C2-10	値	不一致	fee.o1: 期待 -0.999 / 出力 -0.9985	f13b6387d836c2e6	不一致	fee.o1: 期待 -0.999 / 出力 -0.9985	f13b6387d836c2e6	2 回の実行で同じ	0.137	0.169
c2-10-spread	C2-10	値	正解と一致		0c413c8918f1c8c9	正解と一致		0c413c8918f1c8c9	2 回の実行で同じ	0.134	0.137
c2-10-funding	C2-10	値	結果なし	adapter: zipline-reloaded 3.1.1: 事象 funding を渡す口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 事象 funding を渡す口が無い	-	結果なし	0.0	0.0
c2-10-swap	C2-10	値	結果なし	adapter: zipline-reloaded 3.1.1: 事象 rollover を渡す口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 事象 rollover を渡す口が無い	-	結果なし	0.0	0.0
c2-10-jpx-fee	C2-10	値	結果なし	adapter: zipline-reloaded 3.1.1: 費用 fee_table を渡す口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 費用 fee_table を渡す口が無い	-	結果なし	0.0	0.0
c2-10-no-default	C2-10	能力	不一致	変形を断らずに走った(単一の結果を返した)	dadbc1cd5432f733	不一致	変形を断らずに走った(単一の結果を返した)	dadbc1cd5432f733	2 回の実行で同じ	0.288	0.438
c2-10-source	C2-10	能力	不一致	変形を断らずに走った(単一の結果を返した)	dadbc1cd5432f733	不一致	変形を断らずに走った(単一の結果を返した)	dadbc1cd5432f733	2 回の実行で同じ	0.307	0.234
c2-11-pnl	C2-11	値	不一致	account.realized: 期待 40.0 / 出力に無い(KeyError: 'realized'); account.unrealized: 期待 30.0 / 出力に無い(KeyError: 'unrealized')	d268ec9122ccff4a	不一致	account.realized: 期待 40.0 / 出力に無い(KeyError: 'realized'); account.unrealized: 期待 30.0 / 出力に無い(KeyError: 'unrealized')	d268ec9122ccff4a	2 回の実行で同じ	0.352	0.14
c2-11-margin	C2-11	値	結果なし	adapter: zipline-reloaded 3.1.1: 口座の leverage を渡す口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 口座の leverage を渡す口が無い	-	結果なし	0.0	0.0
c2-11-liquidation	C2-11	値	結果なし	adapter: zipline-reloaded 3.1.1: 口座の leverage を渡す口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 口座の leverage を渡す口が無い	-	結果なし	0.0	0.0
c2-11-exposure	C2-11	値	不一致	account.exposure_ns: 期待 3999000000 / 出力に無い(KeyError: 'exposure_ns')	38bebda766c2295f	不一致	account.exposure_ns: 期待 3999000000 / 出力に無い(KeyError: 'exposure_ns')	38bebda766c2295f	2 回の実行で同じ	0.137	0.129
c2-11-legs	C2-11	値	結果なし	adapter: zipline-reloaded 3.1.1: 手数料の率は 1 つで、maker と taker で違う率を同じ実行の中で渡せない	-	結果なし	adapter: zipline-reloaded 3.1.1: 手数料の率は 1 つで、maker と taker で違う率を同じ実行の中で渡せない	-	結果なし	0.0	0.0
c2-11-split	C2-11	値	結果なし	adapter: zipline-reloaded 3.1.1: 事象 corporate を渡す口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 事象 corporate を渡す口が無い	-	結果なし	0.0	0.0
c2-11-reverse-split	C2-11	値	結果なし	adapter: zipline-reloaded 3.1.1: 事象 corporate を渡す口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 事象 corporate を渡す口が無い	-	結果なし	0.0	0.0
c2-11-jpy	C2-11	値	結果なし	adapter: zipline-reloaded 3.1.1: 事象 fx_rate を渡す口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 事象 fx_rate を渡す口が無い	-	結果なし	0.0	0.0
c2-12-jpx-bar-value	C2-12	値	不一致	avg_px.o1: 期待 1496.0 / 出力 1495.0	a05653793fd73545	不一致	avg_px.o1: 期待 1496.0 / 出力 1495.0	a05653793fd73545	2 回の実行で同じ	0.138	0.133
c2-12-jpx-wait	C2-12	能力	結果なし	adapter: zipline-reloaded 3.1.1: 段 5 / 取消の扱い none の約定の模型が無い(slippage は価格と数量を足ごとに決める模型)	-	結果なし	adapter: zipline-reloaded 3.1.1: 段 5 / 取消の扱い none の約定の模型が無い(slippage は価格と数量を足ごとに決める模型)	-	結果なし	0.0	0.0
