属性,群,下限,上限,h(秒),f > 1 の割合,f が有限な n,r_pre 平均(bp),日クラスタ SE,n,含む日数,属性が欠測で群に入らない束の割合
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,18.000000,24.000000,60,0.485445,3607,0.190383,0.197510,5313,444,0.000000
sweep_bp,Q1(下位 3 分位),,0.200939,60,0.682058,4743,-4.211542,0.144558,4743,443,0.328757
sweep_bp,Q2(中位 3 分位),0.200939,8.076017,60,0.585494,4743,-2.840740,0.165992,4743,447,0.328757
sweep_bp,Q3(上位 3 分位),8.076017,,60,0.235294,4743,12.717959,0.364737,4743,430,0.328757
|dist_vwap_bp|,Q1(下位 3 分位),,43.884500,300,0.520927,4229,-0.333820,0.264784,7066,456,0.000000
|dist_vwap_bp|,Q2(中位 3 分位),43.884500,95.828500,300,0.529051,4733,-0.738750,0.304807,7066,437,0.000000
|dist_vwap_bp|,Q3(上位 3 分位),95.828500,,300,0.513006,5267,-0.110105,0.501617,7066,342,0.000000
|dist_node_bp|,Q1(下位 3 分位),,25.870067,300,0.505937,4295,-0.163521,0.297079,7066,453,0.000000
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,300,0.538741,4672,-0.978443,0.324039,7066,454,0.000000
|dist_node_bp|,Q3(上位 3 分位),60.772800,,300,0.516724,5262,-0.040711,0.470043,7066,409,0.000000
bin_pct,Q1(下位 3 分位),,16.666700,300,0.537268,5286,-0.712463,0.379107,7150,454,0.000000
bin_pct,Q2(中位 3 分位),16.666700,55.882400,300,0.520806,4566,-0.429551,0.363478,6986,449,0.000000
bin_pct,Q3(上位 3 分位),55.882400,,300,0.500571,4377,-0.037076,0.382501,7062,433,0.000000
bundle_n_events_dedup,Q1(下位 3 分位),,1.000000,300,0.612498,5649,-4.153658,0.219695,12029,455,0.000000
bundle_n_events_dedup,Q2(中位 3 分位),1.000000,2.000000,300,0.541704,3393,-1.447751,0.417969,3906,443,0.000000
bundle_n_events_dedup,Q3(上位 3 分位),2.000000,,300,0.406979,5187,8.980141,0.587733,5263,438,0.000000
bundle_total_notional,Q1(下位 3 分位),,775945.066667,300,0.591669,3649,-3.119383,0.278280,7066,452,0.000000
bundle_total_notional,Q2(中位 3 分位),775945.066667,5908686.266667,300,0.545259,4640,-2.405582,0.282589,7066,449,0.000000
bundle_total_notional,Q3(上位 3 分位),5908686.266667,,300,0.457912,5940,4.342290,0.429895,7066,438,0.000000
bundle_width_ms,Q1(下位 3 分位),,0.000000,300,0.612498,5649,-4.153658,0.219695,12029,455,0.000000
bundle_width_ms,Q2(中位 3 分位),0.000000,7036.333333,300,0.609403,1659,-5.272371,0.693091,2103,423,0.000000
bundle_width_ms,Q3(上位 3 分位),7036.333333,,300,0.424505,6921,7.457595,0.460851,7066,443,0.000000
doi_pre_1h,Q1(下位 3 分位),,-14472.333333,300,0.519412,3400,0.165727,0.604619,5048,335,0.285640
doi_pre_1h,Q2(中位 3 分位),-14472.333333,13713.333333,300,0.531386,3218,-0.609627,0.365006,5047,357,0.285640
doi_pre_1h,Q3(上位 3 分位),13713.333333,,300,0.533626,3420,-1.077014,0.397135,5048,341,0.285640
implied_leverage,Q1(下位 3 分位),,75.097333,300,0.531649,3286,-0.463167,0.634327,4384,273,0.379611
implied_leverage,Q2(中位 3 分位),75.097333,126.459633,300,0.541382,2924,-0.758300,0.378702,4383,347,0.379611
implied_leverage,Q3(上位 3 分位),126.459633,,300,0.523278,2599,-0.378224,0.320418,4384,357,0.379611
side,SELL,,,300,0.532341,8132,-0.663931,0.301383,12097,452,0.000000
side,BUY,,,300,0.505166,6097,-0.035734,0.309841,9101,453,0.000000
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,0.000000,6.000000,300,0.520316,2535,0.456560,0.499251,3894,430,0.000000
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,6.000000,12.000000,300,0.533258,2646,-0.399639,0.500697,4076,425,0.000000
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,12.000000,18.000000,300,0.527293,5441,-1.138326,0.323143,7915,445,0.000000
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,18.000000,24.000000,300,0.501802,3607,0.094889,0.479434,5313,444,0.000000
