gap(秒),h(秒),群,n,含む日数,r_end 平均(bp),r_end 日クラスタ SE,r_end naive SE,r_end 日等重み平均,r_pre 平均(bp),r_pre 日クラスタ SE,r_pre naive SE,r_pre 日等重み平均,f 中央値,f p25,f p75,f > 1 の割合,0 ≤ f ≤ 1 の割合,f < 0 の割合,f が有限な n,h 後が終端と同じ約定の割合
60,900,対照(b)-ii 薄さ合わせ,18199,456,0.071335,0.223055,0.217921,0.170350,—,—,—,—,—,—,—,—,—,—,—,0.000000
30,60,清算 全体,25343,456,-4.761678,0.154070,0.090580,-4.190296,-0.023086,0.113554,0.103716,-0.335473,1.000000,-0.777438,19.418516,0.498097,0.177182,0.324721,16294,0.000000
30,60,清算 次の束まで 180 秒以上(結果依存の条件付け),15165,453,-7.553457,0.151426,0.096986,-6.764267,-3.712863,0.110481,0.107713,-3.383090,2.418715,0.393134,71.000000,0.636635,0.171033,0.192332,9390,0.000000
30,60,清算 前の束から 180 秒以上(過去の条件付け),15165,453,-3.462866,0.115860,0.096668,-3.225118,0.180695,0.115809,0.113061,0.024029,0.908124,-1.417519,25.941176,0.486484,0.166866,0.346651,9211,0.000000
30,60,対照(a) 掃き合わせ,12695,452,-0.387958,0.064503,0.060446,-0.389774,3.400558,0.088068,0.076302,3.049395,0.001029,-4.763932,3.564660,0.326506,0.189917,0.483576,12695,0.000079
30,60,対照(b)-i 一様(日集約),25343,456,-0.009624,0.015307,0.004552,-0.013051,—,—,—,—,—,—,—,—,—,—,—,0.000747
30,60,対照(b)-ii 薄さ合わせ,20844,456,-0.321099,0.049135,0.047117,-0.264771,—,—,—,—,—,—,—,—,—,—,—,0.000239
30,300,清算 全体,25343,456,-5.280144,0.216590,0.190888,-5.216512,-0.540568,0.249974,0.194073,-1.361187,1.362405,-3.363429,29.000000,0.532159,0.094329,0.373512,16294,0.000000
30,300,清算 次の束まで 180 秒以上(結果依存の条件付け),15165,453,-10.971917,0.217865,0.191467,-9.985119,-7.130842,0.198283,0.191439,-6.603588,3.396204,0.028140,110.937500,0.660277,0.092013,0.247710,9390,0.000000
30,300,清算 前の束から 180 秒以上(過去の条件付け),15165,453,-3.585373,0.205973,0.202202,-3.734012,0.058263,0.236267,0.206414,-0.484847,1.212851,-5.865398,41.875000,0.517099,0.091412,0.391488,9211,0.000000
30,300,対照(a) 掃き合わせ,12695,452,-1.756853,0.127503,0.115842,-1.844008,2.032244,0.138765,0.123412,1.595693,0.433451,-5.726017,20.424731,0.439701,0.113667,0.446633,12695,0.000000
30,300,対照(b)-i 一様(日集約),25343,456,0.034008,0.027567,0.009906,0.000750,—,—,—,—,—,—,—,—,—,—,—,0.000000
30,300,対照(b)-ii 薄さ合わせ,20844,456,-0.656874,0.091949,0.093461,-0.556867,—,—,—,—,—,—,—,—,—,—,—,0.000000
30,900,清算 全体,25343,456,-5.666524,0.449867,0.298828,-6.610117,-0.925877,0.485344,0.300253,-2.754071,1.845476,-6.290179,46.000000,0.547809,0.063950,0.388241,16294,0.000000
30,900,清算 次の束まで 180 秒以上(結果依存の条件付け),15165,453,-11.072541,0.304524,0.312482,-10.726752,-7.231161,0.317195,0.312469,-7.345026,3.356330,-2.406958,126.000000,0.618637,0.062087,0.319276,9390,0.000000
