rule,series,state_vol,n_val,val_net_mean_cons_bps,val_ci_lo,val_ci_hi,iter0_unconditional_val_mean_bps,val_improvement_bps,mde_bps,improvement_ge_mde
TOM,先物(主系列),3_高,118,2.411502793185504,-38.24879409131322,45.99858603555901,-10.713808366290712,13.125311159476215,60.419916150264704,False
WD-Mon,先物(主系列),2_中,123,-13.140682134738789,-38.48661998041045,14.85327611970859,-23.207167815625752,10.066485680886963,32.64551244581538,False
WD-Tue,先物(主系列),3_高,114,23.756363191130276,-40.12223708230448,91.15317643180697,-1.6390149628397328,25.395378153970007,86.64405453195077,False
WD-Wed,先物(主系列),2_中,145,10.273215408973487,-3.6830238882706774,24.323409717908888,-0.20434992876141767,10.477565337734905,31.23293576254174,False
WD-Thu,先物(主系列),3_高,106,1.225963954134664,-70.06973982951538,60.15614843251553,-3.613345545210011,4.839309499344675,67.539607131824,False
WD-Fri,先物(主系列),1_低,114,0.8107750881521496,-24.47288015428968,24.294988275263293,-8.671201421907007,9.481976510059157,28.52072772578856,False
PH,先物(主系列),3_高,28,-9.429908408275697,-53.90980968900753,36.39849379517002,-14.350457404342402,4.920548996066705,134.82989387089845,False
SQm,1321.T,1_低,17,1.1170533649700423,,,-6.2305178482708214,7.3475712132408635,75.80208726649218,False
SQq,1321.T,1_低,7,68.72671091231845,,,25.241043467134187,43.48566744518426,60.43180314170578,False
