rule,series,state_vol,split,n,n_complement,net_mean_cons_bps,net_ci_lo,net_ci_hi,diff_gross_bps,diff_ci_lo,diff_ci_hi,sd_bps,mde_bps
TOM,先物(主系列),(無条件),train,863,3348,-0.8212031396079236,-10.999010659812326,8.675449109934254,10.517536036723913,-0.9283711334940545,20.682822311578807,151.1227307482704,14.412132031051586
TOM,先物(主系列),(無条件),val,368,1420,-10.713808366290712,-27.010649013439576,6.642832939749313,-4.740410164548842,-23.419032524435565,14.574551437115916,172.83240816638948,25.24091586934722
TOM,先物(主系列),1_低,train,288,3923,-3.8130768797927934,-19.359208188116586,10.68150594711624,5.480279389582627,-10.918724833357938,21.297327046705213,110.86438232684151,18.302045689319858
TOM,先物(主系列),1_低,val,124,1664,-7.414226713212503,-25.75337980786664,11.586465970665113,-0.3796756533865695,-20.601055615109747,20.505689211056808,128.32549077858312,32.285381951054084
TOM,先物(主系列),2_中,train,278,3933,-6.605470993101385,-22.746746743584424,9.126068525532277,2.7609000766857448,-14.166626275641068,19.775221094062886,144.4297081837182,24.2682227860202
TOM,先物(主系列),2_中,val,126,1662,-26.252973777400957,-41.83753794587421,-11.024043227876371,-21.150428972001812,-38.76098118104748,-3.557998065629562,140.39408763959452,35.04026514206019
TOM,先物(主系列),3_高,train,292,3919,7.649812656529724,-13.669463855605441,30.781463089746392,18.452976233977683,-3.7440857896444992,41.243678177307345,188.47523718420533,30.900585621628547
TOM,先物(主系列),3_高,val,118,1670,2.411502793185504,-38.24879409131322,45.99858603555901,10.303185080256641,-30.000025860741637,53.373324867981104,234.27032741307326,60.419916150264704
WD-Mon,先物(主系列),(無条件),train,773,3438,-17.44054449187137,-29.819939729133868,-5.457296626584701,-10.142966832709844,-23.773673850354488,2.7161517333171656,163.9982402637536,16.525449388862345
WD-Mon,先物(主系列),(無条件),val,319,1469,-23.207167815625752,-39.3299955915578,-6.860318617551586,-19.76593823203201,-38.08870813955703,-1.3671605059431304,170.44414229140878,26.735639469790208
WD-Mon,先物(主系列),1_低,train,255,3956,-15.154409527546557,-29.403257450949308,-0.71113286445916,-6.784344978955158,-22.557122814765442,9.109371850288262,135.13707713241607,23.708728781437344
WD-Mon,先物(主系列),1_低,val,101,1687,-20.55086585767101,-47.339786879273795,3.2982920018515935,-14.864083195001376,-41.18247198452589,8.652760139152239,115.79005026657477,32.27857791653008
WD-Mon,先物(主系列),2_中,train,258,3953,-18.026524428985937,-37.03643612930126,2.749495917743554,-9.341178303505602,-29.697629438318373,12.68191428389348,140.09712551187152,24.435611347542306
WD-Mon,先物(主系列),2_中,val,123,1665,-13.140682134738789,-38.48661998041045,14.85327611970859,-6.54334135194388,-34.26892960579491,23.987073731166554,129.23263770347995,32.64551244581538
WD-Mon,先物(主系列),3_高,train,257,3954,-20.129323758267827,-43.535526056507194,5.041228833098202,-11.330250282634946,-34.70324203183087,14.158912059010758,207.71747353226044,36.30030778211289
WD-Mon,先物(主系列),3_高,val,95,1693,-39.06468609459971,-63.84710319488488,-10.55000099304149,-33.511648244055735,-59.96200762181298,-3.296739171219464,248.89015735570706,71.54013527269552
WD-Tue,先物(主系列),(無条件),train,891,3320,-5.643027024640198,-13.977797748061548,2.671395325974754,4.490934837824575,-5.488117885386352,14.294840137030842,133.2411417935613,12.50556537825002
WD-Tue,先物(主系列),(無条件),val,375,1413,-1.6390149628397328,-20.01173976400059,18.56039072945992,6.8272754304985925,-14.897232841127545,29.62679813176936,204.56893269603967,29.595650009041364
WD-Tue,先物(主系列),1_低,train,302,3909,-9.314446609522594,-18.77173790210673,-0.4883412249156582,-0.5317112067457652,-10.882743976555263,9.212297759530767,91.8975610415006,14.815091949730974
WD-Tue,先物(主系列),1_低,val,125,1663,-6.13672871749312,-22.764952428544845,11.354814429406987,0.6390307802721762,-17.29672782153927,19.871825808981527,105.12223689219144,26.341677264447906
WD-Tue,先物(主系列),2_中,train,297,3914,-3.0061605323389573,-18.04899869859299,11.818112082324788,6.716924245110894,-8.303357391810374,22.24853447000126,139.90266932618078,22.74320225596986
WD-Tue,先物(主系列),2_中,val,136,1652,-18.792389155640524,-44.040073267571444,4.8200563064448785,-12.640015716575359,-39.70679365225545,13.505751046961425,116.8653549137974,28.07502589606118
WD-Tue,先物(主系列),3_高,train,288,3923,-3.0057013371668018,-20.613681075565502,15.565887501188572,7.037077613674677,-11.20665591307044,26.351520569942654,160.20200926727802,26.446947446896022
WD-Tue,先物(主系列),3_高,val,114,1674,23.756363191130276,-40.12223708230448,91.15317643180697,33.1416591018507,-30.21080053052635,100.31833706850836,330.20782097543963,86.64405453195077
WD-Wed,先物(主系列),(無条件),train,897,3314,-11.273728040686317,-21.913466744097683,-1.818256174669739,-2.621049953209765,-14.34831348669363,7.9353984073504265,154.67689071076043,14.468817848032106
WD-Wed,先物(主系列),(無条件),val,382,1406,-0.20434992876141767,-14.560651424479103,13.074668540267517,8.623994298842165,-7.040262839859353,25.26628424926059,151.49200941937508,21.715102422099598
WD-Wed,先物(主系列),1_低,train,296,3915,-12.698966081815065,-20.34960881467748,-4.821022330183137,-4.261325643690531,-13.567779861663087,4.774502908381311,99.16273470088619,16.147544015704526
WD-Wed,先物(主系列),1_低,val,123,1665,-6.582699077791222,-25.17396688511515,12.110135166788458,0.2257459755458493,-18.427865175748263,19.04277636980981,103.77626574827406,26.21496732767142
WD-Wed,先物(主系列),2_中,train,302,3909,-10.442772727840142,-22.00785258047361,0.5310464368057337,-1.1551500796681962,-13.82111511942819,11.070228771578847,141.38517310103495,22.79314397554614
WD-Wed,先物(主系列),2_中,val,145,1643,10.273215408973487,-3.6830238882706774,24.323409717908888,18.79251122808381,3.379562970170819,35.07047926401699,134.24340886047773,31.23293576254174
WD-Wed,先物(主系列),3_高,train,295,3916,-10.342875756905578,-32.98320658376664,10.96490023109612,-0.8134237970930744,-23.378032585953804,20.014537653218845,206.14257235920687,33.62486276380405
WD-Wed,先物(主系列),3_高,val,114,1674,-6.649174741400852,-41.34441658262158,28.149340413044087,0.5691420196885129,-36.01569267339218,37.445269266499174,206.3007703624504,54.13177417925878
WD-Thu,先物(主系列),(無条件),train,825,3386,-0.9866713024750003,-12.50832936247962,10.8729303946878,10.22420077774133,-1.8943257017201656,22.41640728144676,141.04124041893382,13.756976072280285
WD-Thu,先物(主系列),(無条件),val,356,1432,-3.613345545210011,-25.857334579824816,16.821794739613832,4.165619996262551,-18.76100353175458,25.3117017921259,180.98112159654733,26.872750115411932
WD-Thu,先物(主系列),1_低,train,269,3942,-1.8315908279298172,-14.349932862935784,9.335559139691483,7.442112525743383,-5.932768748984879,19.212607616324423,100.30634899737171,17.133895760046553
WD-Thu,先物(主系列),1_低,val,116,1672,-8.706222683164368,-27.854327236303504,9.45187215962799,-2.0566210809822314,-23.942850582965107,18.36133094370085,130.67338327253117,33.99084634844974
WD-Thu,先物(主系列),2_中,train,266,3945,1.6074210932837143,-14.504845266944399,16.856079522966546,11.616838702846495,-5.012960222972438,27.47712992778976,126.29604669529287,21.69465637119452
WD-Thu,先物(主系列),2_中,val,134,1654,-3.0326967312385893,-25.855860932462132,16.640837792921328,4.159658523324319,-18.737100452992575,25.357358860724702,154.87059911130098,37.48179806864455
WD-Thu,先物(主系列),3_高,train,286,3925,-2.8958907591674516,-26.734259059799644,20.921055427937254,7.187177427438764,-15.874164282849264,30.511129197180956,182.0570369467126,30.15978845026455
WD-Thu,先物(主系列),3_高,val,106,1682,1.225963954134664,-70.06973982951538,60.15614843251553,8.977157946278203,-62.76918235792751,68.0065445777802,248.20334226503115,67.539607131824
WD-Fri,先物(主系列),(無条件),train,825,3386,-11.229801597668816,-20.36999575687451,-2.3822737446567914,-2.54106849085056,-13.172591658302483,7.7374795152534785,137.6388747462192,13.425113823978618
WD-Fri,先物(主系列),(無条件),val,356,1432,-8.671201421907007,-28.361964484637404,8.1848548964426,-2.178426854429067,-23.11453123548301,15.970523964480103,164.43755790884322,24.41630024331347
WD-Fri,先物(主系列),1_低,train,270,3941,-12.321616052827796,-24.26047382170109,-0.17220066669718584,-3.7448649782539136,-16.613270263230902,9.377082910690651,94.92789981682972,16.185116431388614
WD-Fri,先物(主系列),1_低,val,114,1674,0.8107750881521496,-24.47288015428968,24.294988275263293,7.985079258881838,-17.176072250355848,31.381630256101108,108.69490590948234,28.52072772578856
WD-Fri,先物(主系列),2_中,train,268,3943,-14.704672641682414,-29.135357442227512,0.08360793416572182,-5.929497652725427,-21.594972609612615,9.565137976006774,132.83554560483253,22.732685532503524
WD-Fri,先物(主系列),2_中,val,135,1653,-18.65724201572624,-37.099990255897836,-2.8239000406394847,-12.715353019836407,-33.17382989624732,6.476528114130473,127.85624512025221,30.828961760220423
WD-Fri,先物(主系列),3_高,train,282,3929,-6.873417515555815,-25.48801594013359,11.800324286119531,2.9817849133240193,-16.7038849566811,22.68908308410897,173.36327825961018,28.92253757802507
WD-Fri,先物(主系列),3_高,val,107,1681,-6.174284057244839,-57.77297833108445,37.2570240640474,1.1292201166446127,-50.09125438101595,43.362934462943706,238.88781297607179,64.70024765236872
PH,先物(主系列),(無条件),train,198,4013,-6.19108005037547,-21.893734124018295,11.328553445141186,3.2320842695333925,-13.150686381267212,20.494074993357064,134.83676073579002,26.845997962983333
PH,先物(主系列),(無条件),val,87,1701,-14.350457404342402,-31.39314818437068,3.127997936876344,-7.5336032024695445,-25.30138411241528,10.7092863769082,167.19476842232007,50.21886525391128
PH,先物(主系列),1_低,train,68,4143,-6.2726193084989115,-25.539985007606038,9.551576709549561,2.6359247298999264,-18.320975507573536,19.636726610553744,101.35358182185861,34.43407984991259
PH,先物(主系列),1_低,val,23,1765,-23.701967571569856,-39.63515796148231,-7.556284155551756,-16.59215124750516,-34.175505611390555,1.3973814763418593,94.94079305815043,55.461648554773845
PH,先物(主系列),2_中,train,59,4152,-25.29772518792382,-42.274212316189754,-6.86531796011911,-15.91258646115745,-32.58870790041748,2.2744546247857045,141.10014131998275,51.46420641401384
PH,先物(主系列),2_中,val,36,1752,-12.202975127776739,-30.178653998220486,4.527773925175483,-5.18588938231035,-25.369916786139427,14.709607513603235,113.62751538946793,53.05619459022955
