rule,series,state_vol,split,n,n_complement,net_mean_cons_bps,net_ci_lo,net_ci_hi,diff_gross_bps,diff_ci_lo,diff_ci_hi,sd_bps,mde_bps
PH,先物(主系列),3_高,train,70,4141,10.950982148425567,-35.699019894534906,62.28673005657039,20.745177036552427,-25.48041354537922,71.49324360953995,156.59595068101703,52.43669911397204
PH,先物(主系列),3_高,val,28,1760,-9.429908408275697,-53.90980968900753,36.39849379517002,-2.3180304811345396,-46.403373365575554,40.68549347448557,254.66037307113683,134.82989387089845
SQm,1321.T,(無条件),train,0,0,,,,,,,,
SQm,1321.T,(無条件),val,48,930,-6.2305178482708214,-39.96155360239713,29.565949198525065,-10.67512273401664,-45.37024716322598,26.441231205399937,134.16438234575125,54.252587279762636
SQm,1321.T,1_低,train,0,0,,,,,,,,
SQm,1321.T,1_低,val,17,961,1.1170533649700423,,,-3.5157738026637313,,,111.55827435376618,75.80208726649218
SQm,1321.T,2_中,train,0,0,,,,,,,,
SQm,1321.T,2_中,val,21,957,-4.477559005954186,-23.34669247407057,14.64724378641547,-8.656928654095607,-29.329470157607588,12.992036650817717,149.04296253703416,91.11831174763218
SQm,1321.T,3_高,train,0,0,,,,,,,,
SQm,1321.T,3_高,val,10,968,-22.402602479645235,,,-25.322519325519206,,,148.7003288335161,131.73942582852
SQq,1321.T,(無条件),train,0,0,,,,,,,,
SQq,1321.T,(無条件),val,16,962,25.241043467134187,,,21.465927710376956,,,157.32105129161985,110.18708296830364
SQq,1321.T,1_低,train,0,0,,,,,,,,
SQq,1321.T,1_低,val,7,971,68.72671091231845,,,64.88101915533622,,,57.07037620367796,60.43180314170578
SQq,1321.T,2_中,train,0,0,,,,,,,,
SQq,1321.T,2_中,val,6,972,1.6412829815325811,,,-3.430398621330423,,,176.65546014706433,202.04833573651152
SQq,1321.T,3_高,train,0,0,,,,,,,,
SQq,1321.T,3_高,val,3,975,-29.025992933759227,,,-30.969792520033877,,,291.7681646893041,471.9338335108852
