cascade_id,day,start_ms,end_ms,bundle_width_ms,direction,n_events,tie_after_shift,path_after_shift,tie_before,path_before,anchor_ts_ms,anchor_price,anchor_before_ts_ms,anchor_before_price,anchor_lag_ms,anchor_price_diff_bp,bp_1m_after_shift,bp_5m_after_shift,bp_15m_after_shift,bp_30m_after_shift,bp_60m_after_shift,bp_240m_after_shift,bp_1m_before,bp_5m_before,bp_15m_before,bp_30m_before,bp_60m_before,bp_240m_before,bp_1m_diff,bp_5m_diff,bp_15m_diff,bp_30m_diff,bp_60m_diff,bp_240m_diff,pred_under_1m,pred_under_5m,pred_under_15m,pred_under_30m,pred_under_60m,pred_under_240m,resid_1m,resid_5m,resid_15m,resid_30m,resid_60m,resid_240m
binance_cm_real_000000,2023-06-25,1687656471926,1687656473356,1430,short,2,False,,True,time_resolution,1687656479381,30631.5,1687656418754,30583.1,6025,15.825733820313001,0.0,-5.28867342441628,-3.329905489447375,-3.8195974731896016,3.5910745474429917,78.41600966325538,15.825733820313001,8.403333867397592,12.490558511073347,12.000091553832258,19.42249150674767,94.36584257318655,-15.825733820313001,-13.692007291813873,-15.820464000520722,-15.819689027021859,-15.831416959304677,-15.949832909931175,1.589167437789764,0.168766955170235,0.08361735003246325,0.040166973117688534,0.032505697591154084,0.03948293065996174,14.236566382523238,13.523240336643639,15.736846650488259,15.77952205390417,15.798911261713524,15.910349979271214
binance_cm_real_000001,2023-06-25,1687659729506,1687659729506,0,short,1,False,,True,time_resolution,1687659778677,30652.3,1687659714196,30647.4,49171,1.5988305696397793,-3.099278031338595,-3.1971499691701024,5.64394841496373,2.316302528685346,8.482234612084575,61.03946522773241,1.5988305696397793,-3.262919529878554,10.441342495611373,3.034515162786818,11.746510307562794,62.64805497366824,-4.698108600978374,0.06576956070845164,-4.797394080647643,-0.7182126341014721,-3.2642756954782186,-1.6085897459358307,1.3102682989959598,-0.534803387345528,0.5704569465018965,0.08289452503855035,0.16044101620365836,0.21392135493821118,3.3878403019824144,0.4690338266370764,4.2269371341457465,0.6353181090629217,3.10383467927456,1.3946683909976194
binance_cm_real_000002,2023-06-25,1687660479390,1687660479390,0,short,1,False,,True,time_resolution,1687660497671,30673.2,1687660439845,30659.0,18281,4.631592680779128,5.4118905102821175,1.9887067537780685,-4.825059009167375,-8.50905676616792,17.246325782767308,82.28681715634423,4.631592680779128,3.457386085651373,-0.19570109918736578,-3.8814051338926436,21.918523109038368,86.36941844156667,0.7802978295029899,-1.4686793318733047,-4.629357909980009,-4.627651632275276,-4.6721973262710605,-4.082601285222438,1.4111690966220538,0.21068158343930918,-0.003975124215826927,-0.03941998180705079,0.11130347804342511,0.10964717628682501,-2.1914669261250435,1.2579977484339955,4.633333034195836,4.667071614082326,4.560893848227636,3.972954108935613
binance_cm_real_000003,2023-06-25,1687662893225,1687662893225,0,short,1,False,,True,time_resolution,1687662899966,30703.2,1687662839151,30699.7,6741,1.1400762873904307,-3.1267099194879306,-9.998957763360409,5.92772088902809,7.197946793819063,57.19273561061991,40.549519268349876,1.1400762873904307,-9.316051948391086,9.283478340179219,8.338843702055247,60.32632240705959,41.694218510278596,-4.266786206878361,-0.6829058149693221,-3.3557574511511286,-1.1408969082361837,-3.1335867964396797,-1.1446992419287199,0.12808757088831488,-0.2093316872803477,0.06953325276794235,0.031228969664196898,0.11296103870721909,0.019518106040124168,4.138698635990046,0.8922375022496698,3.286224198383186,1.1096679385719868,3.0206257577324607,1.1251811358885957
binance_cm_real_000004,2023-06-25,1687663686420,1687663697070,10650,short,2,False,,True,time_resolution,1687663739958,30728.2,1687663676924,30704.8,42888,7.620958286652725,-2.2129509701184165,-0.6508679323878392,-1.8549736073055785,8.005675568369949,66.42107250017851,5.0116830793856515,7.620958286652725,8.207185847164197,7.425549099814776,17.489122221932963,57.84111930382292,12.669028946614684,-9.833909256771141,-8.858053779552037,-9.280522707120355,-9.483446653563014,8.57995319635559,-7.657345867229033,5.447460983299368,1.1732992887105937,0.3538521664365068,0.41670748547458936,0.6890805346395438,0.0377325912126674,4.386448273471774,7.684754490841444,8.926670540683848,9.066739168088425,-9.269033730995133,7.6196132760163655
binance_cm_real_000005,2023-06-25,1687665095016,1687665128467,33451,short,2,False,,False,,1687665176688,30769.9,1687665119306,30758.0,48221,3.868912152936295,1.917458295281368,0.16249646570187096,29.151865946914707,49.98391284989527,40.721614304888625,-21.807025697191794,3.868912152936295,4.0314714870932615,33.03205670069528,61.479940178164554,44.60628129267206,-17.946550490929425,-1.9514538576549272,-3.8689750213913907,-3.880190753780571,-11.496027328269285,-3.884666987783433,-3.860475206262368,3.1093802154456847,0.6480052885970805,1.7698208957380301,1.6470134418507072,0.5974887472816498,-0.06009726466827138,-1.1579263577907575,3.2209697327943103,2.110369858042541,9.849013886418579,3.2871782405017833,3.9205724709306398
binance_cm_real_000006,2023-06-25,1687665746391,1687665853193,106802,short,5,False,,False,,1687665899906,30859.6,1687665839252,30862.1,46713,-0.8100550513412892,1.555431697106544,-2.6571958158877917,31.043824288066894,35.67771455236043,26.377529196749624,-38.172886233133056,-0.8100550513412892,-2.3653607499163285,28.4815356051602,26.31058806756531,25.662544026492277,-44.35861461144829,2.3654867484478332,-0.29183506597146325,2.5622886829066935,9.367126484795119,0.7149851702573464,6.185728378315233,-0.6306683602217606,-0.3683103223694715,1.4782866363598317,0.6828036113334324,0.3329928941970927,-0.14389749752392944,-1.7348183882260726,0.6601453883409347,-4.040575319266525,-10.04993009612855,-1.0479780644544392,-6.041830880791303
binance_cm_real_000007,2023-06-25,1687666294629,1687666294629,0,short,1,False,,True,time_resolution,1687666318337,30895.8,1687666254007,30869.3,23708,8.584580797102623,-7.347276976158808,-2.848283585470929,4.531360249613217,44.957567047948736,-2.9453841622481196,-46.31697512283176,8.584580797102623,5.733852079574441,13.119831029534197,53.58074203172779,5.636668146022572,-37.77215550725107,-15.93185777326143,-8.58213566504537,-8.58847077992098,-8.623174983779052,-8.582052308270692,-8.544819615580685,3.3920540256284832,0.4531272170085028,0.3456055044979964,0.705717906715668,0.03712059122386198,-0.06218765713652141,12.539803747632948,8.129008448036869,8.242865275422984,7.917457077063384,8.544931717046829,8.607007272717206
binance_cm_real_000008,2023-06-25,1687666606879,1687666606879,0,short,1,False,,True,time_resolution,1687666619919,30925.7,1687666555621,30887.0,13040,12.52954317350365,0.35569122121683416,6.919811030954131,14.486333373213629,14.551004504344283,-11.83481699686739,-58.46270254189857,12.52954317350365,9.971832809919794,24.37918865542114,27.09877942176344,7.932139735163661,-46.00641046394877,-12.173851952286817,-3.0520217789656634,-9.89285528220751,-12.547774917419156,-19.76695673203105,-12.456292077949804,2.72308738304146,0.4334423328045137,0.3532273556296574,0.1963156020332196,0.028731972818481707,-0.041661360586798056,9.450764569245358,2.61857944616115,9.539627926577852,12.351459315385936,19.73822475921257,12.497953438536602
binance_cm_real_000009,2023-06-25,1687666716470,1687666716470,0,short,1,False,,True,time_resolution,1687666737965,30950.0,1687666679502,30926.8,21495,7.501584386357699,1.7447495961232489,-8.497576736671816,9.43457189014563,-10.759289176090233,-25.525040387722136,-74.73344103392546,7.501584386357699,-1.0023668792110871,16.94323370022164,-3.265775961301701,-15.71452591280008,-67.28791856900764,-5.75683479023445,-7.495209857460728,-7.50866181007601,-7.493513214788532,-9.810514474922057,-7.445522464917815,2.6874426064126458,-0.0718195868954744,0.40466089820696016,-0.038998807937877814,-0.09382881513767714,-0.10044123678061245,3.069392183821804,7.567029444356202,7.10400091186905,7.53251202272641,9.904343290059733,7.545963701698428
