weekday,n,mean_r_net_bps,sd_bps,mean_gross_bps,mean_r_day_bps,hit_rate
Friday,267,-0.7747929941252937,141.40125436924288,2.7943193518933898,4.5328694941254595,0.550561797752809
Monday,279,22.857777394265092,98.07187460394952,26.418623487265005,-3.520755807066653,0.6164874551971327
Thursday,265,-7.062117186851367,99.37720386128926,-3.4933103455579673,8.887460630917197,0.49433962264150944
Tuesday,291,-0.5457320785112098,95.25188331465162,3.0269616566897835,-9.943446677481884,0.4879725085910653
Wednesday,268,-2.7267790534347,102.7336991710673,0.8453279383792321,6.326814685376852,0.4701492537313433
