kind,criterion,measured,outcome
bar,バー1 「累計 N=2 通りの最良」の帰無 95 点を超える(平均、グロス),実測best 6.057 vs 帰無95点 5.468,満たす
bar,バー1(参考)同 Sharpe,実測best 0.865 vs 帰無95点 0.752,満たす
bar,バー2 保守コスト後の平均ネット夜間リターンの 95% CI が正,"[-2.563, 7.446] bps",満たさない
bar,バー3 夜間−日中の差の 95% CI が正,"[-1.570, 11.700] bps",満たさない
falsification,反証文A 平均ネット夜間リターンの 95% CI がゼロを含む,"[-2.563, 7.446] bps",満たす
falsification,反証文B 夜間−日中の差の 95% CI がゼロを含む,"[-1.570, 11.700] bps",満たす
falsification,付帯条件 ロール隣接ペアを含めた場合にのみ成立していないか(含む集合の CI),"[-1.994, 7.485] bps(差 [-0.903, 11.726])",該当しない
falsification,保留区分 楽観コストでは CI が正・保守ではゼロを含む,"楽観 [0.392, 10.351] / 保守 [-2.563, 7.446] bps",満たす
