quantity,sd_bps,n,se_bps,mde_bps_independent,mde_bps_registered,mde_bps_effective_from_ci
σ(r_night) 四半期ロール除外後(封印期間),112.10672384768682,1371,3.02770064771153,8.482361380974268,6.03,6.6750850633195205
σ(夜間−日中の差)四半期ロール除外後(封印期間),150.39781407570342,1371,4.06183985636827,11.37959050192169,8.07,9.303293466477655
σ(r_net 保守コスト後)主集合,108.78638909142072,1370,2.9390994265399693,8.234137509390113,6.03,7.153308474665401
σ(夜間−日中の差)主集合,147.83234861135622,1370,3.9940104148742233,11.189560541246076,8.07,9.48431611597916
