sq_dist_td,n,mean_r_net_bps,sd_bps,mean_gross_bps,mean_r_day_bps,hit_rate
0,67,11.432531631874513,105.7657217858891,14.99280566497587,4.839730780353161,0.5373134328358209
1,134,14.109935832046403,101.19595809003262,17.672279171103565,0.3316762435559102,0.5970149253731343
2,133,7.6840938698519325,95.61823991279118,11.246957132292122,-2.86706941455098,0.5488721804511278
3,134,-6.11150528461529,105.75470619356415,-2.549502421372009,6.765467269592979,0.4626865671641791
4,134,8.123095689122156,122.59315436144638,11.691897509505521,-2.1863382738278876,0.5597014925373134
5,134,-1.2373675504106743,164.21107028457806,2.332474756046298,-0.2678099203802209,0.5597014925373134
6,134,1.7699576391943637,90.67153024488577,5.336788948128599,4.1439041012069024,0.5074626865671642
7,134,3.3948384417488318,101.80293374346668,6.9598259480094775,0.39918474955927263,0.5074626865671642
8,134,-11.305461467919956,98.44278562211447,-7.746400981969015,4.353585443994768,0.3805970149253731
9,128,-1.4559331935037123,97.68328371588912,2.141862055632321,-11.332846838452209,0.546875
10,82,7.264531907404993,108.68814707793788,10.858872457875618,5.900663100012052,0.5853658536585366
11,44,8.947601717525592,93.00075819914142,12.466722253217908,14.364751190624242,0.5227272727272727
12,31,-1.3678852840155562,75.13081112813177,1.881895894647349,-5.930667231100883,0.45161290322580644
13,2,-161.1050458292695,77.7885737031763,-156.62579475409723,87.01107952324705,0.0
14,2,-96.68980576726823,68.0050960763048,-92.19540529390058,24.310849400103756,0.0
15,2,-77.8740464844376,31.603241854892648,-73.40263139937409,4.505384953318313,0.0
16,2,4.663329782335652,7.737952981242055,9.128171555784492,-1.8656484122314687,0.5
17,2,127.27573193596443,103.3745514118916,131.78452958992335,-33.30140258773317,1.0
18,2,35.37191687706327,72.04551554594751,39.83699546614317,34.847580779165945,0.5
19,1,-249.8916967509027,,-245.4873646209388,-35.97122302158251,0.0
