nights,n,mean_r_net_bps,sd_bps,mean_gross_bps,mean_r_day_bps,hit_rate
1,1086,3.0696440733733668,98.86610671270097,6.629999470990686,0.049583387154736834,0.5174953959484346
2,8,30.39108193892893,98.88305731430943,34.61108198267878,0.3570274021927331,0.5
3,252,-1.422986461918169,143.29839238519128,2.115182485076409,4.936429160094997,0.5476190476190477
4,18,-5.9212481039307745,134.1520936322584,-1.8194479764410072,6.387887666582075,0.5
5,4,47.41245965909944,118.87152384566072,51.5985253118545,-15.460243021756803,0.75
6,2,54.08369216423004,4.1102799789219455,57.403801321960216,15.6903862818758,1.0
