month,n,mean_r_net_bps,sd_bps,mean_gross_bps,mean_r_day_bps,hit_rate
1,118,0.46318423753413046,86.42629652201852,4.146092620468878,6.362458115332422,0.5169491525423728
2,117,9.40327561640618,105.72668435786703,12.980002342195709,3.938832239040272,0.5384615384615384
3,114,-1.462478587347626,145.5255609187636,2.1965149407929605,-1.0933601115008162,0.5263157894736842
4,126,-9.317081410594866,143.84082047645984,-5.714914925484172,2.5687224131587527,0.5476190476190477
5,126,15.255542638992244,89.77843771241005,18.773239685806367,1.2302333932539669,0.5555555555555556
6,111,5.861854883496493,92.34228871862749,9.298900371889744,9.224161007379559,0.5225225225225225
7,130,-0.005813980709826821,92.9965981820212,3.363138746943163,-11.837731539691143,0.49230769230769234
8,126,-7.380787662507973,131.5573538238082,-3.905413482781973,12.784560183420089,0.4603174603174603
9,88,-8.823453026455667,111.3313406138131,-5.151396646859795,0.2664763608834948,0.5
10,110,13.42522861274271,113.01027024435388,17.066264237952694,2.847132388723957,0.5818181818181818
11,103,12.76996549950353,86.56086058953427,16.35047024164514,-16.3568060520074,0.5145631067961165
12,101,-0.618879323818304,70.40168904732417,3.0646178803596316,0.7114067532875809,0.5346534653465347
