key,value
rows,9
usable_rows,9
min_usable_rows_required,5
enough_rows,True
micro_minus_large_entry_n,9
micro_minus_large_entry_mean_pt,-2.2222222222222223
micro_minus_large_entry_median_pt,0.0
micro_minus_large_entry_absmean_pt,16.666666666666668
micro_minus_large_exit_n,9
micro_minus_large_exit_mean_pt,-8.88888888888889
micro_minus_large_exit_median_pt,-10.0
micro_minus_large_exit_absmean_pt,21.11111111111111
micro_minus_large_roundtrip_absmean_pt,37.77777777777778
micro_minus_large_roundtrip_absmean_yen,377.77777777777777
ledger_minus_series_entry_n,5
ledger_minus_series_entry_mean_pt,-15.0
ledger_minus_series_entry_median_pt,-20.0
ledger_minus_series_entry_absmean_pt,19.0
ledger_minus_series_exit_n,4
ledger_minus_series_exit_mean_pt,-11.25
ledger_minus_series_exit_median_pt,-12.5
ledger_minus_series_exit_absmean_pt,26.25
ledger_minus_series_roundtrip_absmean_pt,42.5
ledger_minus_series_roundtrip_absmean_yen,425.0
ledger_gross_bps_mean,-47.36544444444445
ledger_net_bps_mean,-47.699
nk225_sessions_rows,161
nk225_sessions_first_date,2026-08-21
nk225_sessions_last_date,2026-09-03
nk225_sessions_rows_by_product,"{""mini"": 95, ""micro"": 40, ""large"": 26}"
on1_ledger_first_entry_date,2026-08-21
on1_ledger_last_entry_date,2026-09-02
