step,n
day_session_daily 封印行(2020-12-21 以降),1438
night_session_daily 封印行,1438
封印窓 2020-12-21..2026-08-28 の日中行,1438
端点規則適用後のペア(両端が封印期間内),1437
うち誤プリント(|単純収益| > 0.10),1
うちロール隣接(四半期規則・採用),66
うちロール隣接(月次規則・併記),201
うち夜間セッション無し(事前登録の5ペア),0
うち夜間行が実データで欠損,1
四半期ロール隣接除外後(誤プリント含む),1371
主集合(四半期ロール除外+誤プリント除外)= 判定分母,1370
月次規則の主集合(併記),1236
