kind,time_ms,side,qty,p_liq,p_avg,p0,bin_pct,dist_node_bp,dist_gap_bp,vol_between_ratio,dist_vwap_bp,n_bins,total_qty,day,bundle_n_events,bundle_total_qty,bundle_n_events_dedup,bundle_total_qty_dedup
liq,1687685482890,SELL,7.0,30591.9,30591.9,30589.0,82.1429,8.46,-110.8645,0.058513,20.6195,28,11985614.0,2023-06-25,2,21.0,2,21.0
control,1687688433196,,,30618.0,,30618.0,89.2857,-0.0716,-119.2944,0.065813,12.3821,28,11943951.0,2023-06-25,,,,
control,1687690582808,,,30636.5,,30636.5,89.2857,3.8838,-125.2609,0.071498,5.7987,28,11887406.0,2023-06-25,,,,
control,1687691008104,,,30618.5,,30618.5,89.2857,-0.2349,-119.4557,0.072295,11.6275,28,11892483.0,2023-06-25,,,,
control,1687692484037,,,30618.7,,30618.7,92.8571,-0.3002,-119.5202,0.076965,11.3005,28,11880149.0,2023-06-25,,,,
control,1687695422507,,,30706.0,,30706.0,96.4286,1.2135,111.7785,0.08718,-17.0364,28,11976988.0,2023-06-25,,,,
liq,1687699622275,SELL,46.0,30537.3,30537.3,30537.3,75.0,26.3549,-93.1829,0.056259,37.0854,28,11978080.0,2023-06-25,1,46.0,1,46.0
liq,1687700201143,SELL,79.0,30520.4,30520.4,30520.4,75.0,31.9068,-87.6972,0.058004,42.2794,28,12078579.0,2023-06-25,1,79.0,1,79.0
liq,1687705323149,SELL,176.0,30482.5,30482.5,30482.6,71.4286,44.3798,-75.3729,0.056619,54.1691,28,12461345.0,2023-06-25,4,611.0,4,611.0
control,1687705765861,,,30551.6,,30551.6,89.2857,1.6487,-97.8199,0.075794,30.5554,28,12679134.0,2023-06-25,,,,
liq,1687706143423,BUY,10.0,30628.2,30628.2,30628.2,96.4286,-3.4018,-122.5849,0.078178,5.3197,28,12746839.0,2023-06-25,1,10.0,1,10.0
control,1687708151619,,,30617.1,,30617.1,96.2963,0.2224,-109.1229,0.089707,14.9993,27,11872129.0,2023-06-25,,,,
control,1687708918050,,,30572.9,,30572.9,92.5926,4.6753,-94.8234,0.090303,31.5995,27,11620412.0,2023-06-25,,,,
liq,1687709294479,BUY,1.0,30652.3,30652.3,30652.2,78.2609,-11.2615,-80.9038,0.081643,8.8783,23,11315512.0,2023-06-25,1,1.0,1,1.0
control,1687713775295,,,30601.7,,30601.7,90.9091,-4.7404,-54.5671,0.096143,28.0658,22,10982743.0,2023-06-25,,,,
liq,1687715107083,SELL,30.0,30500.0,30500.0,30500.0,63.6364,18.5695,-21.4048,0.048174,61.4676,22,10968244.0,2023-06-25,1,30.0,1,30.0
control,1687715798559,,,30533.8,,30533.8,81.8182,7.4793,-32.4508,0.090084,50.0647,22,11018737.0,2023-06-25,,,,
liq,1687716192074,SELL,2.0,30481.6,30481.6,30481.9,63.6364,14.6025,-15.3813,0.051451,67.3573,22,10930041.0,2023-06-25,1,2.0,1,2.0
liq,1687716309490,SELL,10.0,30442.4,30442.4,30442.4,4.5455,27.4981,-2.5243,0.002757,80.0953,22,10950738.0,2023-06-25,2,43.0,2,43.0
liq,1687716637676,SELL,1.0,30437.0,30437.0,30437.0,4.5455,29.2772,-0.7506,0.004592,81.3692,22,10998323.0,2023-06-25,6,208.0,6,208.0
liq,1687716790204,SELL,1933.0,30351.2,30351.2,30353.2,0.0,57.629,-2.5061,9.7e-05,107.8292,24,11221670.0,2023-06-25,2,1936.0,2,1936.0
liq,1687717887420,SELL,16.0,30355.3,30355.3,30355.4,0.0,56.2705,-3.8565,0.002476,104.0815,24,11372843.0,2023-06-25,3,3067.0,3,3067.0
control,1687719248957,,,30458.4,,30458.4,37.5,22.2306,-37.6929,0.023204,68.3646,24,11491424.0,2023-06-25,,,,
control,1687719556403,,,30462.8,,30462.8,41.6667,20.783,-39.1318,0.024575,66.8182,24,11482647.0,2023-06-25,,,,
control,1687722917231,,,30395.3,,30395.3,37.5,43.0366,-17.0113,0.025694,86.7068,24,11621217.0,2023-06-25,,,,
liq,1687723563231,BUY,3.0,30485.2,30485.2,30485.1,66.6667,13.4199,-46.4509,0.04935,56.5552,24,11668965.0,2023-06-25,1,3.0,1,3.0
control,1687724639301,,,30494.9,,30494.9,66.6667,10.2348,-49.617,0.055431,52.8175,24,11766903.0,2023-06-25,,,,
control,1687725345460,,,30489.4,,30489.4,75.0,12.0405,-47.822,0.059592,54.4543,24,11787892.0,2023-06-25,,,,
liq,1687726358082,SELL,1.0,30376.8,30376.8,30376.7,45.8333,49.1529,-10.9315,0.035024,91.4015,24,11796058.0,2023-06-25,8,127.0,8,127.0
control,1687728525343,,,30466.6,,30466.6,34.6154,19.5332,-50.3239,0.024103,60.8403,26,11757602.0,2023-06-25,,,,
control,1687730160358,,,30449.3,,30449.3,46.1538,35.2511,-44.6709,0.03441,66.3926,26,11746253.0,2023-06-25,,,,
control,1687731603429,,,30525.0,,30525.0,80.7692,10.3643,-69.3594,0.068179,40.3087,26,11905637.0,2023-06-25,,,,
liq,1687732427835,BUY,1.0,30563.5,30563.5,30563.3,96.1538,-2.2455,-81.8688,0.08385,27.7153,26,11892870.0,2023-06-25,1,1.0,1,1.0
control,1687733863603,,,30510.2,,30510.2,69.2308,15.2202,-64.5423,0.051589,45.3273,26,11880991.0,2023-06-25,,,,
control,1687734359208,,,30494.4,,30494.4,69.2308,20.4093,-59.3944,0.055934,50.3529,26,11905602.0,2023-06-25,,,,
control,1687736208833,,,30443.8,,30443.8,61.5385,37.064,-42.8723,0.043615,66.9104,26,11868212.0,2023-06-25,,,,
control,1687736542860,,,30450.0,,30450.0,42.3077,35.0204,-44.8997,0.036572,64.8435,26,11864731.0,2023-06-25,,,,
control,1687736819263,,,30462.8,,30462.8,46.1538,30.8038,-49.0827,0.037328,60.5532,26,11867804.0,2023-06-25,,,,
control,1687737357667,,,30459.4,,30459.4,46.1538,41.9554,-47.972,0.03904,61.688,26,11854756.0,2023-06-25,,,,
liq,1687738315726,SELL,49.0,30426.0,30426.0,30426.0,65.3846,52.9789,-37.0472,0.046592,72.3639,26,11903499.0,2023-06-26,1,49.0,1,49.0
control,1687739773078,,,30510.8,,30510.8,69.2308,25.0382,-64.7376,0.054599,44.0587,26,11915668.0,2023-06-26,,,,
control,1687739777166,,,30510.8,,30510.8,69.2308,25.0382,-64.7376,0.054607,44.064,26,11914063.0,2023-06-26,,,,
control,1687740759382,,,30481.9,,30481.9,76.9231,34.543,-55.318,0.058381,53.399,26,11960382.0,2023-06-26,,,,
liq,1687741143841,SELL,65.0,30400.4,30400.4,30400.4,42.3077,61.4445,-28.6574,0.03836,80.0525,26,12009003.0,2023-06-26,1,65.0,1,65.0
liq,1687741295608,SELL,154.0,30374.8,30374.8,30374.9,50.0,69.9243,-20.2535,0.041362,88.2741,26,12044571.0,2023-06-26,5,238.0,5,238.0
liq,1687741510249,SELL,15.0,30300.2,30300.2,30300.3,15.3846,94.7167,-5.6774,0.011579,111.9616,26,12178591.0,2023-06-26,1,15.0,1,15.0
liq,1687742000248,SELL,1.0,30259.0,30259.0,30259.3,0.0,108.4615,-2.0673,0.000279,124.8452,27,12245470.0,2023-06-26,12,1359.0,12,1359.0
liq,1687742459856,SELL,13.0,30032.7,30032.7,30032.8,17.1429,174.4555,-6.9564,0.007945,186.7401,35,13316085.0,2023-06-26,6,316.0,6,316.0
liq,1687742669146,BUY,5.0,30173.4,30173.4,30172.8,40.5405,127.0115,16.2799,0.015464,134.2447,37,13658045.0,2023-06-26,1,5.0,1,5.0
