ts,oi,volume
2026-09-03 13:50:00+00:00,2974155323.8421,94311442.3582
2026-09-03 13:55:00+00:00,2974867294.372,40247561.1988
2026-09-03 14:00:00+00:00,2977974059.8027,20821748.8388
2026-09-03 14:05:00+00:00,2980192350.182,42015703.7158
2026-09-03 14:10:00+00:00,2983421206.2067,24323154.8325
2026-09-03 14:15:00+00:00,2989152196.528,34373776.7263
2026-09-03 14:20:00+00:00,2977953008.6191,108409154.6362
2026-09-03 14:25:00+00:00,2969873252.2376,154562074.952
2026-09-03 14:30:00+00:00,2977952579.9526,265122015.5
2026-09-03 14:35:00+00:00,2991734288.0311,211833673.8166
2026-09-03 14:40:00+00:00,3005201190.9828,94215001.7403
2026-09-03 14:45:00+00:00,3015880080.2026,137156794.253
2026-09-03 14:50:00+00:00,3000201769.1213,387271442.8961
2026-09-03 14:55:00+00:00,3001871551.7501,197219439.3916
2026-09-03 15:00:00+00:00,3002305426.4788,166090995.4977
2026-09-03 15:05:00+00:00,3019255960.1504,350262944.5586
2026-09-03 15:10:00+00:00,3028619150.1065,129727197.9014
2026-09-03 15:15:00+00:00,3031116391.4653,128991429.1834
2026-09-03 15:20:00+00:00,3046721745.9178,79214092.7741
2026-09-03 15:25:00+00:00,3045651932.5562,61927476.4387
2026-09-03 15:30:00+00:00,3052317856.1779,41525623.0184
2026-09-03 15:35:00+00:00,3052078821.0815,76656602.9151
2026-09-03 15:40:00+00:00,3060805009.4252,75986650.3695
2026-09-03 15:45:00+00:00,3059974383.0375,97793968.2458
2026-09-03 15:50:00+00:00,3057349745.6037,42102418.96
2026-09-03 15:55:00+00:00,3065310886.2401,197259246.9326
2026-09-03 16:00:00+00:00,3057231556.689,122094232.0852
2026-09-03 16:05:00+00:00,3056488638.1706,183847299.6255
2026-09-03 16:10:00+00:00,3058211139.2364,110409087.4354
2026-09-03 16:15:00+00:00,3056776385.5342,43434985.3183
2026-09-03 16:20:00+00:00,3065934959.5055,68940978.1611
2026-09-03 16:25:00+00:00,3063138356.2677,50995525.8136
2026-09-03 16:30:00+00:00,3068366333.7744,65513008.1989
2026-09-03 16:35:00+00:00,3067558031.7489,43344330.121
2026-09-03 16:40:00+00:00,3068380562.9301,24867498.1846
2026-09-03 16:45:00+00:00,3071405129.9384,18193853.0539
2026-09-03 16:50:00+00:00,3071729665.6898,49306791.4804
2026-09-03 16:55:00+00:00,3075193270.3979,26339699.624
2026-09-03 17:00:00+00:00,3074107950.1857,14125365.4922
2026-09-03 17:05:00+00:00,3075712294.5392,23470399.7608
2026-09-03 17:10:00+00:00,3086265302.58,25449910.2609
2026-09-03 17:15:00+00:00,3088489928.0839,29504832.0084
2026-09-03 17:20:00+00:00,3087524983.6936,27777563.5832
2026-09-03 17:25:00+00:00,3089151817.338,19065749.8166
2026-09-03 17:30:00+00:00,3095446451.3055,17083925.5002
2026-09-03 17:35:00+00:00,3098153485.7958,18008517.7169
2026-09-03 17:40:00+00:00,3101277042.1945,23047793.8391
2026-09-03 17:45:00+00:00,3107740353.861,14981738.0904
2026-09-03 17:50:00+00:00,3104837739.1251,23988917.9223
2026-09-03 17:55:00+00:00,3104824223.7104,12396486.3478
2026-09-03 18:00:00+00:00,3115331127.7821,16958984.7196
2026-09-03 18:05:00+00:00,3112210919.0856,33156179.7397
2026-09-03 18:10:00+00:00,3108047293.8753,47556158.707
2026-09-03 18:15:00+00:00,3112160792.7819,19680671.4478
2026-09-03 18:20:00+00:00,3108190718.9438,16471312.854
2026-09-03 18:25:00+00:00,3102787801.6795,18258974.5973
2026-09-03 18:30:00+00:00,3102153537.0306,31916688.6139
2026-09-03 18:35:00+00:00,3102702412.2031,18250070.877
2026-09-03 18:40:00+00:00,3101458440.959,16807012.406
2026-09-03 18:45:00+00:00,3103391636.1689,12571348.9074
2026-09-03 18:50:00+00:00,3108841228.8056,8718773.6732
2026-09-03 18:55:00+00:00,3108971878.4708,14028816.297
2026-09-03 19:00:00+00:00,3109796969.8262,19499190.5178
2026-09-03 19:05:00+00:00,3091042076.4715,77725552.0713
2026-09-03 19:10:00+00:00,3091969020.6029,172072741.893
2026-09-03 19:15:00+00:00,3095926795.6982,22184000.7278
2026-09-03 19:20:00+00:00,3106820372.9002,26652685.1324
2026-09-03 19:25:00+00:00,3109048063.111,59606981.3553
2026-09-03 19:30:00+00:00,3115467519.6415,31736543.3855
2026-09-03 19:35:00+00:00,3116012680.6562,27027674.5549
2026-09-03 19:40:00+00:00,3117770198.8419,18857546.1849
