属性,群,Δ(秒),下限,上限,平均(bp),日クラスタ SE,naive SE,n,含む日数,r<0,r=0,r>0,同一行の群
|dist_node_bp|,Q1(下位 3 分位),10,,25.870067,-2.440117,0.123591,0.110061,7066,453,0.606991,0.006793,0.386216,
|dist_node_bp|,Q2(中位 3 分位),10,25.870067,60.772800,-3.483216,0.119216,0.113711,7066,454,0.650439,0.006369,0.343193,
|dist_node_bp|,Q3(上位 3 分位),10,60.772800,,-5.412058,0.184099,0.160929,7066,409,0.656666,0.001415,0.341919,
bin_pct,Q1(下位 3 分位),10,,16.666700,-4.736332,0.160719,0.130544,7150,454,0.668112,0.005734,0.326154,
bin_pct,Q2(中位 3 分位),10,16.666700,55.882400,-3.687410,0.181249,0.135503,6986,449,0.635414,0.004294,0.360292,
bin_pct,Q3(上位 3 分位),10,55.882400,,-2.898733,0.159667,0.126350,7062,433,0.610167,0.004531,0.385302,
bundle_n_events_dedup,Q1(下位 3 分位),10,,1.000000,-2.455923,0.093061,0.083835,12029,455,0.611190,0.006817,0.381994,bundle_width_ms:Q1(下位 3 分位)
bundle_n_events_dedup,Q2(中位 3 分位),10,1.000000,2.000000,-3.575879,0.173212,0.166876,3906,443,0.635945,0.003328,0.360727,
bundle_n_events_dedup,Q3(上位 3 分位),10,2.000000,,-6.951586,0.224350,0.195578,5263,438,0.700931,0.001520,0.297549,
bundle_total_notional,Q1(下位 3 分位),10,,775945.066667,-2.358323,0.108025,0.107610,7066,452,0.610954,0.008633,0.380413,
bundle_total_notional,Q2(中位 3 分位),10,775945.066667,5908686.266667,-3.296113,0.131108,0.118561,7066,449,0.633173,0.004104,0.362723,
bundle_total_notional,Q3(上位 3 分位),10,5908686.266667,,-5.680956,0.186719,0.158486,7066,438,0.669969,0.001840,0.328191,
bundle_width_ms,Q1(下位 3 分位),10,,0.000000,-2.455923,0.093061,0.083835,12029,455,0.611190,0.006817,0.381994,bundle_n_events_dedup:Q1(下位 3 分位)
bundle_width_ms,Q2(中位 3 分位),10,0.000000,7036.333333,-4.372135,0.234345,0.241607,2103,423,0.660961,0.002378,0.336662,
bundle_width_ms,Q3(上位 3 分位),10,7036.333333,,-5.853238,0.190566,0.158114,7066,443,0.676903,0.002264,0.320832,
doi_pre_1h,Q1(下位 3 分位),10,,-14472.333333,-4.203844,0.218492,0.172927,5048,335,0.637282,0.002971,0.359746,
doi_pre_1h,Q2(中位 3 分位),10,-14472.333333,13713.333333,-3.082203,0.127320,0.123327,5047,357,0.640182,0.010699,0.349118,
doi_pre_1h,Q3(上位 3 分位),10,13713.333333,,-3.670576,0.158112,0.149970,5048,341,0.633518,0.003368,0.363114,
implied_leverage,Q1(下位 3 分位),10,,75.097333,-5.740744,0.230270,0.197209,4384,273,0.671305,0.000684,0.328011,
implied_leverage,Q2(中位 3 分位),10,75.097333,126.459633,-3.273209,0.146742,0.132130,4383,347,0.652065,0.003650,0.344285,
implied_leverage,Q3(上位 3 分位),10,126.459633,,-2.198028,0.127631,0.116902,4384,357,0.611314,0.013230,0.375456,
side,SELL,10,,,-4.275907,0.142372,0.103135,12097,452,0.649087,0.005621,0.345292,
side,BUY,10,,,-3.117265,0.118969,0.110537,9101,453,0.623338,0.003846,0.372816,
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,10,0.000000,6.000000,-3.382947,0.217975,0.168880,3894,430,0.629430,0.006420,0.364150,
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,10,6.000000,12.000000,-3.174473,0.181617,0.145824,4076,425,0.631747,0.006869,0.361384,
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,10,12.000000,18.000000,-4.183027,0.138558,0.127823,7915,445,0.645610,0.001769,0.352622,
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,10,18.000000,24.000000,-3.929017,0.173040,0.164379,5313,444,0.637869,0.006776,0.355355,
|dist_vwap_bp|,Q1(下位 3 分位),60,,43.884500,0.003204,0.106538,0.109146,7066,456,0.520521,0.014294,0.465185,
|dist_vwap_bp|,Q2(中位 3 分位),60,43.884500,95.828500,-0.098737,0.133917,0.126182,7066,437,0.522502,0.003821,0.473677,
|dist_vwap_bp|,Q3(上位 3 分位),60,95.828500,,0.168490,0.184465,0.196643,7066,342,0.499434,0.001698,0.498868,
|dist_node_bp|,Q1(下位 3 分位),60,,25.870067,0.081875,0.137648,0.124045,7066,453,0.507784,0.011605,0.480611,
|dist_node_bp|,Q2(中位 3 分位),60,25.870067,60.772800,-0.314224,0.132854,0.127840,7066,454,0.538636,0.006369,0.454996,
|dist_node_bp|,Q3(上位 3 分位),60,60.772800,,0.305306,0.154560,0.186414,7066,409,0.496037,0.001840,0.502123,
bin_pct,Q1(下位 3 分位),60,,16.666700,-0.087099,0.148097,0.150242,7150,454,0.516503,0.007972,0.475524,
bin_pct,Q2(中位 3 分位),60,16.666700,55.882400,0.128786,0.131755,0.155546,6986,449,0.516032,0.006012,0.477956,
bin_pct,Q3(上位 3 分位),60,55.882400,,0.033783,0.175911,0.140588,7062,433,0.509912,0.005806,0.484282,
bundle_n_events_dedup,Q1(下位 3 分位),60,,1.000000,0.150404,0.088964,0.094592,12029,455,0.504946,0.009810,0.485244,bundle_width_ms:Q1(下位 3 分位)
bundle_n_events_dedup,Q2(中位 3 分位),60,1.000000,2.000000,0.093957,0.196747,0.191448,3906,443,0.519969,0.003584,0.476446,
bundle_n_events_dedup,Q3(上位 3 分位),60,2.000000,,-0.315540,0.227963,0.230051,5263,438,0.530876,0.001520,0.467604,
bundle_total_notional,Q1(下位 3 分位),60,,775945.066667,0.218943,0.121762,0.123353,7066,452,0.507784,0.010331,0.481885,
bundle_total_notional,Q2(中位 3 分位),60,775945.066667,5908686.266667,0.104030,0.151022,0.134212,7066,449,0.512596,0.006510,0.480894,
bundle_total_notional,Q3(上位 3 分位),60,5908686.266667,,-0.250016,0.164217,0.182380,7066,438,0.522078,0.002972,0.474950,
bundle_width_ms,Q1(下位 3 分位),60,,0.000000,0.150404,0.088964,0.094592,12029,455,0.504946,0.009810,0.485244,bundle_n_events_dedup:Q1(下位 3 分位)
bundle_width_ms,Q2(中位 3 分位),60,0.000000,7036.333333,-0.360898,0.310967,0.314631,2103,423,0.534475,0.003329,0.462197,
bundle_width_ms,Q3(上位 3 分位),60,7036.333333,,-0.075676,0.189113,0.178317,7066,443,0.523776,0.002123,0.474101,
doi_pre_1h,Q1(下位 3 分位),60,,-14472.333333,0.144249,0.207618,0.186050,5048,335,0.514659,0.004952,0.480388,
doi_pre_1h,Q2(中位 3 分位),60,-14472.333333,13713.333333,-0.091146,0.143041,0.149302,5047,357,0.518526,0.013870,0.467605,
doi_pre_1h,Q3(上位 3 分位),60,13713.333333,,0.028503,0.173542,0.178250,5048,341,0.509905,0.006141,0.483954,
implied_leverage,Q1(下位 3 分位),60,,75.097333,0.101466,0.238992,0.236314,4384,273,0.506387,0.001141,0.492473,
implied_leverage,Q2(中位 3 分位),60,75.097333,126.459633,-0.040537,0.148049,0.143412,4383,347,0.525439,0.005476,0.469085,
implied_leverage,Q3(上位 3 分位),60,126.459633,,0.061804,0.136832,0.141500,4384,357,0.511633,0.020073,0.468294,
side,SELL,60,,,0.090871,0.121809,0.118267,12097,452,0.509713,0.006365,0.483922,
side,BUY,60,,,-0.064141,0.109737,0.124007,9101,453,0.520053,0.006922,0.473025,
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,60,0.000000,6.000000,0.248490,0.212456,0.195103,3894,430,0.502568,0.012327,0.485105,
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,60,6.000000,12.000000,0.062988,0.172786,0.167190,4076,425,0.521835,0.009814,0.468351,
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,60,12.000000,18.000000,-0.027180,0.137357,0.141594,7915,445,0.516235,0.002906,0.480859,
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,60,18.000000,24.000000,-0.092925,0.157423,0.190348,5313,444,0.513646,0.005458,0.480896,
