属性,群,Δ(秒),下限,上限,平均(bp),日クラスタ SE,naive SE,n,含む日数,r<0,r=0,r>0,同一行の群
|dist_vwap_bp|,Q1(下位 3 分位),0,,43.884500,-3.740576,0.127601,0.101779,7066,456,0.683838,0.007076,0.309086,
|dist_vwap_bp|,Q2(中位 3 分位),0,43.884500,95.828500,-6.127125,0.155129,0.122338,7066,437,0.741579,0.002547,0.255873,
|dist_vwap_bp|,Q3(上位 3 分位),0,95.828500,,-10.533397,0.272590,0.177911,7066,342,0.786301,0.001981,0.211718,
|dist_node_bp|,Q1(下位 3 分位),0,,25.870067,-4.148664,0.162346,0.116371,7066,453,0.673648,0.003963,0.322389,
|dist_node_bp|,Q2(中位 3 分位),0,25.870067,60.772800,-6.140097,0.158866,0.122487,7066,454,0.748939,0.005378,0.245684,
|dist_node_bp|,Q3(上位 3 分位),0,60.772800,,-10.112337,0.287764,0.170835,7066,409,0.789131,0.002264,0.208605,
bin_pct,Q1(下位 3 分位),0,,16.666700,-9.007503,0.242140,0.143938,7150,454,0.810070,0.005315,0.184615,
bin_pct,Q2(中位 3 分位),0,16.666700,55.882400,-6.496814,0.245699,0.146141,6986,449,0.721443,0.003292,0.275265,
bin_pct,Q3(上位 3 分位),0,55.882400,,-4.866011,0.225211,0.130494,7062,433,0.679128,0.002974,0.317899,
bundle_n_events_dedup,Q1(下位 3 分位),0,,1.000000,-3.971129,0.112561,0.081581,12029,455,0.678277,0.004323,0.317400,bundle_width_ms:Q1(下位 3 分位)
bundle_n_events_dedup,Q2(中位 3 分位),0,1.000000,2.000000,-6.528873,0.210976,0.167470,3906,443,0.759345,0.004352,0.236303,
bundle_n_events_dedup,Q3(上位 3 分位),0,2.000000,,-13.468302,0.343397,0.215900,5263,438,0.855596,0.002470,0.141934,
bundle_total_notional,Q1(下位 3 分位),0,,775945.066667,-4.133644,0.133237,0.105844,7066,452,0.688791,0.004387,0.306821,
bundle_total_notional,Q2(中位 3 分位),0,775945.066667,5908686.266667,-5.600102,0.158815,0.120702,7066,449,0.724597,0.004529,0.270875,
bundle_total_notional,Q3(上位 3 分位),0,5908686.266667,,-10.667352,0.281359,0.176750,7066,438,0.798330,0.002689,0.198981,
bundle_width_ms,Q1(下位 3 分位),0,,0.000000,-3.971129,0.112561,0.081581,12029,455,0.678277,0.004323,0.317400,bundle_n_events_dedup:Q1(下位 3 分位)
bundle_width_ms,Q2(中位 3 分位),0,0.000000,7036.333333,-9.079736,0.299594,0.261499,2103,423,0.808845,0.003804,0.187351,
bundle_width_ms,Q3(上位 3 分位),0,7036.333333,,-10.938404,0.293062,0.174422,7066,443,0.816303,0.003114,0.180583,
doi_pre_1h,Q1(下位 3 分位),0,,-14472.333333,-7.693227,0.382914,0.189944,5048,335,0.745642,0.002971,0.251387,
doi_pre_1h,Q2(中位 3 分位),0,-14472.333333,13713.333333,-5.613808,0.170320,0.139767,5047,357,0.733307,0.008718,0.257975,
doi_pre_1h,Q3(上位 3 分位),0,13713.333333,,-6.946491,0.227117,0.158589,5048,341,0.746830,0.002773,0.250396,
implied_leverage,Q1(下位 3 分位),0,,75.097333,-11.116685,0.357476,0.215249,4384,273,0.821168,0.001369,0.177464,
implied_leverage,Q2(中位 3 分位),0,75.097333,126.459633,-6.170287,0.181952,0.148266,4383,347,0.757016,0.005019,0.237965,
implied_leverage,Q3(上位 3 分位),0,126.459633,,-3.615110,0.174261,0.127728,4384,357,0.679745,0.009124,0.311131,
side,SELL,0,,,-7.807470,0.227890,0.114681,12097,452,0.759114,0.003968,0.236918,
side,BUY,0,,,-5.461728,0.187585,0.113098,9101,453,0.708164,0.003736,0.288100,
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,0,0.000000,6.000000,-5.993044,0.327682,0.193037,3894,430,0.722650,0.006677,0.270673,
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,0,6.000000,12.000000,-5.797964,0.289440,0.162766,4076,425,0.728901,0.004661,0.266438,
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,0,12.000000,18.000000,-7.540801,0.215916,0.137126,7915,445,0.749842,0.002021,0.248136,
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,0,18.000000,24.000000,-7.058028,0.268600,0.170245,5313,444,0.735554,0.003953,0.260493,
|dist_vwap_bp|,Q1(下位 3 分位),10,,43.884500,-2.241637,0.106843,0.096057,7066,456,0.618030,0.010190,0.371780,
|dist_vwap_bp|,Q2(中位 3 分位),10,43.884500,95.828500,-3.408277,0.123840,0.112000,7066,437,0.643080,0.003680,0.353241,
|dist_vwap_bp|,Q3(上位 3 分位),10,95.828500,,-5.685477,0.176521,0.170135,7066,342,0.652986,0.000708,0.346306,
