gap(秒),Δ(秒),群,平均(bp),日クラスタ SE,naive SE,n,日数,r<0,r=0,r>0,E1 の再掲
30,30,清算 対照(ii)が付かない束,0.301218,0.329364,0.329848,4499,354,0.503223,0.001556,0.495221,
30,30,対照(i) 一様,0.051597,0.040502,0.038070,25343,456,0.476147,0.044667,0.479186,
30,30,対照(ii) 薄さ合わせ,-0.194481,0.044243,0.046584,20844,456,0.497265,0.024995,0.477739,
30,60,清算 全体,-0.123713,0.083735,0.089334,25343,456,0.517500,0.005840,0.476660,
30,60,清算 対照(ii)が付いた束,-0.168439,0.092740,0.089955,20844,456,0.519910,0.006477,0.473614,
30,60,清算 対照(ii)が付かない束,0.083506,0.270765,0.282002,4499,354,0.506335,0.002890,0.490776,
30,60,対照(i) 一様,0.043462,0.040595,0.037442,25343,456,0.473898,0.045417,0.480685,
30,60,対照(ii) 薄さ合わせ,-0.128722,0.043063,0.045929,20844,456,0.494051,0.028545,0.477404,
60,0,清算 全体,-6.800366,0.171035,0.081880,21198,456,0.737239,0.003868,0.258892,はい
60,0,清算 対照(ii)が付いた束,-6.043710,0.149808,0.083466,18199,456,0.722677,0.004176,0.273147,はい
60,0,清算 対照(ii)が付かない束,-11.392025,0.435254,0.265010,2999,330,0.825609,0.002001,0.172391,はい
60,0,対照(i) 一様,0.035083,0.038704,0.041073,21198,456,0.472922,0.044910,0.482168,はい
60,0,対照(ii) 薄さ合わせ,-0.269566,0.051437,0.050553,18199,456,0.497610,0.028024,0.474367,はい
60,1,清算 全体,-6.221444,0.156054,0.078912,21198,456,0.721153,0.004529,0.274318,はい
60,1,清算 対照(ii)が付いた束,-5.553130,0.137554,0.080448,18199,456,0.707951,0.005055,0.286994,はい
60,1,清算 対照(ii)が付かない束,-10.277012,0.406889,0.257688,2999,330,0.801267,0.001334,0.197399,はい
60,1,対照(i) 一様,0.052359,0.038727,0.041140,21198,456,0.472828,0.044768,0.482404,はい
60,1,対照(ii) 薄さ合わせ,-0.273299,0.050201,0.050278,18199,456,0.497610,0.027804,0.474587,はい
60,5,清算 全体,-4.721817,0.127032,0.075073,21198,456,0.674922,0.004859,0.320219,はい
60,5,清算 対照(ii)が付いた束,-4.246928,0.116062,0.077103,18199,456,0.667784,0.005385,0.326831,はい
60,5,清算 対照(ii)が付かない束,-7.603613,0.351282,0.243798,2999,330,0.718239,0.001667,0.280093,はい
60,5,対照(i) 一様,0.071155,0.038356,0.041145,21198,456,0.472214,0.047033,0.480753,はい
60,5,対照(ii) 薄さ合わせ,-0.280787,0.048939,0.049906,18199,456,0.502280,0.028133,0.469586,はい
60,10,清算 全体,-3.778464,0.104293,0.075708,21198,456,0.638032,0.004859,0.357109,はい
60,10,清算 対照(ii)が付いた束,-3.425637,0.102356,0.077861,18199,456,0.633222,0.005385,0.361393,はい
60,10,清算 対照(ii)が付かない束,-5.919539,0.315300,0.247666,2999,330,0.667222,0.001667,0.331110,はい
60,10,対照(i) 一様,0.058333,0.043006,0.041308,21198,456,0.471743,0.046467,0.481791,はい
60,10,対照(ii) 薄さ合わせ,-0.244491,0.047396,0.050532,18199,456,0.502830,0.027749,0.469421,はい
60,30,清算 全体,-1.316385,0.079247,0.080295,21198,456,0.555147,0.005944,0.438909,はい
60,30,清算 対照(ii)が付いた束,-1.190284,0.088988,0.082373,18199,456,0.554261,0.006649,0.439090,はい
60,30,清算 対照(ii)が付かない束,-2.081612,0.238033,0.268368,2999,330,0.560520,0.001667,0.437813,はい
60,30,対照(i) 一様,0.099511,0.044710,0.041549,21198,456,0.467922,0.045759,0.486319,はい
60,30,対照(ii) 薄さ合わせ,-0.178632,0.045499,0.049695,18199,456,0.496456,0.026155,0.477389,はい
60,60,清算 全体,0.024319,0.090006,0.085964,21198,456,0.514152,0.006604,0.479243,はい
60,60,清算 対照(ii)が付いた束,0.053093,0.098814,0.088503,18199,456,0.515083,0.007253,0.477664,はい
60,60,清算 対照(ii)が付かない束,-0.150293,0.242560,0.284167,2999,330,0.508503,0.002668,0.488830,はい
60,60,対照(i) 一様,0.081620,0.039207,0.040737,21198,456,0.470610,0.046891,0.482498,はい
60,60,対照(ii) 薄さ合わせ,-0.169636,0.047170,0.048920,18199,456,0.494588,0.028683,0.476729,はい
180,0,清算 全体,-7.511675,0.146255,0.089297,15143,456,0.781021,0.004028,0.214951,
180,0,清算 対照(ii)が付いた束,-7.029416,0.139235,0.090344,13868,456,0.771921,0.004110,0.223969,
180,0,清算 対照(ii)が付かない束,-12.757145,0.465777,0.368269,1275,279,0.880000,0.003137,0.116863,
180,0,対照(i) 一様,-0.068695,0.043649,0.047388,15143,456,0.480684,0.047745,0.471571,
180,0,対照(ii) 薄さ合わせ,-0.381380,0.057840,0.056978,13868,456,0.508509,0.028267,0.463225,
180,1,清算 全体,-7.069031,0.138092,0.086292,15143,456,0.771710,0.005085,0.223205,
180,1,清算 対照(ii)が付いた束,-6.635190,0.130759,0.087324,13868,456,0.762619,0.005408,0.231973,
180,1,清算 対照(ii)が付かない束,-11.787865,0.437705,0.359398,1275,279,0.870588,0.001569,0.127843,
180,1,対照(i) 一様,-0.068208,0.044135,0.047447,15143,456,0.480948,0.047679,0.471373,
180,1,対照(ii) 薄さ合わせ,-0.387041,0.057752,0.056768,13868,456,0.507499,0.028122,0.464378,
180,5,清算 全体,-5.895013,0.119127,0.079554,15143,456,0.743578,0.005547,0.250875,
180,5,清算 対照(ii)が付いた束,-5.580999,0.116065,0.081360,13868,456,0.736588,0.005697,0.257716,
180,5,清算 対照(ii)が付かない束,-9.310497,0.369427,0.315639,1275,279,0.819608,0.003922,0.176471,
180,5,対照(i) 一様,-0.084170,0.045866,0.047235,15143,456,0.478637,0.050188,0.471175,
180,5,対照(ii) 薄さ合わせ,-0.408685,0.054790,0.056206,13868,456,0.514854,0.028267,0.456879,
180,10,清算 全体,-5.260072,0.106904,0.077709,15143,456,0.720663,0.005415,0.273922,
180,10,清算 対照(ii)が付いた束,-5.004817,0.106003,0.079786,13868,456,0.713946,0.005769,0.280286,
180,10,清算 対照(ii)が付かない束,-8.036452,0.355602,0.303494,1275,279,0.793725,0.001569,0.204706,
180,10,対照(i) 一様,-0.071999,0.049866,0.046787,15143,456,0.476986,0.049792,0.473222,
180,10,対照(ii) 薄さ合わせ,-0.389704,0.057125,0.057261,13868,456,0.513989,0.028411,0.457600,
180,30,清算 全体,-3.641070,0.091825,0.072441,15143,456,0.659116,0.006868,0.334016,
180,30,清算 対照(ii)が付いた束,-3.436060,0.093036,0.074489,13868,456,0.654024,0.007355,0.338621,
180,30,清算 対照(ii)が付かない束,-5.870941,0.335934,0.282042,1275,279,0.714510,0.001569,0.283922,
180,30,対照(i) 一様,-0.025215,0.051437,0.047256,15143,456,0.471835,0.049528,0.478637,
180,30,対照(ii) 薄さ合わせ,-0.228466,0.053204,0.055511,13868,456,0.503101,0.026969,0.469931,
180,60,清算 全体,-2.480298,0.081364,0.070714,15143,456,0.616126,0.008321,0.375553,
180,60,清算 対照(ii)が付いた束,-2.375727,0.086966,0.073025,13868,456,0.612922,0.008797,0.378281,
180,60,清算 対照(ii)が付かない束,-3.617700,0.223924,0.270879,1275,279,0.650980,0.003137,0.345882,
180,60,対照(i) 一様,0.055739,0.047910,0.046702,15143,456,0.469524,0.050452,0.480024,
180,60,対照(ii) 薄さ合わせ,-0.117154,0.051138,0.054713,13868,456,0.495169,0.029276,0.475555,
